{'短评内容': '。', '短评打分': 5}
{'短评内容': '上边有很多美食，公交也方便', '短评打分': 5}
{'短评内容': '隔音太差', '短评打分': 4}
{'短评内容': '房间隔音很差，晚上很吵，无法入眠。', '短评打分': 3}
{'短评内容': '睡着舒服', '短评打分': 5}
{'短评内容': '很好，离地铁站，公交车站都很近，购物，吃饭都很方便', '短评打分': 5}
{'短评内容': '不错干净卫生', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '隔音不好 我一单身狗 对面声音辣么大  害得我心潮澎湃', '短评打分': 5}
{'短评内容': '还行吧。             挺不错的', '短评打分': 5}
{'短评内容': '如家快捷酒店住宿环境还可以 干净利落 就是隔音效果差 过道灯吵闹声影响休息 望改正 另外时不时莫名其妙的停电也让人揪心啊', '短评打分': 5}
{'短评内容': '离地铁很近', '短评打分': 4}
{'短评内容': '非常方便', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境挺好的！吃饭购物很方便！', '短评打分': 5}
{'短评内容': '房间不错，周边配套便利。下次还去', '短评打分': 5}
{'短评内容': '位置不错   ', '短评打分': 4}
{'短评内容': '恩?', '短评打分': 4}
{'短评内容': '周围吃饭近', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '都差不多', '短评打分': 5}
