{'短评内容': '唯一的优点 便宜 附近有一个必须骑车才能到的地铁口。酒店设施很久很久，烧水的壶都破了，厕所灯暗的哟。反正很久很破', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '干净整洁，服务一流', '短评打分': 5}
{'短评内容': '第一天设施差点儿，第二天给好多了。', '短评打分': 4}
{'短评内容': '房间有点潮湿，性价比高', '短评打分': 5}
{'短评内容': '环境还可以，环境还可以，环境还可以，环境还可以，环境还可以，环境还可以，环境还可以，环境还可以，环境还可以，', '短评打分': 5}
{'短评内容': '不错，服务杠杠的。', '短评打分': 5}
{'短评内容': '很好，不错，', '短评打分': 5}
{'短评内容': '很好，服务不错', '短评打分': 5}
{'短评内容': '好，干净卫生', '短评打分': 5}
{'短评内容': '这个价位，性价比不错', '短评打分': 4}
{'短评内容': '干净，房间大，设施有点旧了', '短评打分': 5}
{'短评内容': '一般，还不给洗漱用品', '短评打分': 3}
{'短评内容': '离同济医学院近，相对便宜，但是环境真是不好，马桶都是坏的，影响心情。', '短评打分': 3}
{'短评内容': '很一般', '短评打分': 3}
