{'短评内容': '马马虎虎的、只能算一般', '短评打分': 5}
{'短评内容': '没有早餐，房间小', '短评打分': 2}
{'短评内容': '环境不好', '短评打分': 4}
{'短评内容': '环境很一般，房间很窄，床很小，洗澡间下水道不通畅，内宾空气不流通……地理位置算是最大的优势了，离中华城很近，', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '房间还不错，就是隔音不太好', '短评打分': 4}
{'短评内容': '下次再也不来这酒店了，晚上吵死了，隔音效果差的要命，半夜被吵醒，酒店服务也让人无语，我订餐人家送到楼上了还让人家下去打我电话让我出去拿，我都洗好澡还要穿衣服，神经病啊。第二天退房的时候让开发票还理直气壮地说网上的订单我们不开发票的，最后携程协调还不是要给我开，不开发票你开什么酒店啊，这次住宿很不爽', '短评打分': 1}
{'短评内容': '环境很好 离中山路超级近', '短评打分': 5}
{'短评内容': '设施一般，过年去的，估计平时也就100多的水平吧', '短评打分': 4}
{'短评内容': '住了多次了，每次去厦门都住这家，离中山路近，理想的住宿，好，水压', '短评打分': 5}
{'短评内容': '客观的说，除了位置很好，价格便宜，离中山路很近以外，其他方面都太不行。房间超级小，基本都无窗，带小孩儿的话很不方便。', '短评打分': 3}
{'短评内容': '特别好 前台服务很好 不错', '短评打分': 3}
{'短评内容': '酒店很干净 有电脑 网速很快', '短评打分': 3}
{'短评内容': '酒店除了地理位置好，其他都不好。特别是卫生状况实在是太差了，床单脏、被子脏、枕头脏，设施非常陈旧，房间一股子霉味。住下就盼着天亮，好早点结帐走人。', '短评打分': 1}
{'短评内容': '地点还不错  性价比比较高', '短评打分': 3}
{'短评内容': '房间太小，墙壁都掉了一大块。而且不太容易找到，179的价格，不太值', '短评打分': 1}
{'短评内容': '厕所的味道有点大，房间好小，隔音效果好差，外面一点声音都能听到，墙上的石灰已经开始掉落…', '短评打分': 3}
{'短评内容': '酒店位置挺不错，购物，游玩都挺方便的，这个价格在市中心就算挺好的了，有机会还会去的。', '短评打分': 5}
{'短评内容': '酒店难找,服务不怎么好,房间有味道,当时和服务员说了,但没房间换了...希望该酒店提高服务态度', '短评打分': 3}
{'短评内容': '酒店房间很小哦，不过东西还蛮全啦，电脑也有。就是刚进去的时候房间有点味道，可能是阿姨刚打扫好的关系吧。', '短评打分': 5}
{'短评内容': '房间比较小，厕所也是，并且玻璃是透明的，外面可以看完。靠近新华路可能有些闹，价钱是185一个晚上，还是有点小贵', '短评打分': 5}
{'短评内容': '房间小了点 不过环境还不错 离步行街很近', '短评打分': 5}
{'短评内容': '定的标间，给点应该是家庭房吧，一张大床加一个相对小的床。\n没有窗，厕所还算干净，不过霉味挺厉害的。\n说是靠近码头，其实是商业街的另一头，和码头完全不着边的。等于每次都要从商业街走一遍。早餐也是直接从楼下摊贩直接购买的。要自己去前台领取。\n第一天回来的时候，门缝里还被塞了好几张小卡片（大家都懂的。。）', '短评打分': 1}
{'短评内容': '很干净，很卫生，电脑很不错，就是房间非常小，也就10平米左右，离步行街很近，但是价格偏贵', '短评打分': 3}
{'短评内容': '帮朋友订的  据说是一般啦  可能在市区一分钱一分货了', '短评打分': 1}
{'短评内容': '帮我朋友订的.朋友一到那就给我打电话 说是不好 据说的天花的漆都要掉下来了', '短评打分': 1}
{'短评内容': '一般般，小了点，天花板总是会滴水，厕所味道有点重。', '短评打分': 5}
{'短评内容': '很好 很干净 服务态度也很好 值得推荐 周围坏境也行', '短评打分': 5}
{'短评内容': '房间比较小，而且有异味，其他还好吧。。。。', '短评打分': 5}
{'短评内容': '除了小、有点小飞虫其它还好。离中山路步行街很近、交通也方便。', '短评打分': 3}
{'短评内容': '缺点：房间比较小，箱子都没地方放。卫生间有点味道。\n优点：楼下就是小吃一条街，吃饭很方便，离中山路很近，逛街吃饭很不错。房间内有电脑，上网很方便。', '短评打分': 5}
{'短评内容': '还不错，挺好找的，离中山路很近，在中山路上就能看到他家的很多广告~房间和网上看到的图片一致，但房间有些潮气，可能是没有窗户的原因。', '短评打分': 5}
{'短评内容': '总体还不错,比较干净,离中山路也很近,就是房间好小呵呵', '短评打分': 5}
{'短评内容': '挺好的 服务很周到   很温馨、、\n离中山街很近，以后去还会选择、、', '短评打分': 5}
{'短评内容': '位置蛮不错的...到各大景点都有直到的公交...而且位于中山路的尽头不会太吵...房间也干净舒适...重中之重是房间内有免费的可上网的电脑...还好没带IPAD是明智的...当初因为没订到鼓浪屿的酒店...所以两晚都住这家...现在看来还真没选错...岛上太多人...没想到酒店还包KFC的早餐...性价比还算不错...前台的MM态度很好..GG就还好...', '短评打分': 5}
{'短评内容': '优点：地理位置优越，因为新开张，各项设施较新，干净，卫生间无异味。性价比较高\n缺点：有外窗的双标房间太少少，隔音不好。房间小。无电梯。不建议老人及心脏不好的人住。', '短评打分': 5}
{'短评内容': '住宿条件挺好的！离中山路步行街很近，而且价格还比较实惠。', '短评打分': 5}
{'短评内容': '我答应过会上网正视的给予点评。 以我观点， 上网订的实惠的价格与房间提供的质量与服务确实没什么可以投诉什么了。 最喜欢是干净， 整洁和前台与房间卫生的服务员积极的态度， 算是惊讶这价格还提供了一架不错的电脑，而且上网速度很快。 电视还是IPTV 很多频道给你消磨时间。 到繁华的中山路也蛮近；如果懒 的士也是起步费而已。 出酒店往右手十多间小店有一家海鲜面／沙面馆 非常好吃！ ', '短评打分': 5}
