{'短评内容': '房间太小', '短评打分': 4}
{'短评内容': '房间还可以', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '有停车场，交通方便，旁边是建材市场', '短评打分': 5}
{'短评内容': '挺好的，就是停车不怎么好停，其他都是挺好的', '短评打分': 5}
{'短评内容': '全家总动员旅游住如家，有免费车位无线网，经济实惠，点赞', '短评打分': 5}
{'短评内容': '地方有点偏僻，环境也很一般，就是价格便宜', '短评打分': 4}
{'短评内容': '还是很实惠', '短评打分': 5}
{'短评内容': '环境好，服务也好', '短评打分': 5}
{'短评内容': '地理位子不错，酒店干净，其他普普通通，价格本来就不贵。', '短评打分': 4}
{'短评内容': '性价比不错！房间还算干净！同价位里面性价比最高！', '短评打分': 5}
{'短评内容': '简洁，方便，可以可以非常可以的。', '短评打分': 5}
{'短评内容': '和其他如家一样，没什么区别，一般般', '短评打分': 5}
{'短评内容': '热水不是很热', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店住的房间都比较干净，房间住的也很舒适。下次去那边玩还会选择这家', '短评打分': 5}
{'短评内容': '经济型酒店中不错的选择，实惠，性价比也高，今后还会来的！', '短评打分': 5}
{'短评内容': '环境不错~交通方便~周边有易卖得~很不错喔！', '短评打分': 5}
{'短评内容': '房间不错，早餐不错！坐车方便。附近吃饭方便。', '短评打分': 5}
{'短评内容': '如家如家！', '短评打分': 5}
{'短评内容': '还不错。离我家也近。态度也佳', '短评打分': 3}
{'短评内容': '前台给我们开门卡。打开房间竟然里面还有人住着。有点不放心，别人竟然也可以用其他卡打开房间。半夜还有查房。不询问的情况下就有工作人员打开房间门直接进来了。这点让人住的很不放心', '短评打分': 1}
{'短评内容': '全都满意就是隔音很差', '短评打分': 3}
{'短评内容': '挺好的，环境，路段，都不错，价格也公道，打扫房间的人员也很负责，我表示在如家的十三天入住期间，还是很愉快的。', '短评打分': 5}
{'短评内容': '酒店环境还不错，性价比还可以，早餐也比较丰富', '短评打分': 5}
{'短评内容': '这家店的卫生状况和周围的环境状况都比较差。', '短评打分': 1}
{'短评内容': '很好，很舒服', '短评打分': 3}
{'短评内容': '地理位置不错，房间卫生也不错，相比较市区的，房间比较大。周围有好几家大型超市，吃东西也很方便。下次还会去。', '短评打分': 5}
{'短评内容': '奉贤的店还是很大的，交通方便，去碧海金沙玩住那里还不错，酒店卖碧海金沙门票50，比过去买少10元\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '奉贤的店还是很大的，交通方便，去碧海金沙玩住那里还不错，酒店卖碧海金沙门票50，比过去买少10元', '短评打分': 5}
{'短评内容': '如家酒店，环境卫生挺干净，服务态度也很好，今天住的房间电视信号很差。', '短评打分': 5}
{'短评内容': '不错的酒店，以后有机会还会去哦，很干净，很温馨', '短评打分': 5}
{'短评内容': '房间如图 设施都差不多 色调也是温馨的 只是房间有点小 不过服务态度么...一般', '短评打分': 5}
{'短评内容': '比较干净,服务也不错,周边有饭店.只是停车场小了点.', '短评打分': 5}
{'短评内容': '房间虽小但挺温馨的，提供衣架但没有吹风机。', '短评打分': 3}
{'短评内容': '环境还可以，挺干净，值得推荐', '短评打分': 3}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '还不错的酒店.比较干净整洁，住着舒服.而且服务好很热情，性价比很不错.', '短评打分': 5}
