{'短评内容': '早餐一般，适合带孩子，酒店就在景区门口，有停车位的。', '短评打分': 4}
{'短评内容': '能加床，经济实惠', '短评打分': 5}
{'短评内容': '带孩子和父母一行自驾旅游路过这里，就到皇城相府看看，特别值得来。住的房间很好，对面还有4星的，应该条件更好一些。在酒店里还品尝了当地的八八宴，服务员特别热情，还给我们讲解当地民俗，很开心的一次旅行经历。', '短评打分': 5}
{'短评内容': '酒店位置得天独厚，和相府融为一体的感觉~可以免费停车（因为和公共停车场相邻，所以要和前台沟通一下停的位置）早餐纯素，爸妈吃得感觉还可以……酒店设施略显陈旧，电视是古董款的，床比较硬，热水需要放好大一会儿……总体还凑合吧，真心需要装修了……', '短评打分': 4}
{'短评内容': '酒店位置很好，离景区很近，周围有很多饭店。出租车也很多，就是有点贵', '短评打分': 4}
{'短评内容': '床特别硬', '短评打分': 5}
{'短评内容': '不错的 就在离皇城相府景区旁边', '短评打分': 5}
{'短评内容': '酒店蛮好，古色古香。就在景区边上，出门有几分钟就到。推荐。', '短评打分': 5}
{'短评内容': '挺不错的，在景区内，比较方便，但是设施有点老，价格偏高', '短评打分': 4}
{'短评内容': '360一间的标间，比很多160的房间都不如。房间很简陋，浴室更是惨不忍睹，房间没有矿泉水，水龙头里放出来的是混浊的黄色的水，绝对不能喝；洗澡的莲蓬头得拿在手里用，不然完全重不到身上；干湿不分区，洗澡后要注意脚下；热水限制供应、早上7点半、晚上7点半以后供应；早餐也很简陋，没有牛奶，品种很少，好在还有大馒头、小米粥、稀饭和咸菜。剩在位置极好，走2分钟到皇城相府。节假日在酒店住宿，停车还要交10块。床', '短评打分': 3}
{'短评内容': '离景区近，是哪里最好的酒店了', '短评打分': 5}
{'短评内容': '可以 房间比较陈旧但是离相府就100米左右', '短评打分': 3}
{'短评内容': '房间设施很旧条件一般。', '短评打分': 3}
{'短评内容': '很有冲动的想不推荐，但有时候可能不是人祸，遇到了百年不遇的整个皇城村蓄水池大清洗，断水断空调，实在是心有余悸，但地理位置确实优越，还是推荐吧', '短评打分': 3}
{'短评内容': '仅仅是能住而已。', '短评打分': 3}
{'短评内容': '很干净，还不错。', '短评打分': 3}
{'短评内容': '酒店的位置很好，就在皇城相府的边上，可免费停车在酒店的停车场里。景区就在旁边，附近其他的景点只要买上电瓶车票就车送车接了，价格很便宜5元一趟（单程）。（在皇城庄园那里有五星级酒店，环境和条件都不错，可是里景点感觉有点远了，不是很方便。）酒店的设备感觉有点陈旧，可是房间很大，还有第二天晚上洗澡没有热水，弄得宝宝和老妈都有点鼻塞。除此之外一切都满意。与其在酒店附近吃饭不如就在酒店里用餐，价格还是合理的', '短评打分': 5}
{'短评内容': '硬件比较好，装修比较别致，印象不错。美中不足：只有二部有网线接口，并且住店期间接不上网，但查资料的问题在服务员细心帮助下解决了。餐饮还行，服务员比较质朴，人不错，但服务水平仍有提升空间。总体不错，性价比很高。好评！', '短评打分': 5}
{'短评内容': '很好，推荐！', '短评打分': 3}
{'短评内容': '酒店环境是挺好的，位置还好离景区也是很近的，价格和环境也比较相符。', '短评打分': 5}
{'短评内容': '酒店硬件服务都相当好。建筑很有特色。', '短评打分': 5}
