{'短评内容': '价格相对实惠，大环境优美，可以短暂的住一两天', '短评打分': 4}
{'短评内容': '高山中的酒店，只能说解决了基本的休息问题，其它就谈不上了。不过主要是奔着那里的景色去的，其它就将就了。早餐比较简单也较贵，但有稀饭馒头，对于在家吃惯了这样早餐的人，还是很舒服的。', '短评打分': 3}
{'短评内容': '不錯的選擇', '短评打分': 4}
{'短评内容': '酒店就是农家乐水平，卫生一般，设施陈旧，布置简陋，卫生间蟑螂满地爬，周边环境还不错，草堂饭店饭菜质量还不错。', '短评打分': 3}
{'短评内容': '景区里这个价格算便宜了，基本设备也齐全，但是隔音几乎没有，一晚上都没怎么睡，永远有一群人彻夜聊天，以至于第二天早上爬主峰人是晕乎的，睡眠不好的人慎选', '短评打分': 4}
{'短评内容': '在天池边上，环境不错，早晨起来有雾的时候犹如仙境，只是外观看起来太破', '短评打分': 4}
{'短评内容': '除了周边环境还算可以，其他方面，真的没有可取之处了，下次不会再选择这里', '短评打分': 2}
{'短评内容': '酒店设施陈旧，早餐小小贵且量不足且味道不好。', '短评打分': 4}
{'短评内容': '位置好，在天池旁边，但是酒店设施老旧，卫生间很差，马桶特别脏，只有周围环境好，其他的真的一般般啦！！！价格还这么贵，比一般的五星级酒店都贵！', '短评打分': 2}
{'短评内容': '位置好，在天池旁边，但是酒店设施老旧，只有周围环境好，总分的来说性价比很高，值得推荐！', '短评打分': 2}
{'短评内容': '房间隔音不好，卫生间地漏有臭味。', '短评打分': 4}
{'短评内容': '干净，卫生，还是不错的', '短评打分': 3}
{'短评内容': '11月了，有点凉，盖了2床被子，很舒服～ 房间卫生还不错！', '短评打分': 3}
{'短评内容': '景色还行', '短评打分': 4}
{'短评内容': '酒店不贵，设施陈旧。', '短评打分': 4}
