{'短评内容': '从来没有见过这么黑心酒店，恶心，前台服务员只会推卸责任，黑店黑店，朋友们', '短评打分': 1}
{'短评内容': '✈️炒哈哈哈。', '短评打分': 5}
{'短评内容': '还不错，就洗脸盆活塞杆坏了', '短评打分': 5}
{'短评内容': '不错，老不错拉', '短评打分': 5}
{'短评内容': '安静卫生服务好', '短评打分': 5}
{'短评内容': '在飞机场附近，噪音很大，酒店用了双层隔音玻璃，但是还是挺大的飞机声，免费升级了时尚房，但是床声音太大了，稍微一翻身就咯咯的响', '短评打分': 4}
{'短评内容': '参加培训，安全设施较高！', '短评打分': 3}
{'短评内容': '还不错，干净', '短评打分': 5}
{'短评内容': '地理位置还可以。', '短评打分': 5}
{'短评内容': '非常不错的一家酒店，只是在飞机航线上，晚上睡觉有一点烦。', '短评打分': 5}
{'短评内容': '离机场太近，飞机降落声音很大，其它方面都还可以', '短评打分': 5}
{'短评内容': '飞机声音还是比較明显的！', '短评打分': 3}
{'短评内容': '床不是很舒服', '短评打分': 4}
{'短评内容': '感觉一班', '短评打分': 3}
{'短评内容': '还可以，中上吧', '短评打分': 4}
