{'短评内容': '价格和其他平台比较这里高了好多', '短评打分': 5}
{'短评内容': '垃圾宾馆，服务态度恶劣', '短评打分': 2}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '挺好的，刚开始卫生间花洒坏了，前台小姐姐很贴心，服务很好，里面很干净', '短评打分': 5}
{'短评内容': '床很软，房间有点儿小，', '短评打分': 4}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '。zzzzzzzzzzzzzzzzzzzz', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '可以的，很不错', '短评打分': 5}
{'短评内容': '五星好评，绝对值，可以，床位很好，很安静，喜欢豆豆智慧，爱上豆豆，推荐入住', '短评打分': 5}
{'短评内容': '感觉还可以网太慢了', '短评打分': 5}
{'短评内容': '空间太小，不过住的还可以', '短评打分': 5}
{'短评内容': '还可以，房间要通风，因为窗户小，空气不流通，加上燥热，就会有味道。整体来说服务还行。', '短评打分': 5}
{'短评内容': '一米五的床稍微有些小', '短评打分': 4}
{'短评内容': '就是房间太小……', '短评打分': 4}
{'短评内容': '性价比还可以', '短评打分': 4}
{'短评内容': '挺好的，小而精致', '短评打分': 5}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '除了位置还行，其他都不行，房间很小很小，床头尾都顶着墙，干湿分离根本没有。其实对于这个加钱本没有什么期望，但是由于房间设计的不合理，以及电视、空调都不好用，还是给出行带来了麻烦。不推荐', '短评打分': 3}
{'短评内容': '一如既往的方便', '短评打分': 5}
{'短评内容': '每回都住这里，挺干净的！', '短评打分': 5}
{'短评内容': '还不错吧', '短评打分': 4}
{'短评内容': '还行，价格挺实惠', '短评打分': 4}
{'短评内容': '太小了，估计也就十平米吧', '短评打分': 4}
{'短评内容': '隔音效果太差了，被路边的汽车声给吵醒了，没有睡好。', '短评打分': 3}
{'短评内容': '不错，服务也很好，比较有特色，比较精致！', '短评打分': 5}
{'短评内容': '不错，服务也很好，比较有特色', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 3}
{'短评内容': '第一次到武汉，所以预先订酒店，也不知道订哪家好，抱着碰运气的态度订了豆豆智慧旅馆，结果很令人满意，崭新的装修，价位也还可以，很棒！', '短评打分': 5}
{'短评内容': '价格比布丁要便宜，空间却要大点，整个感觉也比布丁要干净。网评有说，卫生间下水慢。不幸，我也住到了。', '短评打分': 5}
{'短评内容': '内部装修挺有创意，就是房间太小。卫生间的遮帘改为玻璃门比较好。', '短评打分': 5}
{'短评内容': '房间是我喜欢的榻榻米,可惜房间空间太小,相比之下武广附近的豆豆更好些。网速真的不给力呀!', '短评打分': 3}
{'短评内容': '住的是特色榻榻米房，虽然很小，但是住起来很舒服，窗子很小一个，如果晚上入住，第二天一早走的话，选择精致榻榻米便宜20块钱更实在，性价比很高的旅馆，以后住酒店首选这家旅馆了~ 推荐大家来住哦！', '短评打分': 5}
{'短评内容': '麻雀虽小，但五脏齐全，装修很温馨，感觉很好，总体不错啦!', '短评打分': 3}
{'短评内容': '今天来了第二次感觉大床房没有榻榻米好推荐大家选择榻榻米', '短评打分': 5}
{'短评内容': '感觉不错，值得推荐！\n下次去了还住在这里！', '短评打分': 5}
{'短评内容': '房间空间不大，不过整体布置很精致，这个价位还是可以的，无电视不过有电脑！被子的卫生还要载好点！', '短评打分': 5}
{'短评内容': '房间是挺小的，不过挺干净的。新开的感觉还行', '短评打分': 5}
{'短评内容': '新店，环境不错', '短评打分': 3}
{'短评内容': '好像是新开的，装修都不错。很干净，环境也很好，虽然房间不大，但是感觉很温馨~~~', '短评打分': 5}
{'短评内容': ' 晚上太吵了…半夜里面一群女的在走廊上闹…不知道是干嘛的…', '短评打分': 3}
