{'短评内容': '好，非常好', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '干净安静，服务态度好', '短评打分': 5}
{'短评内容': '服务态度很好，重新装修的，房间很大很干净，入住手续很规范。停车场很大，很方便。周围吃的很多，晚餐火锅炒菜都有，早餐牛肉面，羊杂泡馍，羊肠面都有。强烈推荐', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '总体来说一般，旅游季的西宁酒店价格比较贵', '短评打分': 4}
{'短评内容': '酒店卫生很差，前台态度很恶劣，网上己交全款还强要我补现金58元，进门以后房间异味很大，卫生很差，门、地毯、卫生间、床品都很脏，实在无法入住。尽管我已交了全款外加补现金，被人恶宰，但我还是决定离开，请携程给我个说法。也请网友们千万别再上当了，西宁逸景印象简直是个黑店、猪窝，千万别去！！！', '短评打分': 1}
{'短评内容': '还行吧，前几天去青海湖前才订的，回来还是选它。', '短评打分': 5}
{'短评内容': '为了第二天赶早车，才选择了这家酒店，因为他就在客运站对面。房间陈旧，设施破旧，地毯好像十年都没清洗了。幸好服务员的态度不错。', '短评打分': 2}
{'短评内容': '服务态度好，酒店房子太差。', '短评打分': 2}
{'短评内容': '在南川西路客运站对面，位置好，方便第二天坐车。房间内部一般，价格偏贵，周边不明身份者偏多。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店周边环境特别好 非常好 交通便利 出门方便', '短评打分': 3}
{'短评内容': '周边环境好 真的好 特别好 非常方便 交通便利', '短评打分': 3}
{'短评内容': '三人间很好', '短评打分': 4}
{'短评内容': '还可以 干净 服务好', '短评打分': 5}
{'短评内容': '新开业的酒店，楼梯处挂了一个哈达牛头真有点西域的特色，房间宽敞明亮温馨，被子很干净，看见很多开车来旅游的，下次有机会也开车来这住。', '短评打分': 5}
{'短评内容': '这个季节来西宁很凉爽，因此预订宾馆也非常的困难。这家宾馆虽规模不大，但很安静舒适，虽不在闹市区，出行也非常的方便。酒店的工作人员很热情，出行问询非常的耐心。宾馆房间面积很大，温度适宜，网速快。这个季节的房价还是很划来的。推荐！', '短评打分': 5}
{'短评内容': '很普通的房间,经济酒店,价钱不便宜,位置比较偏.', '短评打分': 1}
{'短评内容': ':虽然新装修，宽敞，但没有窗，空气不好。空调虚设，卫生间的排气扇响得睡不着。', '短评打分': 3}
