{'短评内容': '酒店还行，就是床垫不舒服。', '短评打分': 3}
{'短评内容': '空调声音很大，屋内透风，用过的浴巾和毛巾也不知道给没给换，反正晚上回宾馆的时候，褶褶巴巴的放在架子上，不推荐', '短评打分': 1}
{'短评内容': '房间还可以，只是里面的设施不怎么地啊，桌椅，被褥不怎么好', '短评打分': 5}
{'短评内容': ' 给我印象挺好的 很干净 很有家的感觉 尤其是那个大床 呵呵 挺软的 很舒服 以后如果有机会还会继续 选择汉唐的 ', '短评打分': 3}
{'短评内容': '地理位置不错，各性价比很高，值得入住；特别是餐厅不错，很好，就是价格有些高', '短评打分': 5}
{'短评内容': '外面看起来就不错，挺不错的房间，感觉很好，床大很舒服，就是洗手间漏水', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '一般，酒店内部设施有些陈旧，墙面也起皮。', '短评打分': 5}
{'短评内容': '酒店位置挺好的，就在车站对面，服务很到位，房间隔音效果很好，整体感觉住宿环境不错', '短评打分': 5}
{'短评内容': '房间还不错，就是洗漱用品不全，洗发水、沐浴液、洗手液通用，第一次听说。还有就是消费类的洗漱用品包装清单与实际内容不符，我的头发被严重伤害。', '短评打分': 1}
{'短评内容': '汽车站对面，交通方便。房间不错，就是水差点', '短评打分': 5}
{'短评内容': '墙体有脱落的情况,马桶也不是很好.硬件设施有待提高.位置还好挺方便出行的.退房手续办事时间长.', '短评打分': 3}
{'短评内容': '房间面积挺大，就是门口墙皮有脱落，卫生间的马桶裂了。', '短评打分': 5}
{'短评内容': '交通方便，在汽车站对面。感觉还可以，就是九楼在装修有点不好。', '短评打分': 5}
{'短评内容': '前台效率不高，入住跟退房都办了很长时间。\n房间很大，敞亮。\n早上7点40问前台说有早餐，去餐厅根本没做出来。再问前台说今天停电没做出来。', '短评打分': 5}
{'短评内容': '就住一晚，酒店还可以，毕竟价位在那，所以也就不能要求太多了。', '短评打分': 3}
