{'短评内容': '哈哈哈还好还好', '短评打分': 5}
{'短评内容': '房间宽敞明亮', '短评打分': 4}
{'短评内容': '很一般，不建议', '短评打分': 2}
{'短评内容': '不错。很干净。服务很好。', '短评打分': 5}
{'短评内容': '味道极大', '短评打分': 1}
{'短评内容': '退不了\n这是什么意思', '短评打分': 5}
{'短评内容': '离公司很近，房间整洁，住一晚不错，卫生间不够满意。', '短评打分': 5}
{'短评内容': '一般般吧', '短评打分': 5}
{'短评内容': '性价比还行', '短评打分': 5}
{'短评内容': '性价比还行', '短评打分': 5}
{'短评内容': '服务各方面都挺好的，住了一晚，第二天不想走了', '短评打分': 5}
{'短评内容': '不错。还可以。位置不错。吃东西挺方便。酒店管理的不错。下次有机会继续入住。感觉携程网提供。工作人员很热情。', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 4}
{'短评内容': '价位适中，不错不错！！！', '短评打分': 5}
{'短评内容': '还行吧，还行吧，还行吧，', '短评打分': 3}
{'短评内容': '总体一般', '短评打分': 4}
{'短评内容': '环境一般，交通方便', '短评打分': 4}
