{'短评内容': '不错，服务很好下次会入住', '短评打分': 5}
{'短评内容': '满意的，，，', '短评打分': 5}
{'短评内容': '没订成功没有马上通知我，还要我联系客服才说联系不到酒店', '短评打分': 1}
{'短评内容': '京东订房很实惠，一样的房，但要比其他平台', '短评打分': 5}
{'短评内容': '维也纳的房间比较小，价格偏高了一点，但京东的订房还是很方便的！', '短评打分': 5}
{'短评内容': 'Pour dépanner et pour pas cher, ça va. Mais ce nest pas du grand luxe. Bruyant le matin, réveillé par les travaux dans la rue. La fenêtre ne fermait pas. ', '短评打分': 2}
{'短评内容': '房间服务各方面不错，地理位置很不错，楼下吃东西也方便，在深圳这价格实在值，下次去还住这！', '短评打分': 5}
{'短评内容': '一直很喜欢维也纳，卫生，服务各方面都非常好', '短评打分': 5}
{'短评内容': '酒店很好 卫生也不错', '短评打分': 5}
{'短评内容': '房间很干净，服务很好！', '短评打分': 5}
{'短评内容': '酒店性价比还不错，其他方面一般', '短评打分': 4}
{'短评内容': '去各地都方便，四周饮食也方便，价格合理', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '设施和服务一般 适合商务旅行', '短评打分': 3}
{'短评内容': '设施和服务一般 适合商务旅行', '短评打分': 3}
{'短评内容': '设施和服务一般 适合商务旅行', '短评打分': 3}
{'短评内容': '设施和服务一般 适合商务旅行', '短评打分': 3}
{'短评内容': '环境整洁，交通方便。周边食店也多。', '短评打分': 5}
{'短评内容': '设备有点久，不过环境挺安静，需要安静的可以考虑', '短评打分': 5}
{'短评内容': '酒店房间整洁，结账迅速，交通也很方便。还会再来！', '短评打分': 5}
{'短评内容': '网速超慢，响应速度慢。其它还行。网速超慢，响应速度慢。其它还行。', '短评打分': 5}
{'短评内容': '很不错很有性价比的酒店，以后会继续选择。', '短评打分': 5}
{'短评内容': '交通还算方便，在不远处还有一家维也纳酒店，不过这家相对隔壁的那家来说感觉比较商务一些，整体还不错。设施确实比较陈旧，不过来出差住宿那是可以。', '短评打分': 5}
{'短评内容': '設施有點舊，衛生和交通也很好，隔音效果也很到位。離蛇口港衹是8分钟車程…', '短评打分': 3}
{'短评内容': '位置不错，交通方便，很近蛇口汽车站，房间一般，但床还不错。', '短评打分': 5}
{'短评内容': '環境好, 房間清潔, 感覺很好!\n藝龍服務很到位, 我凌晨3點附近找不到房間, 致電藝龍馬上就確認到房間了!', '短评打分': 5}
{'短评内容': '常常入住该酒店，位置很方便，是相对于第二天要去蛇口码头赶时间坐船的朋友而言，价格不及以前实惠，但是现在物价都在涨，习惯了住那边，就还可以接受。', '短评打分': 5}
{'短评内容': '房间感觉空间有些小 设施有点陈旧 其它卫生服务方面还可以', '短评打分': 3}
{'短评内容': '房间设施太老化 给人感觉不好', '短评打分': 3}
{'短评内容': '还行吧，就只值这个价格，钱包落在房间了酒店竟然也不吱声', '短评打分': 5}
{'短评内容': '酒店人员服务态度非常好，环境也安静舒适！性价比挺高的酒店，下次还会入住！', '短评打分': 3}
{'短评内容': '很不错 很不错 很不错 很不错 很不错 字够了吧', '短评打分': 5}
{'短评内容': '酒店价格实惠，空间也还大，就是设施有点陈旧，貌似老酒店盖头换面的。旁边还有一个维也纳三好酒店，貌似好一些。另外，酒店没有餐厅，吃早餐麻烦', '短评打分': 5}
{'短评内容': 'hen hao , very good, very clean, nearby park , near shekou ferry to go to hongkong.', '短评打分': 5}
{'短评内容': '酒店比较干净 ，离蛇口码头近。打车10分钟就可以到码头。酒店的海味做得还行。', '短评打分': 5}
{'短评内容': '房间干净  服务好', '短评打分': 3}
{'短评内容': '干净，交通方便，门口有车站，15分钟到地铁站。价格合理。', '短评打分': 5}
{'短评内容': '死党说 在维也纳就像回到了自已家一样 服务 环境都是特好的 下次去蛇口还住这 ', '短评打分': 5}
{'短评内容': '酒店有点老了，性价比还不错，硬件不行，软件还可以！', '短评打分': 5}
{'短评内容': '住过很多次, 总体感觉还是值得推荐, 不过如果回到以前的198元就更好了!', '短评打分': 5}
