{'短评内容': '离地铁站近', '短评打分': 5}
{'短评内容': '猫咪可爱  房间也很满意', '短评打分': 4}
{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 3}
{'短评内容': '价格优惠，但不差那几十块钱就别去了……', '短评打分': 3}
{'短评内容': '挺好的，经济实惠', '短评打分': 5}
{'短评内容': '一般般，上厕所很不方便', '短评打分': 3}
{'短评内容': '距离护国寺小吃街很近。很方便。有暖气，冬天不冷。适合旅游者入住。', '短评打分': 5}
{'短评内容': '条件一般般', '短评打分': 4}
{'短评内容': '一个人住了五晚，总的来说还是很不错的。旅店在一个胡同里，第一次去确实有点不太好找。规模不是特别大，但是比起其他的青旅来说还算不错的了。很有文艺气息，里面也大部分都是些年轻人。住在这儿完全不用担心。我住在二楼，唯一不太方便的就是上厕所。厕所和浴室都是统一在一楼，男女共用。但都是隔间，所以还好。厕所卫生也挺好的，浴室的水也很热。大家经常在一楼聊天玩游戏，一楼还有几只可爱的小猫咪。感觉总体氛围很好。而且', '短评打分': 5}
{'短评内容': ' 第一次住青旅，感觉还行吧，交通很方便，比较干净，也比较安全。公用卫生间，洗澡是单独隔开的浴室，有收费的洗衣机，就是晾衣服不算方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很干净，房间面积挺合适，不拥挤。离护国寺小吃街很近，有很多老字号美食，离地铁站、公交车站都很近。', '短评打分': 5}
{'短评内容': '真心不错', '短评打分': 5}
{'短评内容': '在胡同里，很有感觉的情侣，还有猫咪很可爱，住的也还不错，周围也还方便', '短评打分': 5}
{'短评内容': '地点很方便，最主要的是靠近地铁站，可以到哪都方便。卫生还算不错，较干净的，房间内还有电视。只可惜房间有点小，Wifi信号不是很好。', '短评打分': 4}
