{'短评内容': '环境蛮不错', '短评打分': 4}
{'短评内容': '一般一般一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '有停车场。方便。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房間大，位置都OK，衛生太差，燈泡壞了兩天才給換，談不上服務', '短评打分': 3}
{'短评内容': '很棒的酒店，是和家人一起，房间阳台风景也特别。，只是酒店的灯光太暗了，晚上看不清东西，希望可以改进。', '短评打分': 5}
{'短评内容': '房间很大，灯光太暗，看书不便，建议换成节能灯，增加亮度。其他还行，位置好，停车方便', '短评打分': 5}
{'短评内容': '房间很大，灯光太暗，看书不便。其他还行，位置好，停车方便', '短评打分': 5}
{'短评内容': '房间超小，真是迷你间。无窗，很昏暗。办理入住有点慢，定了3晚，第二天晚上竟然开不了门，累了一天只想休息，还要下去前台弄房卡。', '短评打分': 4}
{'短评内容': '酒店房间整洁，设施完善，餐厅味道也不错哦，服务人员态度很好，对于出行来说也很方便，周边用餐购物很方便，酒店环境卫生也很好，值得推荐！下次还会选择入住的！  ', '短评打分': 4}
{'短评内容': '很是不错 有的时候 牙膏掉在哪里了', '短评打分': 5}
{'短评内容': '在木鱼镇是档次比较高的酒店了，周围小饭店很多，吃饭比较方便，位置比较好，卫生干净，是比较理想的度假酒店', '短评打分': 5}
{'短评内容': '很不错的酒店，很干净，到各地旅游也很方便', '短评打分': 3}
{'短评内容': '位置不错！周边购物吃饭方便！酒店设施很一般！早餐品种极少！性价比不高', '短评打分': 3}
{'短评内容': '服务态度很好，硬件一般，相关设备未配到位，房间较大，就是没早餐！', '短评打分': 5}
{'短评内容': '服务质量高，能及时解决问题，就是一个房间电视未配到位。', '短评打分': 3}
