{'descr': '物有所值 ', 'star': 5}
{'descr': '位置还好，就是有点吵', 'star': 5}
{'descr': '很好，很好，很好', 'star': 5}
{'descr': '........、，。，', 'star': 5}
{'descr': '&hellip;&hellip;&hellip;', 'star': 5}
{'descr': '还不错 环境好', 'star': 5}
{'descr': '感觉还算不错的了，就是有点小遗憾吧，已经对的起这个价位了，', 'star': 5}
{'descr': '服务态度好', 'star': 5}
{'descr': '还阔以', 'star': 5}
{'descr': '房间不怎么干净，浴室水龙头的水都出不来，没有停车场，门口停车费很贵', 'star': 2}
{'descr': '脏乱差，感觉就是红灯区.....', 'star': 2}
{'descr': '不错有味道有特色的酒店', 'star': 4}
{'descr': '非常好', 'star': 5}
{'descr': '基本还行，不过感觉不太干净吧。', 'star': 4}
{'descr': '交通挺便利的。房间也很干净整洁  前台服务也很好 值得推荐 下次来苏州还会来的。', 'star': 3}
{'descr': '前台很客气，房间还是不错的，还有很多改进的地方。', 'star': 3}
{'descr': '挺有特色的 适合情侣住 位置不错 打扫的阿姨也很好 就是房间隔音效果不是很好 ', 'star': 5}
{'descr': '酒店算是比较独特的，比较新颖，总体印象不错！', 'star': 5}
{'descr': '不好。没车位。设备一般。性价比低。管理混乱。家庭作坊。', 'star': 1}
