{'短评内容': '还好，感觉卫生一般，不过是凌晨到的飞机，很快就到了，比较近', '短评打分': 3}
{'短评内容': '老板挺好的。服务态度也挺好', '短评打分': 5}
{'短评内容': '价格和住宿条件严重不符！', '短评打分': 2}
{'短评内容': '太差了', '短评打分': 3}
{'短评内容': '临时过夜住的，挺不错的，老板人不错，有机会可以考虑一下这个', '短评打分': 5}
{'短评内容': '老板服务到位，酒店性价比很高，以后还会入住', '短评打分': 5}
{'短评内容': '还可以的啦，和闺密两个人来的半夜十二点多了才到；老板很热心，早上去五四广场附近老板还帮忙安排了车～10块钱就到了，超便宜～', '短评打分': 5}
{'短评内容': '老板服务很周到，很温馨', '短评打分': 4}
{'短评内容': '潮湿、设施不好。地处偏僻处。老板人挺好。', '短评打分': 2}
{'短评内容': '无话可说', '短评打分': 1}
{'短评内容': '一般般吧，凑合住了', '短评打分': 3}
{'短评内容': '好像重新装修了，感觉还不错，老板人挺好', '短评打分': 5}
