{'短评内容': '空调有滴水，我还以为是热水壶的～但整体感觉还不错，早上起来就能看见下面街景。', '短评打分': 4}
{'短评内容': '隔逛的地方近 但是房间特别小 一次性拖鞋都没有 浴帽也没有', '短评打分': 3}
{'短评内容': '没有早餐 不加床 可以带小孩 房间小 床小 环境离都江堰市区近 比较方便 但反正就是一般般 而且都江堰的风景都很贵', '短评打分': 3}
{'短评内容': '还可以，卫生不错', '短评打分': 5}
{'短评内容': '总体来说还是不错的，价格实惠，地理位置比较好，不过设施比较陈旧，毕竟是多年的老店了。', '短评打分': 3}
{'短评内容': '太旧太老了，而且价格很不划算，没性价比', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '环境可以，价格合适', '短评打分': 5}
{'短评内容': '位置很好，附近很多吃的地方，离景区也不远，走了也就10来分钟就到来。', '短评打分': 4}
{'短评内容': '挺实惠的酒店 酒店周边有商场和沃尔玛很方便 服务也很不错 早上退房的时候正好看见在换洗床上用品', '短评打分': 4}
{'短评内容': '房间光线有点暗，床比较舒服，一个人住够用了。', '短评打分': 5}
{'短评内容': '对于这个价位的已经很不错了。而且在景区里面，位置很好。', '短评打分': 4}
{'短评内容': '很不错哟！好评！', '短评打分': 5}
{'短评内容': '房间有很大味道，位置还可以。。', '短评打分': 3}
{'短评内容': '房间小，洗澡时水时冷时热，房间隔音差，不过相对房间价位还是合适的！', '短评打分': 2}
