{'descr': '位置很好 周邊環境不錯 離地鐵站很近，附近生活機能非常好 下次還會再過去住 櫃檯服務人員也很親切 離景區也很近', 'star': 5}
{'descr': '还可以吧，就是房间小点，其他的都可以！', 'star': 4}
{'descr': '性价比高，交通方便', 'star': 5}
{'descr': '很好   很好', 'star': 5}
{'descr': '酒店离山塘街很近，离地铁站也挺近，这个比较方便。房间很小，装修简单，设施也简单，没有同一大楼里的其他酒店看起来好。', 'star': 5}
{'descr': '还不错 京东老客户 继续支持 也希望京东越来越好', 'star': 5}
{'descr': '酒店地理位置好，就在地铁口，离石路步行街、美食街、国际商场也很近，休闲娱乐逛街购物方便，房间整洁干净，性价比很高，还会继续入住的', 'star': 5}
{'descr': '酒店地理位置好，就在地铁口，离石路步行街、美食街、国际商场也很近，休闲娱乐逛街购物方便，房间整洁干净，性价比很高，还会继续入住的', 'star': 5}
{'descr': '可以的，便宜实惠', 'star': 5}
{'descr': '位置方便，离出差的地方近', 'star': 5}
{'descr': '干净整洁，房间略小，没有拖鞋，床太硬', 'star': 4}
{'descr': '酒店位置好，交通方便， 靠近地铁出口。 房间大小还可以，挺干净的。 主要是交通很方便，出差住宿的好地方，省钱才是王道', 'star': 5}
{'descr': '比较旧…', 'star': 3}
{'descr': '周围靠商业区，买东西很方便', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '位置很好，挨着石路地铁站，房间一如既往的干净、整洁，值得推荐！', 'star': 3}
