{'短评内容': '挺好的，性价比高，离高铁近', '短评打分': 4}
{'短评内容': '非常不错，吃饭方便就在楼下，离拱北10元的士', '短评打分': 4}
{'短评内容': '非常不错的旅游酒店，性价比高，楼下就是喝茶吃饭的地方，非常方便，我是第三次住这酒店，离拱北10元钱的士，', '短评打分': 4}
{'短评内容': '巛', '短评打分': 5}
{'短评内容': '房間大。地方交通好', '短评打分': 5}
{'短评内容': '以前住过，但今年房间没有送小饼干', '短评打分': 5}
{'短评内容': '环境可以，已住多晚', '短评打分': 5}
{'短评内容': '环境可以，已住多晚', '短评打分': 5}
{'短评内容': '里面的一次性用品不是很好，特别是牙刷，好硬的，还有就是查房速度超级慢，要等好几分钟', '短评打分': 2}
{'短评内容': '不错，价格相对合理，离口岸很近，方便的交通，吃的东西非常不错。以后也会选择这里', '短评打分': 4}
{'短评内容': '真的不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店设施一流，服务不错，房间也很好。只是门前有个工地，而且正对着医院不太好', '短评打分': 5}
{'短评内容': '去珠海首选的酒店，性价比比较高。', '短评打分': 5}
{'短评内容': '酒店非常正规，房间很大，服务很好。', '短评打分': 5}
{'短评内容': 'so so hotel, no parking place!', '短评打分': 1}
{'短评内容': '如果想在拱北找个安静的酒店可以选择, 离拱北口岸打车不算太远', '短评打分': 5}
{'短评内容': '房间干净、大气，床宽大舒服，距拱北不远，物有所值。', '短评打分': 5}
{'短评内容': '到了那竟然说没房，爱理不理的。服务非常差。', '短评打分': 1}
{'短评内容': '已住', '短评打分': 3}
{'短评内容': '酒店旧了点。', '短评打分': 3}
