{'descr': '很是一般般呀', 'star': 2}
{'descr': '值得的大家入住', 'star': 5}
{'descr': '酒店地理位置好，旁边就是超市，有免费露天停车场，门外铺有地毯隔音效果不错，亲子房，一大床一小床，三个人两床被子，不提供多余被子，只能增加一床毛毯，毛毯霉味很重。', 'star': 4}
{'descr': '位置挺方便的', 'star': 5}
{'descr': '很好！环境不错...交通便利～服务员态度也很热情！主动帮我们换了间更舒适的房间！', 'star': 5}
{'descr': '一分价钱一分货吧！不怎么样！', 'star': 3}
{'descr': '商旅酒店还行', 'star': 5}
{'descr': '常入住的酒店，朋友出差过来就推荐入住了。', 'star': 5}
{'descr': '价格实惠啊 其他就算可以了', 'star': 4}
{'descr': '还算可以吧', 'star': 3}
{'descr': '这价位还算不错的', 'star': 3}
{'descr': '房间很小，外面有个天井式的小花园，还算干净', 'star': 4}
{'descr': '不错不错', 'star': 5}
{'descr': '前台姐姐棒棒的 喜欢重庆的气候 棒棒哒～', 'star': 5}
{'descr': '不错，继续入住', 'star': 5}
{'descr': '不错 在重庆这价格 很OK啦', 'star': 4}
{'descr': '房間略小，小花园美！', 'star': 5}
{'descr': ',服務親切，舖磁磚維護得很乾淨，還箅滿意', 'star': 3}
{'descr': '不值得推荐，还当不了一般的商务酒店', 'star': 3}
{'descr': '旁边新开了个电影院', 'star': 3}
{'descr': '没有想象的好，花园也不好看，服务倒是不错', 'star': 1}
{'descr': '交通方便，附近有大超市购物，离江北商圈比较近，比较好的商务酒店。不错', 'star': 5}
{'descr': '很有特色，俺是去年十月下旬去九寨沟到重庆转机住了2天。位置不错，楼下有富侨，挨着超市，房间不大，厕所的洗脸盆太小，东西没地放，花园还行。早餐一般，餐桌太单薄。总体性价比不错。', 'star': 5}
{'descr': '首先，房间比较旧了。\r\n其次，花园房比较**，门口一片小阳台，种了一点花花草草。\r\n然后，不隔音，隔壁房间嘿咻嘿咻的简直是直播。', 'star': 1}
{'descr': '交通方便，旁边就是大超市，超市门口无数辆公交车，到机场半个小时左右，酒店走廊装修很花园很萝莉，不过房间内部设施一般，还算实惠', 'star': 5}
{'descr': '在卜蜂莲花超市旁边，门口就是公交车站，交通很方便，酒店在5楼，走廊是花园式装修风格，部分房间带小花园，还算实惠', 'star': 5}
{'descr': '位置不错，房间感觉有点旧，设施也只能说一般', 'star': 5}
{'descr': '酒店的位置交通很方便，附近的大超市让购物也很方便，房间干净舒适，值得推荐。', 'star': 5}
{'descr': '地理位置尚可，房间隔音太差，晚上太吵了。 总体感觉一般。', 'star': 1}
{'descr': ' 酒店环境不错，楼下有超市，免费停车很方便，满意。', 'star': 3}
{'descr': '房间的空调不好，申请换房间时，被告知其它房间也一样。晚上睡觉没脱衣服，还多要了一床被子。真冷啊！', 'star': 1}
{'descr': '给老婆和丈母娘订的，说是环境还可以。周围也比较方便。', 'star': 5}
{'descr': '感觉很好，又住了一晚，装修新，风格很温馨，还有一个小花园，很不错的。', 'star': 5}
{'descr': '地理位置很好，楼下就是力帆体育城，还有莲花超市，旁边餐馆也很多，政府机关也在附近，装修很新，感觉很温馨，值得一住。', 'star': 5}
{'descr': '环境很好,酒店感觉很温馨,出行购物也很方便,服务不错,本来是定的商务大床房,去的时候没房间就给免费升级了花园套房,虽然在马路边但是很安静,下次还来~!', 'star': 5}
{'descr': '经济干净环境好', 'star': 3}
{'descr': '位置好 交通方便 有没有商业中心的喧嚣 酒店性价比也还好', 'star': 5}
{'descr': '交通方便 不是商业中心 但购物餐饮都很便利 坐车也还好', 'star': 1}
{'descr': '很可爱的田园风呢，有花园，还送了奶茶，泡了一壶坐在小花园，感觉很小资啊！', 'star': 5}
{'descr': '顺利入住。小巧玲珑，干净整洁的酒店！', 'star': 3}
