{'短评内容': '小清新文艺范儿的宾馆', '短评打分': 5}
{'短评内容': '就在景区对面，很近，交通方便，附近就有便利店和饭店。', '短评打分': 4}
{'短评内容': '一般般，', '短评打分': 4}
{'短评内容': '酒店位置在南广场附近，坐地铁的话不太好找，要穿过景区，但是公交方便，我从酒店到火车站才40分钟不到车程，酒店装修时间比较久了，设施比较老旧，但还是小清新的风格，老板人很好，有养一条狗狗，我在那边住了一宿，次日在那边寄存了行李到下午两点左右。价格非常便宜', '短评打分': 4}
{'短评内容': '无早餐  装修很棒  就是潮湿味有点重', '短评打分': 4}
{'短评内容': '比较温馨，装饰也很文艺，整体性价比还可以，就是被子有股潮味，房间窗户临街有点吵。', '短评打分': 4}
{'短评内容': '服务非常好', '短评打分': 5}
{'短评内容': '不是很理想', '短评打分': 4}
{'短评内容': '没住钱付了，没办法', '短评打分': 5}
{'短评内容': '我们是打车去的 位置很好找的 就在大雁塔广场附近 晚上还去看了音乐喷泉 第二天就在客栈附近5分钟路程乘坐30路公交车去火车站 在做游5去华清池和兵马俑 去时在携程旅行网上查的 预订的房间 服务的美女很热情 还贴心的做了在西安游玩的手写卡片 若是再来西安 还会来这间客栈的 ', '短评打分': 5}
{'短评内容': '一家很有特色的店，就在回民街里，是一个很老的四合院改造的，可能是去的人多了，房间卫生不是很好，有点异味', '短评打分': 4}
{'短评内容': '位置好，环境好！', '短评打分': 5}
{'短评内容': '其实酒店的位置还是蛮不错的，离着大雁塔景区比较近，步行不用10分钟就到了。房间的卫生和设施也将就，公共区域比如走廊、楼梯间就布置的比较文艺，房间一般般，铺的地毯脏的都能看出来痕迹，各种遥控器上各种灰，空调开始不好使，让老板上来看，结果打发了一个女孩子（估计是雇的服务员，后面叫女服）来看，鼓捣半天啥也整不明白，还是自己动手调的，洗手间靠窗，漏风，马桶盖是坏的，不过洗脸巾和浴巾还算是比较好的。接下来谈', '短评打分': 3}
{'短评内容': '总体还不错，出行很方便', '短评打分': 3}
{'短评内容': '总体还是不错。去的时候入住客人不多，很安静。', '短评打分': 3}
{'短评内容': '房间很干净，该有的都有，而且很便宜。', '短评打分': 5}
