{'短评内容': '不太好找，太安静了', '短评打分': 5}
{'短评内容': '酒店位置一般，服务和设施尚可。', '短评打分': 4}
{'短评内容': '据说性价比挺高的', '短评打分': 5}
{'短评内容': '还行，住了几次了', '短评打分': 5}
{'短评内容': '房间没有主动打扫：连续2天未打扫，去叫了才打扫； 早餐还不错，比较丰富的。', '短评打分': 3}
{'短评内容': '房间没有主动打扫：连续2天未打扫，去叫了才打扫；早餐还不错，比较丰富的。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '因为便宜，所以房间居然没有窗。', '短评打分': 5}
{'短评内容': '设施好，房间很大，很不错', '短评打分': 5}
{'短评内容': '还不错吧，地面卫生应该加强', '短评打分': 4}
{'短评内容': '设施比较旧，卫生还好，离市区太远，网络信号太差', '短评打分': 4}
{'短评内容': '酒店附属于休闲会馆，没有自己的吃早餐的地方，和休闲中心的客人一起，不方便订的有窗房，实际给的房间无窗，房间味道大，无缘态度很好。', '短评打分': 1}
{'短评内容': '位置不好，吃饭很不方便，价格比较贵，不是专业的住宿酒店', '短评打分': 1}
{'短评内容': '酒店比较干净，交通方便，配套同名洗浴中心，休闲娱乐', '短评打分': 5}
{'短评内容': '酒店不错，新开业，温泉会所，休闲娱乐方便，唯一缺点打车不方便', '短评打分': 5}
{'短评内容': '宾馆位于西三环边上 位置不算偏 但周围及其不方便 没有吃饭的地方 只能打的出去吃东西 这是一家浴场老板开的宾馆 所以带着非常浓重的浴场味道 有着非常好的硬件 符合四星标准 但软件一塌糊涂 整个宾馆的管理接近乱糟糟 入住后 房间里没有浴巾 没有一次性拖鞋 还是找服务员送来房间的 早餐是和浴场的早餐一起混用的 看着穿着浴袍的人在你眼前走开走去 感觉真是怪怪的 总之这个酒店不适合商务入住 最后说一句 这', '短评打分': 1}
{'短评内容': '有好吃的水果服务很好', '短评打分': 3}
{'短评内容': '房间很好，但管理不专业。可惜。位置比较偏', '短评打分': 1}
{'短评内容': '酒店硬件设施不错，属于高档四星到低档五星之间的级别，只是服务人员看起来没有受过很专业的酒店服务培训，虽然态度不错但略显业余。btw，自助早餐很差！', '短评打分': 5}
