{'短评内容': '比较干净，性价比还可以', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '早餐还可以，能吃饱', '短评打分': 5}
{'短评内容': '房间还可以，挺干净整洁，设施齐全', '短评打分': 5}
{'短评内容': '早餐差', '短评打分': 5}
{'短评内容': '挺好的 下次还会去', '短评打分': 4}
{'短评内容': '挺不错的，就是电视机不能看，不太舒服', '短评打分': 5}
{'短评内容': '不对比不知道这个坑，就是个快捷酒店摇身一变就变这个价了？你要清楚这价格在很多地方都快够的上四星了，真不知道那好评是怎么刷出来的，我是很少给差评的人，但这次真不同，前台服务也差，谁选谁坑，不信自试。', '短评打分': 2}
{'短评内容': '发错不错的', '短评打分': 5}
{'短评内容': '酒店设备很新，干净，网速100000000000000000000000000000000000000', '短评打分': 5}
{'短评内容': '出行方便，环境不错', '短评打分': 5}
{'短评内容': '下次还会来', '短评打分': 5}
{'短评内容': '还是不错的设施。', '短评打分': 5}
{'短评内容': '酒店设施很好，周边便利', '短评打分': 5}
{'短评内容': '环境很好，房间干净，还有夜宵送到房间，满意服务。就是房间地板有台阶，不小心会踢到。', '短评打分': 5}
