{'短评内容': '设施较旧、服务较差，进了房间还是选择不住这里', '短评打分': 3}
{'短评内容': '环境不错，就是没什么早餐供应', '短评打分': 5}
{'短评内容': '酒店的风格还是比较有特色的，很幽静，喜欢奢华的就不要选择了，酒店适合文化底蕴比较高的人群', '短评打分': 5}
{'短评内容': '仿古设计，粗糙些，有些传统思想', '短评打分': 4}
{'短评内容': '国庆去的把车停在客栈步行到宏村约20分钟，客栈外观还不错，房内设施简陋，卫生一般，餐厅饭菜口味一般价格偏高，可能在宏村已经算不错的了', '短评打分': 3}
{'短评内容': '酒店位置偏了点，早餐一般，还是不错的', '短评打分': 4}
{'短评内容': '离宏村有点远，但自驾游的特别方便。酒店古色古香，别有情调。', '短评打分': 3}
{'短评内容': '非常有徽州文化的酒店，老板人很好，我们到店都9点了，还到厨房给我们做饭，味道很好，也很实惠的。房间都是木制的，有股淡淡松木香，妈妈很喜欢的。酒店环境是古老的徽州大户人家。很有情调', '短评打分': 3}
{'短评内容': '交通不便，距离宏村景区大门还有2公里的路程。没有早餐，卫生状况不好，属于农家乐一类的，还没有农家乐的服务好。', '短评打分': 3}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '很老的酒店', '短评打分': 5}
{'短评内容': '酒店环境很好，古色古香，但是饭确实不怎么，厨房的卫生状况不怎么好，房间有灰尘，离宏村景区比较远，要走半个小时。。。', '短评打分': 5}
