{'短评内容': '这个价格就这样了', '短评打分': 5}
{'短评内容': '的确该装修了！', '短评打分': 4}
{'短评内容': '房间很大，但是老旧，灰尘都有，床单被子很旧，还有痕迹，感觉很久没有人住过一样，整个酒店阴森森的就前台有一个人！', '短评打分': 2}
{'短评内容': '还可以了吧，装修太成旧了。', '短评打分': 5}
{'短评内容': '问问什么时间打返款？', '短评打分': 5}
{'短评内容': '还行，性价比好', '短评打分': 3}
{'短评内容': '还行  性价比高', '短评打分': 3}
{'短评内容': '性价比还可以', '短评打分': 3}
{'短评内容': '酒店还算干净，毕竟很便宜，这个价钱不错了', '短评打分': 3}
{'短评内容': '环境不好，屋内设施很旧，不会再住了', '短评打分': 1}
{'短评内容': '入住很多次了，很安静，就是设备太旧了。', '短评打分': 4}
{'短评内容': '很多次入住，很安静。', '短评打分': 4}
{'短评内容': '服务态度很好  房间很干净', '短评打分': 4}
{'短评内容': '还不错哦', '短评打分': 5}
{'短评内容': '里面设施还不错，也比较清净', '短评打分': 3}
