{'descr': '前台很差', 'star': 2}
{'descr': '可以加沙发床', 'star': 5}
{'descr': '很有气质的酒店', 'star': 5}
{'descr': '非常 无意间注意到的 但有了意外惊喜，房间结构布局都很好 服务队伍专业热情 周边配套齐全 非常好的入住体验', 'star': 5}
{'descr': '早餐挺健康，员工很友善，房间很干净，安静出行方便', 'star': 5}
{'descr': '闹中取静，总台懂日语，方便日本人住宿。', 'star': 4}
{'descr': '环境好 交通方便 很干净', 'star': 5}
{'descr': '还不错的酒店，已经不是第一次入住了，以后或许还会继续入住。距离地铁站有些远，附近好吃的地方也不多，这点比较不好', 'star': 3}
{'descr': '今天方便 很干净 ', 'star': 5}
{'descr': '环境好 很干净交通方便', 'star': 5}
{'descr': '一如既往的好～第二次入住了！很干净～厨房及周边配套设施齐全～', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '环境可以，交通也方便、自驾可停车、价格稍贵！', 'star': 5}
{'descr': '管理很完善 涉外公寓 各方面都很人性化 除了车位紧张', 'star': 5}
{'descr': '温馨，家的感觉！', 'star': 5}
{'descr': '酒店设施齐全，性价比较高。环境还不错，金鸡湖附近。', 'star': 5}
{'descr': '地理位置都很好 方便\n聽說早餐很細緻\n離環球188近\n可以步行或是打車不跳表\n', 'star': 5}
{'descr': '只要是出差，都订这里。安静、整洁。早餐也不错，中西方的都有得选。', 'star': 5}
{'descr': '不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，', 'star': 1}
{'descr': '不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，不推荐，', 'star': 1}
{'descr': '服务态度不好.', 'star': 3}
{'descr': '服务态度不好.', 'star': 3}
{'descr': '服务很好', 'star': 3}
{'descr': '服务很好', 'star': 3}
{'descr': '环境还可以 卫生不错 挺干净的毛巾什么的整理的很好 就是空调不太热', 'star': 5}
{'descr': '环境还可以 卫生不错 挺干净的毛巾什么的整理的很好 就是空调不太热', 'star': 5}
{'descr': '靠近和平路步行街，不远处还有辽宁路小吃街，地段不错，设施还行，就是住的时段停止供暖，空调又不制暖，所以比较冷。', 'star': 5}
{'descr': '靠近和平路步行街，不远处还有辽宁路小吃街，地段不错，设施还行，就是住的时段停止供暖，空调又不制暖，所以比较冷。', 'star': 5}
{'descr': '虽然地理位置不错，方便打的、公交路线也多，但是房间太冷。暖气不能用的，最近天气越暖和，可是其实晚上还是冬天啊！我们都睡得不太好，我们穿着针织衫和牛仔裤睡觉也很冷，真受不了了。我只住了1天，可真不满意。', 'star': 1}
{'descr': '虽然地理位置不错，方便打的、公交路线也多，但是房间太冷。暖气不能用的，最近天气越暖和，可是其实晚上还是冬天啊！我们都睡得不太好，我们穿着针织衫和牛仔裤睡觉也很冷，真受不了了。我只住了1天，可真不满意。', 'star': 1}
{'descr': '订的套房没订到，临时换个，有点不满', 'star': 3}
{'descr': '订的套房没订到，临时换个，有点不满', 'star': 3}
{'descr': '住着居然停水了 无语 地理位置不错 价格稍贵 窗户太小了', 'star': 5}
{'descr': '住着居然停水了 无语 地理位置不错 价格稍贵 窗户太小了', 'star': 5}
{'descr': '设施太陈旧，主要地毯比较脏，有异味。空调效果一般。', 'star': 1}
{'descr': '地理位置非常好，很方便，早餐很给力啊，中西式的都有，满意！！！', 'star': 5}
{'descr': '设备不是特别不好，电视信号不好，水太脏，一打开有沙子流出来', 'star': 1}
{'descr': '设备不是特别不好，电视信号不好，水太脏，一打开有沙子流出来', 'star': 1}
{'descr': '地段非常好，出门就是步行街，就是房间小了点，整体来说在这个地段这个价格还是很有性价比的', 'star': 5}
{'descr': '地段非常好，出门就是步行街，就是房间小了点，整体来说在这个地段这个价格还是很有性价比的', 'star': 5}
{'descr': '酒店除了地里位置不错，房间环境不好，强纸破损打的补丁，电视信号也不好，地毯很脏', 'star': 3}
{'descr': '酒店除了地里位置不错，房间环境不好，强纸破损打的补丁，电视信号也不好，地毯很脏', 'star': 3}
{'descr': '地理位置非常好，工作人员服务态度也很好。唯一不足就是房间很陈旧，墙纸大面积脱落，看上去不太好。', 'star': 5}
{'descr': '地理位置非常好，工作人员服务态度也很好。唯一不足就是房间很陈旧，墙纸大面积脱落，看上去不太好。', 'star': 5}
{'descr': '地理位置好，在和平路口。空调实在是不给力，晚上冻得要死，洗澡的水流也太小，床不是很舒服，进屋有一股子潮味。', 'star': 5}
{'descr': '地理位置好，在和平路口。空调实在是不给力，晚上冻得要死，洗澡的水流也太小，床不是很舒服，进屋有一股子潮味。', 'star': 5}
{'descr': '屋内很冷，后来发现空调设置到暖风30度居然出的是冷风，也没有地方停车，问前台居然回答没有办法，结果被贴了200圆，很气愤，没有停车场你们在网上写什么免费停车啊？是免费，你们不收钱，自己找地停，POLICE收了200走，再也不去了，欺骗消费者。', 'star': 1}
{'descr': '屋内很冷，后来发现空调设置到暖风30度居然出的是冷风，也没有地方停车，问前台居然回答没有办法，结果被贴了200圆，很气愤，没有停车场你们在网上写什么免费停车啊？是免费，你们不收钱，自己找地停，POLICE收了200走，再也不去了，欺骗消费者。', 'star': 1}
{'descr': '酒店的地理位置不错，服务还行，卫生状况有待改善。', 'star': 1}
{'descr': '酒店的地理位置不错，服务还行，卫生状况有待改善。', 'star': 1}
{'descr': '房间有点冷', 'star': 3}
{'descr': '房间有点冷', 'star': 3}
{'descr': '卫生很干净 地理位置不错 房间很安静适合休息 很适合旅游的旅客', 'star': 3}
{'descr': '卫生很干净 地理位置不错 房间很安静适合休息 很适合旅游的旅客', 'star': 3}
{'descr': '房间不错.冬季有些冷.房间空调不是很足。交道很方便', 'star': 5}
{'descr': '房间不错.冬季有些冷.房间空调不是很足。交道很方便', 'star': 5}
{'descr': '酒店是中央空调，而且温度不高，要盖两床被子，主要是地理位置很好，服务员的服务态度很好。', 'star': 3}
{'descr': '酒店是中央空调，而且温度不高，要盖两床被子，主要是地理位置很好，服务员的服务态度很好。', 'star': 3}
{'descr': '房间很好。离火车站很近。房间很古色古香。很喜欢', 'star': 5}
{'descr': '房间很好。离火车站很近。房间很古色古香。很喜欢', 'star': 5}
{'descr': '好且乾淨', 'star': 3}
{'descr': '房间比想象中的大！设施非常齐全，尤其是厨房。所有的电器都是好牌子。唯一的缺点可能是枕头的枕芯太软。但整体的设施和服务都非常好！', 'star': 5}
{'descr': '电视信号不稳定,房间铺的地毯显得比较旧.', 'star': 5}
{'descr': '电视信号不稳定,房间铺的地毯显得比较旧.', 'star': 5}
{'descr': '交通便利，环境不错', 'star': 3}
{'descr': '交通便利，环境不错', 'star': 3}
{'descr': '酒店靠近步行街非常方便，就是房间铺的地毯显得比较旧。', 'star': 3}
{'descr': '酒店靠近步行街非常方便，就是房间铺的地毯显得比较旧。', 'star': 3}
{'descr': '房间隔音太差，大白天就听见隔壁嘿咻，声音别提有多大了！交通不错，很方便！', 'star': 3}
{'descr': '房间隔音太差，大白天就听见隔壁嘿咻，声音别提有多大了！交通不错，很方便！', 'star': 3}
{'descr': '房间电视没法看，洗澡水不热，服务还不错', 'star': 3}
{'descr': '房间电视没法看，洗澡水不热，服务还不错', 'star': 3}
{'descr': '环境不错，    交通便利，    早餐品种有点少', 'star': 5}
{'descr': '环境不错，    交通便利，    早餐品种有点少', 'star': 5}
{'descr': '环境不错，交通方便', 'star': 3}
{'descr': '环境不错，交通方便', 'star': 3}
{'descr': '酒店位于市中心步行街,交通便利,推荐入住!', 'star': 3}
{'descr': '酒店位于市中心步行街,交通便利,推荐入住!', 'star': 3}
{'descr': '服务挺好…环境也不错…整体感觉很满意…', 'star': 3}
