{'短评内容': '小房间  有股味道', '短评打分': 4}
{'短评内容': '明明写着可以刷银联，结果根本就不行，网速慢，房间也一般吧。', '短评打分': 5}
{'短评内容': '酒店不错，环境好，房间还有电脑可以上网，不过要收点费，不多，一天10元，很不错的了。', '短评打分': 5}
{'短评内容': '毛巾太脏啦，太吵', '短评打分': 3}
{'短评内容': '第一，房间超级不隔音，而且门下面有很大的缝隙，晚上，各种声音，各种灯光。\n第二,前台不是很专业，入住后，房间上不了网，居然说他们也没办法，当时各种无语。\n总之不是很推荐', '短评打分': 1}
{'短评内容': '还不错吧，就是电脑还要另外收费挺不合理的，之前也没说。另外房间隔音不好···', '短评打分': 5}
{'短评内容': '酒店设计概念时尚，不过酒店内的设施还有待改善。', '短评打分': 5}
{'短评内容': '不错，很安静', '短评打分': 3}
{'短评内容': '早上，太吵！！!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 1}
{'短评内容': '＋有点艺术范儿，房间偏小，地方有点偏僻＇＇房间隔音效果不是很好＇＇整体一般，适合体验一次。', '短评打分': 3}
{'短评内容': '门前有9路汽车，去长途车站和火车站，火车东站都很方便。设施还可以，比较安静。', '短评打分': 5}
{'短评内容': '地理位置交通方便 价格合理 服务热情周到  干净卫生 ', '短评打分': 5}
{'短评内容': '地理位置比较方便.不是很干净.白色毛巾可能用的时间比较长.感觉比较脏', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '服务还行，就是屋里味道太大，房间有点小！', '短评打分': 5}
{'短评内容': '环境不错！价格合理！交通便利！服务态度也不错！', '短评打分': 5}
{'短评内容': '比较于去年入住来看，一是服务员的意识差了很多，礼貌用语完全没有；二是房间味道大，蚊子多，卫生状况一般；三是房间内的毛巾真的是洗的有点黑，建议应该更好。当然了，就性价比而言，比较7天，如家，168这3家经济酒店，还是不错的！如果下次还去宜昌的话，可以选择继续入住！当然了，对于二次入住酒店没有任何形式上的表示！', '短评打分': 5}
{'短评内容': '酒店还不错.就是停车位置有点小.房间稍嫌小,其他还不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '房间也定错了，消费卷也说不能用，不知道怎么搞的！有待改善！！！', '短评打分': 5}
{'短评内容': '一般把，开始定的130的 房间太小了，就换成170的了，房间还挺大的，环境一般。不满意的是毛巾感觉不是很干净，并且洗手间很滑。性价比不是很高，下次可能会考虑其他的快捷酒店。', '短评打分': 1}
{'短评内容': '房子太小了', '短评打分': 3}
{'短评内容': '很经济的酒店 如果不是商务的话 想选择便宜点的 这个还不错', '短评打分': 5}
{'短评内容': '房间小了点，但挺别致的，性价比也还行！就是住在电梯附近有点吵，其他的都还不错！', '短评打分': 5}
{'短评内容': '环境还可以，但是电视太不给力了，还有电脑如果能装音响就更好了。', '短评打分': 5}
{'短评内容': ' 有窗户但被一堵墙挡得严严实实。', '短评打分': 3}
{'短评内容': '宜昌泊家艺术酒店总体感觉不错，总台服务人员态度良好。', '短评打分': 3}
{'短评内容': '如果能够供应早点就好了！我每次回宜昌都住这家酒店，而且还是我公司签约定点酒店！', '短评打分': 5}
{'短评内容': '酒店房间太小，很压抑，服务员态度也不好!', '短评打分': 1}
{'短评内容': '我常住，非常好：', '短评打分': 3}
{'短评内容': '我们一般回宜昌已经是凌晨1点多了，所以才住进这里，但是要是那个时候酒店还有宵夜就更好！', '短评打分': 5}
{'短评内容': '我订的是梦幻单间吧好像 房间太小了。网速也非常的慢。不过他的餐厅还是不错的 很实惠 而且菜的味道也不错。', '短评打分': 1}
{'短评内容': '很不错。。。值得推荐。。。环境很好。。离万达广场也很近', '短评打分': 5}
{'短评内容': '房间太小。网速比较慢。床也比较小。我住的是迷你房。总之性价比还是欠缺了点。', '短评打分': 5}
{'短评内容': '地点有点偏远，不太方便，住的是靠马路的房间，很吵！一晚上没有睡好！', '短评打分': 1}
{'短评内容': '房间很大，也很干净，性价比高。床也很大。适合一家人旅游用。安静，离市中心也近。后来步行10分钟到江边。', '短评打分': 5}
{'短评内容': '房间内饰可以更加精细一些。网速有点不稳定。不过隔音效果比较好，住得比较舒服', '短评打分': 5}
{'短评内容': '很不错，下次还会住', '短评打分': 3}
{'短评内容': '装修有特色，可以再把房间内饰精细一些，另外，浴室应该配双水洗拖鞋才好', '短评打分': 5}
{'短评内容': '酒店设施很有创意，性价比很高。。服务热情。。', '短评打分': 5}
{'短评内容': '离车站8块钱的路程，但酒店周围没什么吃的地方，只能在酒店2楼消费，', '短评打分': 5}
{'短评内容': '很有特色，房间设施齐全，唯一缺点就是临街面，有点吵！', '短评打分': 3}
{'短评内容': '干净，卫生，有创意，就是晚上电话有点吵，下次去还会入住', '短评打分': 5}
{'短评内容': '房间布置挺新颖的，价格合理，就是位置偏了点', '短评打分': 5}
{'短评内容': '很不错的酒店，就是地方偏僻了点。', '短评打分': 5}
{'短评内容': '还不错的酒店。可以入住，个别房间差点。住住住。', '短评打分': 5}
{'短评内容': '房间太小。地理位置一般。服务还是不错的。性价比还可以吧，餐厅的东西不贵 而且口味不错的。', '短评打分': 5}
{'短评内容': '服务不错的，房间外的装修也比较艺术，泊字跟窗户的结合设计给人印象深刻，也不贵，我们住的130，就是到3号房满了就定不了了', '短评打分': 3}
{'短评内容': '走两步就到了江边，风景不错。就是房间的窗子，太小了', '短评打分': 5}
