{'短评内容': '位置好，环境好，性价比高', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '前台问话很急，不太适合这个行业，没一点耐心，差评', '短评打分': 4}
{'短评内容': '真的像家一样，设施很好，热水24小时都有，非常满意的一次出行', '短评打分': 5}
{'短评内容': '太™好了。。', '短评打分': 5}
{'短评内容': '还好还好，，床舒服，隔壁一对小情侣大战', '短评打分': 5}
{'短评内容': '商业中心', '短评打分': 5}
{'短评内容': '价格实惠，地理位置不错', '短评打分': 4}
{'短评内容': '环境在中心城市，吃饭去购物都很方便！就是房间旧了些。有地下停车场，但需收费。', '短评打分': 2}
{'短评内容': '还行吧，屋子不是很大！', '短评打分': 3}
{'短评内容': '不错的 房间小点 服务很好', '短评打分': 3}
{'短评内容': '帮老师订的 说比较吵 位置不错', '短评打分': 3}
{'短评内容': '还好 没第一次住的房间大 感觉这次住的是特价的 床挺软但是比较小 屋子也不大 没第一次八层的好 这次是六层的', '短评打分': 4}
{'短评内容': '房间里不通风有味道，其他还好', '短评打分': 4}
{'短评内容': '服务态度很好…房间很干净', '短评打分': 3}
{'短评内容': '酒店倒是不错，就是有一点小小的不愉快，因孩子（3周多）吃葡萄时不小心把手在被罩上蹭了一下，有一点手印，我已经深表歉意，可贵店还是不依不饶，最后扣了23元钱才算解决，我不是说客人把被罩弄脏是对的，但也得分具体情况不是？再说被罩不是就应该换洗吗？不过我还是会向朋友推荐的，这毕竟是一个小事，但希望会有改进。', '短评打分': 5}
{'短评内容': '地理位置很好，在市中心，对面就是乐购超市，房间打扫的也不错，挺干净的。', '短评打分': 5}
{'短评内容': '价格有点贵，不过在市中心，很方便，楼下就是乐购和新天地。马路对面有个眼睛烧烤还不错。房间小了点，不过床还不错睡的蛮舒服的。要是价格再便宜点就好了', '短评打分': 5}
{'短评内容': '位置在商业区 总体还不错 房间稍小 前台服务很好。', '短评打分': 5}
{'短评内容': '去了2次，都是选的这个酒店，既干净卫生，又方便，而且比较经济实惠呢！总之非常好的一家酒店，下次去还选这家', '短评打分': 5}
{'短评内容': '酒店房间小了点，其他的都比较好，离海边也不是很远，方便，服务员态度好', '短评打分': 5}
{'短评内容': '就是房间小点，其他还行。', '短评打分': 3}
{'短评内容': '房间干净整洁，配置设施基本齐备，服务人员的素质良好，值得推荐的商旅住宿酒店。', '短评打分': 5}
{'短评内容': '房间很干净，提示标识详细，服务人员的态度很热情！', '短评打分': 5}
{'短评内容': '很给力 很干净的 交通很方便 下次来还会住这家的', '短评打分': 5}
{'短评内容': '地理位置优良，服务态度良好\n\n缺点是可能因为暑期的原因，被褥不是很整洁。。。。发现了几根毛发。。。。', '短评打分': 5}
{'短评内容': '酒店的服务态度很好，而且很周到，我预订的是大床房B感觉还可以，换了两次房间，是因为房间的下水道直接不下水，换过的房间还是下水很慢，喜欢干净的我很是讨厌这点，希望酒店可以疏通下水管道。下次去还是会入住，因为酒店的位置很好，市中心，周边尽是大型商场，购物很方便，出门去海边还是去景点都很方便，楼下就是公交车的站点，通往海边和景点的车都有，交通是十分的方便，酒店的电梯很脏，气味也不好，估计是因为楼上还有公', '短评打分': 5}
{'短评内容': '服务周到，房间干净，地点好，前台MM工作细心，热情。就是房间面积太小了，其它都说得过去，适合入住。', '短评打分': 5}
{'短评内容': '酒店干净，舒适，服务周到，前台的MM很热情，总之适合入住。', '短评打分': 5}
{'短评内容': '很干净！ 价格不算贵，尤其最近做了调整，这个价格比较合理了！', '短评打分': 5}
{'短评内容': '与“如家”、“七天”比邻而居，交通方便，但是下午5点多出租车却不愿来，后来得知火车长有公交。\n不知因为是楼型结构，还是新开张不久的缘故，楼道内及房间内有股装修的味道和气息，需要强化通风。\n再;早餐比较差，亟待改善。\n其他的方面，因为是连锁店，性价比还是不错的！', '短评打分': 5}
{'短评内容': '因为是新开不久的，所以设施还没有老旧。。服务还是不错的，前台的MM也很热情。。就是房间小到一个不行，开门就是床啊。。布局也太局促了。', '短评打分': 5}
{'短评内容': '这家酒店的大床房太小了，不过标准间倒是挺大的，服务还行', '短评打分': 5}
{'短评内容': '酒店位于市中心，出行非常方便，交通便利，周围全是大型商场，购物很方便。去北戴河，山海关大约都在40分钟左右，非常好。酒店服务态度很好，环境也很不错，推荐！！', '短评打分': 5}
{'短评内容': '房间很小，大概只有十一平左右，但是服务很好，周到细心', '短评打分': 5}
{'短评内容': ' 房间有点小，剩下都挺好', '短评打分': 3}
{'短评内容': '环境很好，特别干净，服务也不错，住宿首选。', '短评打分': 5}
{'短评内容': '服务员不仅长得漂亮服务也很好', '短评打分': 3}
{'短评内容': '环境很不错,要比别家的环境好多了!住的很舒服!', '短评打分': 3}
{'短评内容': '非常满意，很舒适，床也不错，地理位置方便', '短评打分': 5}
{'短评内容': '网速实在是太慢了，开个网页都半天，其他的都挺好的，挺舒服！', '短评打分': 5}
{'短评内容': '在市中心，地理位置优惠，出行方便，公交车可直达山海关和北戴河。酒店周边有商场，KTV，游戏厅，台球厅，各种风格的餐厅，可以满足各种人群，不用愁吃和娱乐的场所。性价比很高，值得推荐。\n', '短评打分': 5}
{'短评内容': '酒店条件不错，就是生活用品不周全，比如纸巾都没有', '短评打分': 3}
{'短评内容': '酒店不错  在市中心  周边玩的吃的很多   前台的几位美女服务态度特别好  ', '短评打分': 5}
{'短评内容': '酒店床比较舒适，干净，周边都是商业环境，购物吃饭都很方便。但新开酒店有装修的味道，很不舒服，建议酒店采取些措施解决。', '短评打分': 5}
{'短评内容': '秦皇岛太阳城店还是蛮方便的。价格也算合理。就是房间有点小。', '短评打分': 3}
{'短评内容': '房间很干净，服务态度也非常号，我提了一些需求也尽量满足，整体不错，下次还住！', '短评打分': 5}
