{'descr': '房间很好', 'star': 5}
{'descr': '非常好，挺便宜', 'star': 5}
{'descr': '楼层挺高的，当时入住时电梯被占用了，爬到六楼的，位置挺好找的，离步行街很近，但是不吵闹，酒店新装修，非常非常非常满意～', 'star': 5}
{'descr': '房间隔音效果不好，周末直接被街上叫卖声吵醒～', 'star': 4}
{'descr': '可以服务好房间干净', 'star': 5}
{'descr': '干净整洁，用品齐全，大床很大舒适，满意！', 'star': 5}
{'descr': '一直在7天入住  ，性价比高', 'star': 5}
{'descr': '周边环境较差，胜在价格便宜，跟周边连锁餐饮较多。房间尚可，就是没有抽纸', 'star': 5}
{'descr': '好，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '蛮好的', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '还可以', 'star': 4}
{'descr': '还不错', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '电梯坏了，大半夜的爬六楼，累死了', 'star': 3}
{'descr': '不错，交通便利、购物、生活方便。', 'star': 3}
