{'短评内容': '马桶没有水，其他的还不错', '短评打分': 5}
{'短评内容': '酒店环境还可以，交通便利，有停车位。', '短评打分': 5}
{'短评内容': '酒店位置比较好，有停车位，早餐比较好，服务周到。', '短评打分': 5}
{'短评内容': '坏的：①酒店牙膏牙刷准备不足，订了个双床的，才给了两个，晚上刷了，早上就没得用了。应该多备点。②遮洗澡间的帘子有点问题，难拉下来。③毛巾居然旧旧烂烂的，严重影响心情。④电梯好像有的陈旧。【好的】：①免费早餐，因为起得晚，就没去了（9点半前有），②房里有两瓶矿泉水可饮用，③有个阳台，在长隆玩了回来能凉干衣服。④较安静，总体不错，旁边有夜宵档，吃了个虾粥58大洋', '短评打分': 5}
{'短评内容': '房间比较大，吃东西比较方便，设施有点老', '短评打分': 5}
{'短评内容': '环境不怎么样', '短评打分': 5}
{'短评内容': '订了返现房间，他和携程说没入住', '短评打分': 1}
{'短评内容': '酒店设施一般般，但是睡的还舒服，电视不能看，周围吃的很多，还不错，酒店提供的早餐很不错，', '短评打分': 4}
{'短评内容': '神马酒店啊，连苹果手机充电器都没有啊，这叫人怎么活啊', '短评打分': 3}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置方便，价格便宜，还有早餐，房间够大', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '酒店环境一般', '短评打分': 3}
{'短评内容': '第一次总是那么多不知道的', '短评打分': 4}
{'短评内容': '还算干净', '短评打分': 4}
