{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '酒店位置很好，就在金山寺对面。旁边有个酒楼据说是镇江比较好的，晚饭因为酒楼有人结婚没吃到。第二天早上去吃的早茶，当然不能跟上海比。附近已经算性价比都ok的。我订的家庭房，有两间，三张床。还算干净，就是酒店老旧了，总是有股味。不过附近也没什么好酒店，这家已经算好的了。宾馆门口没几个停车位，但附近因为是金山寺停车场还是挺多的，老板叫我停在晏春楼门口，反正有人管也没收费', 'star': 4}
{'descr': '宾馆位置还不错，再金山对面。刚进房间一股奇怪的味道扑面而来，想找服务员换房，结果说没有了，让把窗户打开通风，醉了！卫生间水龙头坏了，厕所纸都没有还是自己去拿。环境一般，服务不好。', 'star': 3}
{'descr': '宾馆位置很好 在金山寺对面很明显  游玩可以考虑住一晚 内部装修不是很好 感觉有历史的沧桑感   提醒吃早饭一定别去边上的店  贵的不行  宾馆南面小道有不少小店 便宜实惠', 'star': 5}
{'descr': '酒店环境一般', 'star': 3}
{'descr': '骑行到金山公园对面直接入住，房间很大，家庭房可以放三辆车！服务员态度很好，比较安静，出门全是美食，十分方便！', 'star': 5}
{'descr': '服务热情，客房整洁卫生，交通方便，吃饭饭店和小排档相当多，味道很好又有特色，很是喜欢，酒店距金山寺等景点很近，甚至方便，很滿意，谢谢欣泰，谢谢携猛', 'star': 5}
{'descr': '位置好，酒店方便，快捷都差不错，免费停车', 'star': 5}
{'descr': '还不错  网上订购既方便有省钱  景点很近', 'star': 5}
{'descr': '可以！', 'star': 5}
{'descr': '很一般的酒店，地段还好就在金山寺对面，设施比较简陋，酒店没有停车位，入住当天询问前台说酒店门口可以停车，第二天退房离开时发现被贴了张罚单。很影响心情。不推荐。', 'star': 2}
{'descr': '服务设备什么的都超级满意，面对金山公园看起来好酷好酷，周边吃饭购物交通什么都超级方便。', 'star': 5}
{'descr': '还不错，房间比较干净，靠小区那面比较安静，就是卫生间小了点，太挤了…', 'star': 3}
{'descr': '位置很好，但是没有自己的餐厅可惜了。', 'star': 4}
{'descr': '房间“比较”小，光线“比较”暗，卫生“比较”不干净。', 'star': 1}
{'descr': '酒店还可以，工作人员还给我们介绍了西津古渡的正宗锅盖面，就是房间能直接看到卫生间里，有点不太方便，晚上楼道隔音一般。不过总体还不错了。', 'star': 5}
{'descr': '我对镇江城市的感觉不好，但满意的是这家酒店，稍后会上传照片，莫泰168酒店装修别致，室内房间干净整洁，最为难得是他有个晾衣服的阳台。如果你来这里，不可错过168。', 'star': 5}
{'descr': '位置很好，就在金山寺对面。三张床，适合家庭四五人住。', 'star': 5}
{'descr': '服务态度很好，可能是当地天气原因，感觉屋子里也是潮的，使用的物品准备齐全，但是屋内无电吹风，需要到前台去借。地理位置也错可以的，离金山公园就几步路，去西津渡街打车9块钱里面有很多吃饭的地方，去坐高铁打车大概22块左右，总体来说还是不错的。', 'star': 5}
{'descr': ' 入住了，位置很不错，就在金山寺对面，旁边还有宴春楼可以吃蟹黄包。房间也挺整洁。', 'star': 3}
{'descr': ' 房间设施完备也很干净 酒店就在金山公园正门对面很好找', 'star': 3}
{'descr': '周围环境很好，房间很干净，服务态度也不错，还是非常喜欢这下次还会在来', 'star': 5}
{'descr': '还不错，就是比一般房间要小了一点，我们住的房间空调还是坏的。但是离景区很近', 'star': 5}
{'descr': '刚住进来的那天我估计打死的蚊子都够炒一盘的了，昨天晚上又同蚊子斗争了一晚，搞的我今天一天工作都没精神！！！地面是地毯的每天打扫时也不会清扫！！！', 'star': 1}
{'descr': '房间采光不足，灯光设置有些问题，楼梯间幽暗，金山公园对面，附近有几家小饭店，都打着镇江锅盖面的招牌，一份金鼎招牌面28块，吃吃新鲜吧', 'star': 5}
{'descr': '价格便宜，一大一小床的双标间非常适合一家三口入住。临近停车场，方便自驾游。', 'star': 5}
{'descr': '总体满意。房间隔音效果不太好。走路楼梯声在房间内能听到。', 'star': 5}
{'descr': '就在金山门口，去玩很方便。就是马路边有声音。', 'star': 5}
{'descr': '环境还好就是强面可能是漏雨发黑酒店就像迷宫', 'star': 3}
{'descr': '家庭房面积大，一家四大一小住在一起相互好照应。房间空气好，窗外就可见金山景区，风景好。很满意这次预订。', 'star': 3}
{'descr': '金山寺大门口，很近，不过楼道七拐八拐，有点小恐怖，浴室有点小，总体还算不错的', 'star': 5}
{'descr': '报警器坏了响了好多次。非常郁闷!离金山很近。地理位置还好吧!', 'star': 3}
{'descr': '定的是特价房,比较适合情侣入住.', 'star': 3}
{'descr': '非常不错的位置，就在金山公园大门对面，适合家庭旅游居住。房间不大但功能齐全，卫生情况良好，前台服务到位，作为经济型的快捷酒店，很不错了~', 'star': 5}
{'descr': '景区近。交通方便。对面金山公园。值得。NICE。。', 'star': 5}
{'descr': '建议大堂旁网吧的吸烟进行管理，进入大堂后感觉很呛人\n', 'star': 5}
{'descr': '金山公园对面 位置挺不错的 房间有点小的感觉 倒是挺干净  隔音效果也不好  但总体来说还是值得的吧\n', 'star': 5}
{'descr': '地段不错，就在金山公园对面，旁边还有个公交始发车站，金山公园站，交通很方便，房间蛮干净的，就是隔音效果不好。', 'star': 5}
{'descr': '位置不错,就在金山公园对面,交通、饮食都很方便，不足的是房间隔音效果差，晚上睡觉汽车声、空调声此起彼伏。', 'star': 5}
{'descr': '对面就是金山，很方便。出门向左走5分钟左右即可尝到镇江特色小吃：锅盖面。', 'star': 5}
