{'短评内容': '这个酒店满意，价格亲民，热水好。闹中取静，位置好。下次到十堰还可以住这里。也推荐到十堰游玩或出差的朋友。', '短评打分': 5}
{'短评内容': '位置很好停车方便', '短评打分': 4}
{'短评内容': '房间宽敞舒适，不错', '短评打分': 5}
{'短评内容': '隔音效果不太好，早上很早窗外就有点吵，貌似是在建筑盖楼，别的还不错，洗澡只有花洒建议增加灵活性强的喷头', '短评打分': 5}
{'短评内容': '干净整洁，还行', '短评打分': 5}
{'短评内容': '住的是标间，房间超大，空间感很好，酒店前台服务态度很好，客房服务员素质很高，酒店用品很干净，酒店附近吃很方便，特别是鸭肠王自助餐超划算，29元的自助餐，超多火锅食物可选，过瘾，购物更方便，离黄河、大莹、富民服装、童装城、女人街就是几分钟的路程，对购物者来说，是最好的入住酒店酒店旁边是医院，酒店交通方便，在主要交通道旁，下次到虎门肯定选这家酒店。', '短评打分': 5}
{'短评内容': '房间大，也很安静，就是卫生太差，床单被套明显没换，上面还有长头发', '短评打分': 4}
{'短评内容': '酒店设施旧的没法形容，服务态度特别差！', '短评打分': 5}
{'短评内容': '很好的酒店，位置也不错，环境也可以，好的体验', '短评打分': 5}
{'短评内容': '不错的宾馆，经常', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '阳春三月开了很多年，一直很不错，住宾馆不错的选择！', '短评打分': 5}
{'短评内容': '经常住，停车方便，离人民医院近。比较安静', '短评打分': 4}
{'短评内容': '可以，性价比高', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还好还不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '酒店房间很安静，卫生很干净', '短评打分': 5}
{'短评内容': '还好，', '短评打分': 4}
{'短评内容': '酒店环境不错，服务也不错', '短评打分': 5}
