{'短评内容': '环境非常好，房间里配套设施全，价格略高了些。', '短评打分': 5}
{'短评内容': '环境不错哦，里面收拾得很干净，就是进去门口稍稍有些发霉的味道，并不重，可能对气味太敏感了，其他都挺好的，设施很齐全，马上还要再去一次', '短评打分': 5}
{'短评内容': '很不错，到的晚给升级了套房，很豪华，开心', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '很不错，性价比高，环境好', '短评打分': 5}
{'短评内容': '房间很暖和卫生，周边环境很好，有大型商场休闲娱乐场所，吃饭也很方便。距离西客站有方便的经十路可以直接到达，性价比可赞。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '交通方便，位置比较好，酒店环境很好，服务也到位。只是房间里找不到服务台的电话号码，非常不方便。但态度很好，停车场有些乱，太拥挤不好停车。总体来说不错。', '短评打分': 5}
{'短评内容': '很不错，还会光顾', '短评打分': 5}
{'短评内容': '办事比较方便，下次还会来住', '短评打分': 5}
{'短评内容': '入住908房间，挺好的，价格便宜，卫生情况还可以，装修简洁而不失华贵。', '短评打分': 4}
{'短评内容': '很差，房间很大，但是卫生很差，感觉很乱，不会推荐入住该酒店。', '短评打分': 1}
{'短评内容': '入住后感觉还可,卫生一般,可加强!', '短评打分': 3}
{'短评内容': '入住后感觉还好!', '短评打分': 3}
{'短评内容': '楼上KTV，夜总会，闹腾一晚上。房间一股异味。烂透了。', '短评打分': 1}
{'短评内容': '太差劲的酒店，给朋友一家定的，说是大床房居然只有1米5，我朋友一家三口直接没法睡，厕所也是堵的，太差劲了，强烈要求退费！', '短评打分': 1}
{'短评内容': ' 设施不错，交通方便，下次还来。', '短评打分': 3}
{'短评内容': '酒店地理位置很好，方便。价格也不错呢，下次去济南还会选择这里。', '短评打分': 5}
{'短评内容': '酒店和八一银座商城在一个楼上,门前停车不方便,后院有停车场,需要交费然后到酒店前台报销,房间设施太老了,空调效果也不好,早餐和以前比,差了很多,豪华商务间布局不合理.', '短评打分': 1}
{'短评内容': '3星的收费海边家庭旅馆的管理服务性价比很差一家酒店', '短评打分': 1}
{'短评内容': '酒店装修太老了，楼上饭店行邦菜吃腻了。。。', '短评打分': 5}
{'短评内容': ' 位置还可以，但是环境不好，嘈杂混乱，内部也非常陈旧。', '短评打分': 3}
{'短评内容': '本酒店地理位置不错，离火车站打的9元钱，和一银座分店共用一座建筑，门口有一个金德快餐厅连锁店。室内设施比较齐全，但是装修和设施陈旧，房间不是用地毯而是木质地板；房间灯光设置不合理，显得有些阴暗，和宣传照片不符；前台服务很冷漠，客房服务不及时；而且旁边有装修的，噪音较大，影响休息；客房的隔音效果一般；总之本酒店的性价比一般，本次入住济南浙江大酒店总体感觉不是很好！', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差贵差', '短评打分': 1}
{'短评内容': '房间够大位置也不错可以理解是设施陈旧不可理解是客房卫生很差', '短评打分': 5}
{'短评内容': '觉得酒店房间卫生打扫不及时不干净入住时候能看见茶几下鸡蛋皮别的还好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '位置很好交通便利设施稍陈旧价位还可以', '短评打分': 3}
{'短评内容': '地理位置不错，旁边是大商场，购物方便，就是酒店本身旧了些。', '短评打分': 5}
{'短评内容': '价格挺便宜，位置挺好，离火车站比较近，周围吃的不错!\n有聚福林、有静雅。\n不过酒店服务一般~', '短评打分': 5}
{'短评内容': '酒店位置不错，但是房间设施不值次价位，而且空调停的太早。', '短评打分': 1}
{'短评内容': '设施旧了点，位置不错，离商场很近，下次再考虑吧', '短评打分': 5}
{'短评内容': '设备老旧，床单、枕套卫生一般。电视节目几乎没有。临近工地晚上施工依旧。', '短评打分': 1}
{'短评内容': '房间虽然不咋地（没有窗户），但是价格很实惠~~ 而且很灵活（自己理会）~~', '短评打分': 5}
{'短评内容': '各方面设施比较齐全，价格也适中，唯一缺点，紧邻马路，噪音实在太大了', '短评打分': 5}
{'短评内容': '房间还行，还有自动麻将机居然。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
