{'短评内容': '武胜目前最好的酒店', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '很不错的酒店，服务质量非常好。温馨舒适!', '短评打分': 5}
{'短评内容': '每次回来都住这里！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '据说是武胜最好的宾馆，房间挺热，12月份入住，睡觉自然穿了薄薄的睡衣，盖上被子热得不行，只好开空调（冬天开冷气啊！）；酒店不大，一面临江，一面对着街道，（据说价格因此相差一百）感觉是完全不同的，临江一面视野好，对街一面感觉遭，特别凌晨五点过，应该是有人办丧事，鞭炮声是一阵阵，硬生生把人吵醒。最差一点：一楼大厅成了某楼盘的宣传场所，我说这儿是宾馆呢还是售楼部啊！？', '短评打分': 3}
{'短评内容': '卫生间地面湿滑，容易摔倒。', '短评打分': 4}
{'短评内容': '这家酒店位于县城价格有点偏高了', '短评打分': 5}
{'短评内容': '一切都好', '短评打分': 5}
{'短评内容': '多次入住，还行。', '短评打分': 4}
{'短评内容': '携程单价比协议价约贵百分之三十，在携程订不划算。', '短评打分': 3}
{'短评内容': '总的还是比较好，在武胜目前个人感觉不错。', '短评打分': 3}
{'短评内容': '住过好几次，偏贵...性价比不高。总体还不错！', '短评打分': 4}
{'短评内容': '当地最好，价格太贵，但每次来也只能住这', '短评打分': 4}
