{'短评内容': '酒店工作人员态度很好。房间环境不错，没啥气味', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '比美团便宜，划算！', '短评打分': 5}
{'短评内容': '。。。。。。？。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，环境幽雅，布置精美。值得一住', '短评打分': 5}
{'短评内容': '可以的吧主大人物关系', '短评打分': 5}
{'短评内容': '不错。。', '短评打分': 5}
{'短评内容': '五分好评', '短评打分': 5}
{'短评内容': '环境不错，服务很好！老板很仁义本订无窗，还是给我安排了一个有窗的房间！好评！', '短评打分': 5}
{'短评内容': '干净卫生 交通便利', '短评打分': 5}
{'短评内容': '交通方便，干净卫生，服务也很好。', '短评打分': 5}
{'短评内容': '老酒店了，交通到时还算方便。不过这个店房间隔音确实不太好。早餐算是还行。毕竟价格便宜啊。', '短评打分': 5}
{'短评内容': '酒店的卫生处理的很不错，房间卫生间客人入住之前都有仔细消过毒。', '短评打分': 5}
{'短评内容': '凤凰丽都酒店的环境还可以，这个价位的酒店在那个位置算是比较不错的了。', '短评打分': 5}
{'短评内容': '房间设施及装修、卫生程度以及毛巾等都还不错。就是隔音太差，能听到过道谈话声音。在重庆的酒店性价比不高。', '短评打分': 1}
{'短评内容': '推荐', '短评打分': 5}
