{'短评内容': '一切都很好', '短评打分': 5}
{'短评内容': '一切都很好', '短评打分': 5}
{'短评内容': '图片看起来又大又好看，去到那里开门就是床，很小，而且卫生不太好，床上还有头发，都是外国人住的多吧，走廊像监狱一样，不想去第二次', '短评打分': 2}
{'短评内容': '周边老外太多，感觉有点乱', '短评打分': 4}
{'短评内容': '不要让图片给欺瞒了，实际荔湾区的这家内部狭窄，而且最大的问题是内部空气不流通，这么热的天气，里面闷热得很，房间之间的&ldquo;墙壁&rdquo;竟然是纸板间隔的，完全不敢入住，最后还是不敢住，只能直接走人去找其他的啦', '短评打分': 1}
{'短评内容': '还不错啦', '短评打分': 5}
{'短评内容': '酒店空间大，对厕所很满意，淋雨、马桶、洗手池都是分开隔断，酒店很多外国人，但觉得无所谓，就是没有免费停车位', '短评打分': 5}
{'短评内容': '卫生条件挺好，房间够大，交通方便，', '短评打分': 4}
{'短评内容': '房间还好啦，就是空间太窄了，回到房间只能睡床上，完全没空位', '短评打分': 5}
{'短评内容': '环境可以，就是没有吹风筒', '短评打分': 5}
{'短评内容': '住的很舒服，周围挺多吃的', '短评打分': 5}
{'短评内容': '卫生情况很一般，无窗房味道比较重。 但地理位置比较好，边上吃的也很多！', '短评打分': 3}
{'短评内容': '感觉好旧！一点都不舒适！下次不考虑！', '短评打分': 3}
{'短评内容': '酒店招待外宾多，环境比较差', '短评打分': 3}
{'短评内容': '酒店价格实惠……服务人员都还挺热情…经济实惠…', '短评打分': 3}
{'短评内容': '携程推荐的一般', '短评打分': 3}
{'短评内容': '环境还不错，交通方便', '短评打分': 3}
{'短评内容': '气死哦。酒店竟然落水。还是如家好点。', '短评打分': 3}
{'短评内容': ' 下次还来入住', '短评打分': 3}
{'短评内容': '还可以！就是隔音差了少少！有空的话会再来！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '環境差，早上起來沒熱水', '短评打分': 3}
{'短评内容': '位置挺好的，交通方便。走廊有几个波浪型的小陡坡，未安装提醒指示牌，害我2次差点摔跤。电视遥控器没有电池了，打电话给服务员5个小时都没有来处理。除了位置好之外，性价比不高。', '短评打分': 1}
{'短评内容': '酒店环境还算可以', '短评打分': 3}
{'短评内容': '地点蛮好的,隔音一般般...另外房间小了点', '短评打分': 5}
{'短评内容': '价格便宜，出行交通也很方便。就是不知道为什么房间老是有烟味', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '服務員回應快,家庭房空間可以,衛生都可以,床有點硬!離地鐵站有點距離,建議打的!', '短评打分': 5}
{'短评内容': '好啊  还是不错的    就是有点阴暗  呵呵呵 蛮不错的 推荐', '短评打分': 5}
{'短评内容': '环境不错，干净，蛮安静的，还有好多外国人去住的，旁边有麦当劳餐厅，就是没有窗口，一关灯，伸手不见五指', '短评打分': 5}
{'短评内容': '优势：房间够大，装修有特色，交通方便，附近吃饭购物还行。\n不足：大床房无窗，商务大床房才有窗；酒店的宽带让人回忆起拨号上网的年代，房间里原来的网线太短连桌子都够不着，后来换了一条长网线，电视雪花现象有点严重。', '短评打分': 1}
{'短评内容': '还行，已经是第三次入住了，因为在荔湾路上没别的选择，感觉是一次比一次差，但是这个价格也就这水平了', '短评打分': 5}
{'短评内容': '房间特别大,设施也特别新,比较满意,下次到广州还到这家', '短评打分': 5}
{'短评内容': '有很多外国人入住   设施有点旧。交通很方便', '短评打分': 5}
{'短评内容': '  房间空调很差，不制冷，服务态度又不好，但是退房时间到两点，呢个几好！', '短评打分': 3}
{'短评内容': '房间环境比较差，门栓。厕所设施损坏，房外走道高低不平！保安长期不在，让人感觉不安全！', '短评打分': 1}
{'短评内容': '非常非常脏', '短评打分': 3}
{'短评内容': '已是第三次入住该酒店，直觉是服务设施越来越差，唯一可取之处是，在金融危机越来越严重，物价高涨的时代，它还没涨价！不过环境差了，变相涨价了呵呵', '短评打分': 1}
{'短评内容': '装修比较旧，电视机好多雪花，无乜台睇，空调锁死左，教悟到温度！热热热！价钱算便！行过D既汉庭好D，虽然房比较细！！', '短评打分': 1}
{'短评内容': '不错  就是隔离差点  早上清理房间的阿姨推车太吵了！', '短评打分': 5}
{'短评内容': '环境还不错，性价适中', '短评打分': 3}
{'短评内容': '装修卫生还是属于一般，房间隔音效果也不是很好，服务态度也很简单，价格的话也是一般。', '短评打分': 1}
{'短评内容': '干净。', '短评打分': 3}
{'短评内容': '房间设施很一般也没有窗户，地理位置出行还可以，服务态度也一般。', '短评打分': 1}
{'短评内容': ' 已入住', '短评打分': 3}
{'短评内容': '不错…就是房间老', '短评打分': 3}
{'短评内容': '服务不错，只是房间不通风，空气不对流。另外店内大多招待外国人，中东地区居多，楼层都是那种浓烈的古龙水味...总的来说，还可以！', '短评打分': 5}
{'短评内容': '隔音差了点、电视台少了点、位置怪了点、其他的都还OK', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店有点难找， 卫生还行，隔音效果很差！', '短评打分': 5}
{'短评内容': ':明韩酒店次日不续住 来往客人太多太嘈', '短评打分': 3}
{'短评内容': '改酒店房间的内部设施有待提高~带笔记本的旅客请自备网线~', '短评打分': 1}
