{'短评内容': '位置好，交通方便，服务好', '短评打分': 5}
{'短评内容': '位置挺方便的', '短评打分': 4}
{'短评内容': '果断续住，妥妥的舒服，而且还多赠送了一份早餐，早餐也挺好的，就是这次安排的房间，卫生间门开关有异响！', '短评打分': 5}
{'短评内容': '房间特别干净，噪音低安静，带孩子出门挺好的，空间特别大，大床跟儿童床是分开的，还有餐桌，设施齐全，值得入住', '短评打分': 5}
{'短评内容': '带孩子可以', '短评打分': 5}
{'短评内容': '房间基本配置都有，卫生算是较干净，隔音效果好。房间打扫细心到位，工作人员服务态度不错。地理位置稍微有点偏，但上虞本来就小，也就几分钟的车程。早餐比较单一，样式较少，而且每天都出不多。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '性价比高，有早餐，设施有点老，无线网不行，上网慢。', '短评打分': 3}
{'短评内容': '设施比较一般，服务可以。早餐简单但比较干净，相对于一般的便捷酒店，性价比还可以，值得推荐。', '短评打分': 4}
{'短评内容': '环境交通便利，服务设施不错', '短评打分': 3}
{'短评内容': '还是不错的', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '交通一般，但晚上散步非常好，就在江边。而且房间很干净，就是跟走廊的隔音不好。', '短评打分': 5}
{'短评内容': '早餐需改进，房间内没纸巾，淋浴房空间太小', '短评打分': 5}
{'短评内容': '硬件一般，软件业太差。服务质量太差了，没有一点服务意思，房间内打少的也不干净，还有毛发。早饭也太差了。', '短评打分': 1}
{'短评内容': '不错的酒店，服务热情，房间也挺干净，就是厕所淋浴房没灯比较黑。', '短评打分': 5}
{'短评内容': '除了房间小一点，其他的都不错......................', '短评打分': 5}
{'短评内容': '环境还不错，离办事地方很近。', '短评打分': 3}
{'短评内容': '价格稍稍偏高点，灯光偏暗了。不过房间倒是蛮大的，还行吧，空调该换了 ！', '短评打分': 5}
{'短评内容': '推荐。环境不错，地理位置也很好。开车出差去上虞，下高速后一条马路就可以到。', '短评打分': 5}
{'短评内容': '酒店的总体感觉还是很不错的，空调有味道，比较老化，其他不错', '短评打分': 5}
{'短评内容': '总体感觉不错，早餐粥类太多，点心类少了点。', '短评打分': 5}
{'短评内容': '房间还不错，就是被单破的，前台个别服务员态度不好，好像欠她钱似的，给脸色看！', '短评打分': 5}
{'短评内容': '我订的是166元的大床房，但相比190元的大床房来说，还是190元的房间大一些，卫生间也大，房间还是干净，早餐也很好。', '短评打分': 5}
{'短评内容': '除了空调声音有点大，也好像比较有味道，其他的真的都还不错！', '短评打分': 5}
{'短评内容': '这个酒店还是不错的，比较干净！而且早餐还是比较丰富的！', '短评打分': 5}
{'短评内容': '空调声音太大', '短评打分': 3}
{'短评内容': '总的还可以吧，就是空调差点，早餐还需改进。', '短评打分': 5}
