{'短评内容': '安静学校里边很安全', '短评打分': 5}
{'短评内容': '11月25号刷的预售权到现在还没有到账，打电话去酒店也打不通！', '短评打分': 5}
{'短评内容': '换到6号楼，不错！', '短评打分': 5}
{'短评内容': '酒店位于学校里面，环境优美，清静。房间隔音不太好', '短评打分': 5}
{'短评内容': '两个标间共一个客厅阳台和卫生间的， 房间里两个桌子， 的那个分别有网线插口和插座，很适合熬夜办公。。', '短评打分': 5}
{'短评内容': '住多次了，可以。预订上很难，但是去看孩子，这个在华科校内的，很方便~就是网速太慢了，有时连不上，有点不象一所现代化大学的网络条件~', '短评打分': 4}
{'短评内容': '挺安静的，但太旧了', '短评打分': 4}
{'短评内容': '预定的7号楼是居民楼的两室一厅房，一房算一个标间。共用客厅卫生间。', '短评打分': 3}
{'短评内容': '房间的卫生非常不错，但是作为宾馆来说好像不是非常好，性价比不算很高。希望酒店能够提供，单独房间像快捷旅店一样，这种有点像是出租的公寓。', '短评打分': 4}
{'短评内容': '来参加答辩的，就在百景园的旁边，南三门进去后直走就到了，实际上就是西十舍，搜七号楼的话在地图上是找不到的。旁边就是超市，买东西非常方便，吃饭的话离百景园也很近。去管理学院走路七八分钟就能到。七号楼是两个房间共用一个客厅和卫生间，建议每个房间都配一个垃圾桶，还有就是能否提示一下隔壁的房间有没有客人入住，否则不知道另一个房间有没有人入住，很别扭的', '短评打分': 5}
{'短评内容': '满意 唯一遗憾 大床房只有一份早餐', '短评打分': 5}
{'短评内容': '在学校里面，卫生不错，也安静。就是外观看起来很老', '短评打分': 5}
{'短评内容': '中评。老式酒店，在华中科技大学院内。', '短评打分': 2}
{'短评内容': '两室一厅，带阳台，每间房是一个标间，客厅和卫生间是两间房的住户公用，适合朋友较多一起居住', '短评打分': 5}
{'短评内容': '服务态度可以！学校周边很方便', '短评打分': 4}
