{'短评内容': '酒店房间比较大，早餐也还不错，还可以的。。', '短评打分': 5}
{'短评内容': '超级舒服哦', '短评打分': 5}
{'短评内容': '房间很大，特价房比江景房的面积还要大一点。设施很新，床和枕头都很舒服，所以睡眠很不错，每次南充出差都住在这里。', '短评打分': 5}
{'短评内容': '今天一大早的，儿子说听到窗户外嘻嘻索索嘻嘻索索的，跑去一看，外面一个大活人，正在施工。真是吓我一跳。', '短评打分': 5}
{'短评内容': '酒店门口在修路，很大的灰尘。特价房的窗户很小很窄，采光比较差。相比之下，同价位的对面的君颐尚渡房间就好得多了。', '短评打分': 5}
{'短评内容': '很多次了。非常不错。', '短评打分': 5}
{'短评内容': '不错，很好，非常好的一次住宿', '短评打分': 5}
{'短评内容': '酒店位置非常好，就在南充嘉陵江边上，晚上饭后过来散步什么的都很方便，酒店性价比不错，值得推荐入住。', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '还可以的', '短评打分': 5}
{'短评内容': '很棒，真正值得入住，小孩一直说感觉超好！', '短评打分': 5}
{'短评内容': '好，下次再住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '房间很大 设施较好 就是江景房对江一面很小 视野一般 周边环境很好 在南充算很好的酒店 大床房太贵了 应提供一些和双床房差不多的房间 早餐需提高', '短评打分': 5}
{'短评内容': '挺好！要是有免费的水果或小吃就更贴心了。', '短评打分': 4}
{'短评内容': '还不错！住习惯', '短评打分': 3}
{'短评内容': '帮朋友预定的', '短评打分': 5}
{'短评内容': '临近江边，周边环境不错', '短评打分': 4}
{'短评内容': '总体来说良好，只是退房时候速度太慢了', '短评打分': 4}
{'短评内容': '装修豪华，设施新，干净整洁，房间很大，卫生间很舒适，早餐品种丰富，品质很好，量又足。位置好，地处嘉陵江南岸，对面就是市中心，闹中取静，门口不远就是过江大桥，交通方便。', '短评打分': 5}
{'短评内容': '装修豪华，房间很大，设施齐全，卫生间宽敞，洁具很干净也很新，床单很干净。早餐品种很多，都能找到自己喜欢的食物。另外停车很方便，地面和地下停车场都很大。而且停车免费哦。位置很好，门口就是嘉陵江大桥，过江就是繁华的市区，酒店这边很安静。', '短评打分': 5}
{'短评内容': '环境不错，服务态度可以。就是年纪大的工作人员不懂礼貌', '短评打分': 5}
{'短评内容': '每次都是说一样的话～每次都要求必须点评满２０字！其实很多时候一个不错就是最好的点评了～非要那么做作！', '短评打分': 5}
{'短评内容': '？  酒店环境还行，但中央空调开到冷风19度，晚上裸睡全身都是汗…还望改进呀', '短评打分': 3}
{'短评内容': '五星，新酒店。不错。地理位置远了点。装修蛮喜欢。', '短评打分': 5}
