{'短评内容': '价格便宜，交通方便', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 4}
{'短评内容': '房间亮堂，采光好。', '短评打分': 4}
{'短评内容': '一样一样越远越好也一样', '短评打分': 5}
{'短评内容': '服务员欠热情，态度生硬。', '短评打分': 3}
{'短评内容': '还可以，环境卫生', '短评打分': 4}
{'短评内容': '酒店周边交通便捷，服务质量很好，早餐也很可口，设施略显陈旧，卫生也很好！', '短评打分': 4}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '还可以好吧', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '宾馆设施条件一般般！因为离肿瘤医院近才选择了它！虽然有网络，但是根本就不能用，所处是单行道，打车也不方便！', '短评打分': 4}
{'短评内容': '靠近地铁口，出行方便，附近小吃店便利店挺多，卫生还行。房间较小，但相对这地段这价格算不错。WIFI不给力。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '价格高，服务一般，无线网络上不了', '短评打分': 4}
{'短评内容': '设施比较旧，比较干净，出入很方便', '短评打分': 2}
{'短评内容': '酒店不错，服务员都是上海阿姨，总体满意。', '短评打分': 5}
{'短评内容': '干净，安静，正规，服务好，赞一个', '短评打分': 5}
{'短评内容': '交通便捷，就在地铁四号、七号线东安路站1号出口。环境吗也不错，干净整洁，服务人员也很热情。值得推荐！！！', '短评打分': 5}
{'短评内容': '总体不错，性价比较髙，交通便利，比较适合看病的人', '短评打分': 5}
{'短评内容': '靠上海肿瘤医院比较近，楼层低的房间感觉不怎么样。', '短评打分': 5}
{'短评内容': '环境不错，很干净，服务也很到位，只是房间隔音效果不太好。', '短评打分': 3}
{'短评内容': '不错 地理位置好 房间够大而且干净 出行方便', '短评打分': 5}
{'短评内容': '去上海，一直的选择，房间环境好，面积也够大，感觉很干净', '短评打分': 5}
{'短评内容': '酒店餐厅不错，面什么的都好吃，交通方便，地铁口出来就是', '短评打分': 5}
{'短评内容': '在上海价格算是很便宜了, 如果私人办事可以试试,公出就算了.', '短评打分': 5}
{'短评内容': '离肿瘤医院很近，房间打扫得很干净，宾馆还提供贴心的寄存服务，方便住客。', '短评打分': 5}
{'短评内容': '这个酒店位置不错，服务比较差，洗澡水又小', '短评打分': 1}
{'短评内容': '挺老的宾馆，位置也有点偏，出行有些不太方便，只能打车。但是酒店挺干净的，床单摸着舒服，卫生间嘛，一般啦', '短评打分': 5}
{'短评内容': '小巧灵珑还不错', '短评打分': 3}
{'短评内容': '面积比同价位的大，很干净！就是特价大床房靠近马路，晚上有点吵。', '短评打分': 5}
{'短评内容': 'OK.................VERY GOOD!!!!!!', '短评打分': 5}
{'短评内容': '很好，经济又实惠。离地铁很近，交通很方便。。。推荐！！！', '短评打分': 5}
{'短评内容': '宾馆很旧，一切感觉都不好。下次不会再住了。', '短评打分': 1}
{'短评内容': '离肿瘤医院比较近，房间卫生打扫得不错，还提供贴心的寄存服务。', '短评打分': 5}
{'短评内容': '床单很不干净，晚上还一直会有人来塞淫秽传单，和前台说了，前台还居然说你们打110啊，估计要不是因为离医院近，肯定没人来住的吧', '短评打分': 1}
{'短评内容': '还是第一次看见有酒店前台和会住客吵架的。', '短评打分': 1}
{'短评内容': '迄今为止住过最霸道和无礼的酒店，前台用的都是四，五十岁的大妈，态度都冷冰冰，在那住了几天，最后天退房的时候因为有急事出去了下，退晚了些时间，上楼的时候和前台打了招呼，她也答应不多收半天的房费，结果下来的时候硬是从押金里扣除了半天的房费，还蛮不讲理的说‘你们去投诉好了，我不怕的’，本来觉得可能前台没权利决定这事，想找经理谈谈，结果前台非常霸道地说经理不知道在哪，有本事自己去找。边上结账的一位住客也说', '短评打分': 1}
{'短评内容': '很好！经济又实惠！是理想的经济型酒店！！！！！！', '短评打分': 5}
{'短评内容': '离肿瘤医院比较近，很方便，房间卫生搞得还不错，酒店还提供贴心的寄存服务。', '短评打分': 5}
{'短评内容': '于7号线东安路近在咫尺，房间设计温馨，很喜欢。', '短评打分': 3}
{'短评内容': '离肿瘤医院很近，很方便，宾馆还提供贴心的寄存服务，房间卫生还不错。', '短评打分': 5}
{'短评内容': '地段不错，交通方便，周边配套齐全，性价比较高。', '短评打分': 5}
{'短评内容': '地段不错，也挺干净，离地铁什么的也近，关键附近正是要去检查的医院，走路也就几分钟，相比附近汉庭房间要大。', '短评打分': 5}
{'短评内容': '酒店位置离地铁4号、7号线东安路站约200米，交通方便。房间够大，网速快，空调不错。性价比高。只是卫生间洗澡水渗到地面，容易滑倒。建议酒店修理。', '短评打分': 5}
{'短评内容': '住了2次了很好，就是空调排风扇那声音让我受不了，卫生间的吹风机是我最喜欢的', '短评打分': 5}
{'短评内容': '离肿瘤医院比较近，宾馆还提供比较贴心的寄存服务，房间打扫得比较卫生。', '短评打分': 5}
{'短评内容': '房间干净整洁，宽敞明亮，暖气足，窗户是两层的就好了，马路上的声音有些吵', '短评打分': 5}
