{'短评内容': '房间比较舒服，还算干净，有些角落灰尘没有打扫，周边吃饭不是很方便，早餐种类也比较少，简单住没问题！', '短评打分': 3}
{'短评内容': '总体还不错，酒店餐饮还可以，送餐服务很好，就是给我下错了单', '短评打分': 4}
{'短评内容': '早餐还可以，种类不多。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '酒店装修有点旧', '短评打分': 4}
{'短评内容': '房间不错，睡得挺舒服', '短评打分': 5}
{'短评内容': '挺不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '很好的酒店，服务很到位，下次还会来', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '每次回家都住在这里，环境不错，服务员很客气，就是房间隔音不是太好，隔壁讲话声音大能听到。', '短评打分': 5}
{'短评内容': '以前坐过，没想到网上这么便宜，点赞。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境整洁，干净舒适，是有宾至如归的感觉', '短评打分': 5}
{'短评内容': '极差，非常吵。晚上到1点楼下的KTV声音很吵，根本睡不了。还有早餐，都是冷的。', '短评打分': 1}
{'短评内容': '不错的选择', '短评打分': 5}
