{'短评内容': '   性价比比较高、最关键便宜。所以要求不高', '短评打分': 3}
{'短评内容': 'El edificio estaba bien. La recepcionista fue muy amable, el precio es muy barato. La cama estaba bien, pieza con hervdor y wifi. Informacion clara sobre como tomar taxi hasta la estacion de tren. Per', '短评打分': 3}
{'短评内容': '这酒店吃饭很方便，离超市也近', '短评打分': 5}
{'短评内容': '这酒店非常好，我来洛阳都住这，位置好，环境好。', '短评打分': 5}
{'短评内容': '酒店太老久，看着都不敢入住，周边的环境也不是很方便，酒店的服务态度也超级差。唉，约的含泪也要打完。', '短评打分': 1}
{'短评内容': '服务挺好，环境不错', '短评打分': 5}
{'短评内容': '艺龙返现提不出来。差劲', '短评打分': 3}
{'短评内容': '位置不算好，不过也还好。卫生和设施尚可，没有wifi，这个不好。国庆假期去的，价格较贵，平时便宜些时候去应该还可以', '短评打分': 4}
{'短评内容': '周围稍微有点嘈杂，所住房间厕所门有问题。附近交通便利，还不错。', '短评打分': 4}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '这次出游体验的一家宾馆了，第二天赶紧逃离了', '短评打分': 3}
{'短评内容': '总体还行  卫生不太好  床下有好多用过的包装  - -   你懂得     ', '短评打分': 5}
{'短评内容': '位置较好，环境一般，网络差', '短评打分': 3}
{'短评内容': '酒店连电梯都没有，毛巾很脏，卫生间也不干净。不能刷卡，发票还不给全。下次不会再来了！', '短评打分': 1}
