{'短评内容': '酒店位置非常好，闹中取静。房间宽敞舒适，设施卫生都不错，早餐很丰盛，样数多，很可口，下次来还会住这里', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '满足正常需要，安静卫生', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '去年来过 店员都很热情 重点是我的kind丢在这里 店员打电话给我邮寄到北京 很是感动 今年再次光临 ', '短评打分': 5}
{'短评内容': '酒店很nice 酒店的人也很好！', '短评打分': 5}
{'短评内容': '算不错了', '短评打分': 4}
{'短评内容': '离车站停车入口远些，但离月身殿很近，就在旁边！', '短评打分': 5}
{'短评内容': '房间很干净 住的很舒服 刚开始从外面看 觉得很像很旧的样子 但是一走进大堂还是不错的 下次有机会 还会来！', '短评打分': 4}
{'短评内容': '房间很干净 住的很舒服 刚开始从外面看 觉得很像很旧的样子 但是一走进大堂还是不错的 下次有机会 还会来！', '短评打分': 4}
{'短评内容': '还不错，由于不是周末，入住人不算多。价位也合适', '短评打分': 3}
{'短评内容': '环境不错，位置优越，价钱合理', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '非常不错！ 下次还会入住！', '短评打分': 3}
{'短评内容': '设施老旧，但交通方便', '短评打分': 3}
{'短评内容': 'j酒店服务态度不错，条件一般。网上的房间照片与实际不太相。最大的问题是酒店前没有停车场。开车去很不方便', '短评打分': 1}
{'短评内容': '酒店还不错，位置还行当时去了之后感觉还是很不错的，服务态度还是蛮好的。', '短评打分': 5}
