{'descr': '位置挺好的，很好', 'star': 5}
{'descr': '位置很好，而且很安静。物有所值', 'star': 5}
{'descr': '酒店真的是改成七天了，但地址没变，号码变了。我没吃酒店早餐，不是很了解啊。房间卫生什么的都很好，每天按时打扫，设施有更新，是液晶电视，但没有电脑。价格实惠公道，周边临近儿童公园，离中央大街，索菲亚大教堂4.5公里，老道外什么5公里转转就到了，蛮好的。', 'star': 5}
{'descr': '酒店现在是七天的牌子，希望大家再去不要走错了，地方很好找。大成街很显眼的样子，入住也很方便，无押金快捷。接下来说一下不满意的地方1，酒店拖鞋只有一双，大床房只有一双拖鞋也是逗了2，空调遥控是坏的，房间温度较低3，敲黑板重点，热水太慢，第一天水龙头都开着放了四十分钟的热水才变热，这一点真是惊为天人，希望能改一下，希望改一下啊硬件方面，装修的原因，电梯墙上都是木屑，稍微蹭一下就是一，楼道里有一个固定在', 'star': 3}
{'descr': '位置不错，就是环境有待加强，热水很好', 'star': 3}
{'descr': '服务人员都很热情让人忽略了房间里的阵旧的味道卫生也不错，早餐有点简陋,', 'star': 5}
{'descr': '房间卫生较好只是年头长有点味道,服务热情周到让人感觉很舒心离地铁站不是很远离办事的地方很近', 'star': 5}
{'descr': '酒店房间还是比较大的，只是装修太老了', 'star': 3}
{'descr': '我承认我错了，不该贪图返现订了这么差的酒店。 但扣除返现金额，200多的价格，性价比仍然非常低。 更有问题的是，我半夜到点，跟我说没有我的订单，跟携程又联系了半天，价格也不对，房间不好安排，等等啰嗦了一大堆，还不能刷卡。 无论如何不会再住了。', 'star': 1}
{'descr': '我承认我错了，不该贪图返现订了这么差的酒店。  但扣除返现金额，200多的价格，性价比仍然非常低。  更有问题的是，我半夜到点，跟我说没有我的订单，跟携程又联系了半天，价格也不对，房间不好安排，等等啰嗦了一大堆，还不能刷卡。  无论如何不会再住了。', 'star': 1}
{'descr': '好', 'star': 4}
{'descr': '酒店装潢不错，标间条件也很好，很干净，值得推荐。', 'star': 3}
{'descr': '价格可以，环境一般', 'star': 4}
{'descr': '房間差得很, 价錢亦不合理, 到那裡都要打車', 'star': 1}
{'descr': '一般，设施陈旧。空调不好使，用的电暖风。', 'star': 3}
{'descr': '加热不算高，就是晚上太吵，想好好休息的人，不建议入住，', 'star': 1}
{'descr': '“友好、经济、实惠”，交通便利，以后还会去住的 ', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '房间不错，就是不隔音，太吵。', 'star': 3}
{'descr': '？房间设施陈旧，毛巾也该换了，早餐也太简单了，呵呵，不过服务态度没说的，退房丢了手机都打电话通知我们，谢谢e家了', 'star': 3}
{'descr': '地面特别是床底很脏，塞满了各种垃圾，希望好好打扫一下。只是离火车站很近，较晚到或者较早需要出发的乘客入住方便。', 'star': 1}
{'descr': '服务挺好，环境也挺好。很满意。', 'star': 3}
{'descr': '价格在火车站附近算比较便宜的，距离走路的话需要10分钟。周围吃饭休闲的地方和超市也不少。网速可以，房间不小，但是我住的特价房是内窗。', 'star': 5}
{'descr': '位置很好，性价比高，服务很好，下次再住！', 'star': 5}
{'descr': '酒店竟然停电，在炎炎夏日，整个晚上都没有电，直到我退房，电依旧没有来，并且停电的同时还停水，没有水，酒店方面并没有任何解释，没有任何行动，也米有减一点房费，此外，停电过程中走廊楼梯也一片漆黑，很害怕', 'star': 1}
{'descr': '服务态度挺好，总体感觉很好！挺', 'star': 3}
{'descr': ' 房间挺好的！真的是粉红色床单…', 'star': 3}
{'descr': '距离火车站近，是它的最大优势，卫生环境还不错。我们是凌晨入住，早晨6点退房，也没优惠多少。', 'star': 5}
{'descr': '基本满意', 'star': 3}
{'descr': '房间有点小，其他 的都爱可以吧，其实离车站也不是太近。', 'star': 5}
{'descr': '还可以，挺新的', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '房间偏小，也没有衣柜，灯光暗淡，只有拖鞋是免费的…不太划算', 'star': 3}
{'descr': '订的是大床，但是还是有点小。', 'star': 3}
{'descr': '哎，质量是越来越差了，不能刷信用卡也就算了，服务也越做越差', 'star': 1}
{'descr': '一家普通经济酒店，没什么值得多说的，也就是离火车站近点。', 'star': 1}
{'descr': '住宿还行。', 'star': 3}
{'descr': '环境很不错、不过没有电脑就有点遗憾…', 'star': 3}
{'descr': '整体感觉还可以吧，隔音效果不是很好，但还算是能接受的价格。', 'star': 5}
{'descr': '爸妈住的，应该还算满意吧。没亲自入住，不好发表意见。', 'star': 5}
{'descr': '酒店还不错，周围交通方便。电梯出口台阶容易忽视，建议能更换地毯颜色，或做好标记', 'star': 5}
{'descr': '酒店房间不是很大,但是简洁温馨,早餐品种较丰富,性价比不错.', 'star': 5}
{'descr': '总体还好，很喜欢粉红色的被单，美中不足的是我入住的时候楼下发廊刚刚开业大喇叭很吵，还有10点左右有客房电话问需要不需要按摩小姐', 'star': 5}
{'descr': '很舒适，很卫生。下次我还会选择,我要想我的所有朋友们推荐\n', 'star': 5}
{'descr': '房间还行，就是空调制热不行，隔音太差，半夜不知道哪里放炮，四点多被吵醒以后就没睡着过。', 'star': 3}
{'descr': '希望以后早餐好点，卫生条件也可以适当的提高。环境总体OK', 'star': 5}
