{'短评内容': '环境不错，周边很热闹。酒店的早餐也很丰富的。会向朋友推荐', '短评打分': 5}
{'短评内容': '环境很好，交通很便利，我很满意！下次有机会还会入住。', '短评打分': 5}
{'短评内容': '酒店真的不错，能达到四星级标准，价格又不高。', '短评打分': 5}
{'短评内容': '这个酒店不错，地理位置很好，价格还可以的，会推荐朋友入住', '短评打分': 5}
{'短评内容': '该酒店不错，住的比较满意，会向朋友推荐，周围环境也不错', '短评打分': 5}
{'短评内容': '房间空调反应有点慢，个人比较喜欢有导管的花洒，更方便些，望能改进。', '短评打分': 5}
{'短评内容': '这个酒店不错，会向朋友进行介绍和推荐，希望以后越办越好', '短评打分': 5}
{'短评内容': '总体来说不错，但是下雨天要借伞居然说已经借完了，这个有点搞笑。希望每个房间配把伞', '短评打分': 5}
{'短评内容': '这家酒店不错，服务态度非常好，我经常入住，很满意', '短评打分': 5}
{'短评内容': '出差经常入住,交通便利出行方便,在市中心,入住环境不错.', '短评打分': 5}
{'短评内容': '总体来说还不错，希望以后还能够入住。周边环境也很好', '短评打分': 5}
{'短评内容': '总体情况不错，周边的环境也比较热闹，早餐一般', '短评打分': 5}
{'短评内容': '该酒店不错，早餐很好，下次来还是会去住的，会推荐朋友一起去的', '短评打分': 5}
{'短评内容': '位置不错，很多因为考试去的考生，旁边就是十六中。挂牌四星，但条件3星不到，卫生条件恶劣，堪比小旅店。淋浴室的防滑垫令人发指，叫服务员送的杯子上面还有很多不明毛发……保洁阿姨很把客人不当外人，对此回应说不能把酒店当家里', '短评打分': 1}
{'短评内容': '交通很发达，住的比较舒服，不过没有体验早餐。因为睡得太晚了。哈哈！', '短评打分': 5}
{'短评内容': '该酒店总体情况还是不错的哦，会向朋友进行推荐', '短评打分': 5}
{'短评内容': '这个酒店地理位置什么都可以，就是早餐一般，总体还可以的', '短评打分': 5}
{'短评内容': '入住1110和1818两间房，酒店环境不错', '短评打分': 3}
{'短评内容': '说实话，太差了，不像是星级酒店，特别是卫生间，比一般的连锁酒店还要烂，只有一个浴缸，要站在浴缸里洗澡。浴缸前还挂个破布，星星点点全长霉了。', '短评打分': 1}
{'短评内容': '该酒店不错，地理位置也很好，就是早餐有点差。其他的都不错，会向朋友推荐的', '短评打分': 5}
{'短评内容': '不好也不坏。临时住一下还行。还是推荐一下吧。', '短评打分': 5}
{'短评内容': ',  酒店条件和服务满意', '短评打分': 3}
{'短评内容': '位置好，性价比高，环境好。以后会再去入住.', '短评打分': 5}
{'短评内容': '房间很大且干净', '短评打分': 3}
{'短评内容': '整体感觉可以，就是早餐的环境和餐品不怎么样。', '短评打分': 5}
{'短评内容': '房间设施不错，也很安静卫生，免费宽带上网和免费早餐，很实惠。', '短评打分': 5}
{'短评内容': '感觉一般的酒店，房间有点小，装修一般，早餐也是一般。', '短评打分': 5}
{'短评内容': '位置不错，离火车站很近。打车也还方便，周边挺热闹的。酒店环境、装修算是中上水准。早餐的自助餐菜式摆的比较凌乱，这点希望改进。', '短评打分': 5}
{'短评内容': '也就三星的程度，价格可是四星的，也许南昌就这样的潜规？早餐过得去吧。', '短评打分': 5}
{'短评内容': '这里条件还不错哦，楼下的各种设施也满全的。不错的地方，下次考虑继续入住。楼下稍微吵了一点', '短评打分': 5}
{'短评内容': '酒店还是不错的，就是卫生间小了一点。餐厅做的东西不算好吃。', '短评打分': 3}
{'短评内容': '屋内味道太重，受不了！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': ' 还可以吧，就是商务间的床有点小，浴室空间也不大，总的来说还值', '短评打分': 3}
{'短评内容': '酒店设施齐全，但比较旧一点，价格挺便宜。而且早餐不错。', '短评打分': 3}
{'短评内容': '房间较旧', '短评打分': 3}
{'短评内容': '四星级酒店，位于十字路口，房间设施还行，但是内部设施太少，没有健身房，住宿都是不含早的，在江西这价格还是有些贵。。。。。', '短评打分': 5}
{'短评内容': '标准的四星级酒店.浴室略小,房内有配置电脑对商务人士来说很方便.总体表现优良的星级酒店', '短评打分': 5}
{'短评内容': ' 硬件和服务一般 位置还不错 周围酒店及娱乐场所多 夜生活丰富', '短评打分': 3}
{'短评内容': '酒店环境及服务很满意', '短评打分': 3}
{'短评内容': '地点比较方便,服务也还不错，设施稍微有点老了', '短评打分': 5}
{'短评内容': '酒店设施还可以，周围环境不错，吃饭，出行方便，就是宽带慢点', '短评打分': 5}
{'短评内容': '酒店服务很差，前台面无表情；网路不稳定；第一次入住就因酒店电梯故障被关在电梯内了，出来后见不到一个酒店服务人员、听不到一句道歉，想找大堂副理则总没人。总之，感觉十分糟糕！', '短评打分': 1}
{'短评内容': '一般般，住的人多就是因为位置好一点。比较吵，人也非常杂！！！！！！！', '短评打分': 1}
{'短评内容': '性价比很高，行政大房不到400，有免费网络，前台3个服务员都很漂亮，就是临立交略有点吵，电视机教老', '短评打分': 5}
{'短评内容': '环境很不错，服务比较周到，住的很安全放心，下次还去。', '短评打分': 5}
{'短评内容': ' 交通方便、地理位置好。早餐一般，临街是立交桥，有些吵，装修旧了，商务大床房卫生间有蟑螂。', '短评打分': 3}
{'短评内容': '交通方便，环境也不错，设施看起来还可以！价格也比较适中!', '短评打分': 5}
{'短评内容': '酒店装修还可以，交通也比价方便，性价比比较好', '短评打分': 5}
{'短评内容': '环境尚可，设施一般', '短评打分': 3}
{'短评内容': '环境还行就是隔音不太理想，门外吸尘器的声音好大呢', '短评打分': 5}
{'短评内容': '估计很久没装修了。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '水温太低了，要放段时间的水，但是洗澡还是觉得有些冷。\n不太隔音，隔壁的电话铃很响。', '短评打分': 5}
{'短评内容': '不错。方便出行。条件不错条件不错条件不错', '短评打分': 5}
{'短评内容': '酒店位置和条件都还不错。满意。。。。。。。。', '短评打分': 5}
{'短评内容': '地理位置很方便，酒店比较陈旧，赶上刚刚下过雪，暖气不好，很冷。', '短评打分': 3}
{'短评内容': '非常 好，离车站很近，吃饭的地方也比较多，特别是有一个反赌博的宣传基地', '短评打分': 5}
{'短评内容': '地理位置不错，交通便利，房间很干净，下次来还会入住．', '短评打分': 5}
