{'短评内容': '东西很好', '短评打分': 5}
{'短评内容': '价格实惠,环境清幽,吃的选择少。环境不错,设施旧了点,但是价格很实惠。早餐也不错。常来的，每次都是住在这里，晚上很安静，有度假的感觉。', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '还不错，就是设备有点陈旧，卫生方面突然出现的蟋蟀让我有点不是很爽，望多多注意，性价比蛮高的，可以考虑。。。', '短评打分': 5}
{'短评内容': '太好了，经济实惠，前台美女漂亮', '短评打分': 5}
{'短评内容': '不错，附近都很方便', '短评打分': 4}
{'短评内容': '酒店设施还是齐全的，空调热水都没问题，性价比还可以吧', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '蛮好的下次还来', '短评打分': 5}
{'短评内容': '性价比很高，服务很好，很值得！', '短评打分': 5}
{'短评内容': '服务很好，', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '88元的房价，性价比太高了，楼下吃饭很方便！', '短评打分': 4}
{'短评内容': '还不错，，，，，，，，，，，，', '短评打分': 3}
{'短评内容': '酒店很难找，离地铁站不远但是初来绕高架桥不容易识别方向，酒店前台小妹对工作是一种懒散的状态，去到酒店一楼住户正在装修，大堂卫生弄的乱糟糟的，房间简单，总之看价格就没太多说，看你自己的选择吧。', '短评打分': 1}
{'短评内容': '我住的是8311房间，房间只有一个很小窗户，正对消防通道，平时老板用报纸将窗户封上，这就相当于房子无窗。入住头一天晚上房内空调漏水，把被子淋湿，打电话叫人上来，服务员解释说是空调排水管太长，水无法及时排出导致。服务员上来解决问题后，就没有出现房里漏水的现象了。', '短评打分': 1}
{'短评内容': '酒店的位置和价格都还不错，但卫生清理工作做得不够好，大床房墙面裂缝很严重，换到另一个大点的房间后，发现马桶坐盖都没擦干净，更严重的是，床边的白墙上一大片污迹，有擦过的痕迹，而且还有一阵酒味，应该是近两天有住客喝醉酒吐过，但酒店没清理干净。另外酒店没有停车场，车只能停在酒店门口的路边上，但酒店位置较偏，没车去也会很不方便。服务态度倒是很好，但仅此而已。', '短评打分': 1}
{'短评内容': '干净，舒服，靠近江边，推荐住宿，大床房间不够，老板在不变价格的基础上，让我们住了套房', '短评打分': 5}
{'短评内容': '不错，，就是为什么没有网呢，，其他宾馆都有的', '短评打分': 5}
{'短评内容': '住着不错 整体来说还行吧  中规中矩 不过 服务台的小姑娘很热情', '短评打分': 5}
