{'短评内容': '其他都还好，就是床有点太软，还有这是一楼有蚊子！', '短评打分': 5}
{'短评内容': '住这酒店交通挺方便的。最主要旁边就有一个快餐店，方便又实惠。但是198元的房间有点挤。', '短评打分': 5}
{'短评内容': '离西湖很近，房间还好，就是卫生间太小。算是闹中取静。', '短评打分': 5}
{'短评内容': '不值这个价，下次去杭州可能订其他的酒店。卫生条件一般，房间小的很，唯一的优点是位置还可以~~~', '短评打分': 1}
{'短评内容': '住在一楼，当天晚上停电了半小时，很郁闷。设施还不错，基本上都齐全，吃东西也方便，离西湖很近。', '短评打分': 5}
{'短评内容': '凭良心说，如果要用百分制来衡量一家酒店的话，这家酒店勉强可以打到75分，毕竟价格就摆在那里。\n首先说说缺点：\n  1：不大好找，地理位置不错，但是是在一条小街上，有点偏，不过幸好本人杭州有点熟；\n  2:房间有点小，刚刚够用\n  3：装修有点太旧了，\n  4：不是会员卡不送早餐券，\n优点还是不少：\n  1：卫生条件不错，看起来很干净，\n  2：比较安静，玩了一天，适合睡觉；\n  3：前台服务员态度', '短评打分': 5}
{'短评内容': '位置算方便,房间还行,跟这价格差不多,卫生间稍显简陋。', '短评打分': 3}
{'短评内容': '酒店所在位置去景点比较方便，服务态度也不错，大堂有免费电脑上网，下次还会去的', '短评打分': 3}
{'短评内容': '房间较小，设施一般。', '短评打分': 3}
{'短评内容': '该酒店以前入住过，本次入住发现，实际已经没有餐厅，而网上宣传还有，与实际不符合，请改变。', '短评打分': 1}
{'短评内容': '离西湖够近，闹中取静。', '短评打分': 3}
{'短评内容': '很干净，有窗，住的不是尾间，都达到了我的要求 哈哈哈', '短评打分': 5}
{'短评内容': '，与想像的还有点差距。', '短评打分': 3}
{'短评内容': '酒店设施还可以，离西湖步行十分钟左右很方便，就是靠马路边，早晚公车比较吵。', '短评打分': 5}
{'短评内容': '酒店地理位置不错的,在解百后面,服务态度也挺好的.就是边上有工地在施工,到晚上还是很吵,有时整幢楼都会震动.房间的设备还算齐全,每间的布局都不一样,有的比较宽敞,有的比较狭窄,这就要看你住时还有木有房了...', '短评打分': 5}
{'短评内容': '交通方便，门口就有公交车站，走路去西湖最多10分钟。一楼有快餐店，物美价廉。酒店的服务也不错！', '短评打分': 5}
{'短评内容': '床很舒服，洗澡水很热，总之不错', '短评打分': 3}
{'短评内容': '非常好，干净，整洁，服务好！', '短评打分': 3}
{'短评内容': '很干净。就是希望可以价格再实惠点。住着还是挺舒服的。', '短评打分': 5}
{'短评内容': '幽静，交通便利，紧邻西湖。楼下还有早餐店。', '短评打分': 5}
{'短评内容': '位置绝佳，离西湖步行几分钟之遥。 在西湖边这个价位就不用很挑剔酒店的硬件了，做到安全卫生舒适就够了。', '短评打分': 5}
{'短评内容': '很方便服务员也很热情离景点也就5分钟的路程', '短评打分': 5}
{'短评内容': '这是我第三次来杭州住这家店,一次比一次差,隔音效果很差,卫生间里的手纸湿了半截也没有换.', '短评打分': 1}
{'短评内容': '房间不错，停车场太小，不过离西湖很近，以后还会入住', '短评打分': 5}
{'短评内容': '酒店位置不错，服务也还好，旁边就是个食堂。缺点是隔音太差，隔壁人讲话好像比在自己屋里说话声音还大。', '短评打分': 5}
{'短评内容': '酒店设施还行，就是停车场太小了，还要抢车位。\n', '短评打分': 5}
{'短评内容': '    房间还可以，就是感觉卫生不是很干净，服务态度挺好的，距离西湖和杭州火车站都挺近，地理位置比较方便。', '短评打分': 1}
{'短评内容': '酒店位置很不明显，要打听才能找到，但是距离西湖还是很近的，走路也就8、9分钟（只有此优点）。酒店家具很旧了，建议更新，房间不是很大，没有免费电脑', '短评打分': 5}
{'短评内容': '地理位置绝佳。。位于市中心。。步行5分钟就可以到解百。。再走一会儿就能看到西湖了。。吴山广场步行也能到（但要走25分钟左右）。。房间设施就快捷酒店的基本配备。。卫生间本人不是很喜欢。。洗澡的地方就是小角落拉个小窗帘。。感觉脏脏旧旧的。。但看在地理位置的份上就接受了。。反正旅游期间呆酒店的时间没多少的。。', '短评打分': 5}
{'短评内容': '房间比较干净，服务热情，离西湖步行十分钟给个好评', '短评打分': 5}
{'短评内容': '酒店住住还是可以的 商务标房有电脑 离西湖及解百很近 楼下快餐厅也不错 吃饭便宜 就是热水白天蛮热的 晚上9点以后到房间就不大热了', '短评打分': 5}
{'短评内容': '没有配电脑', '短评打分': 3}
{'短评内容': '订的双标间.不知怎么变大床.还好第二天换了双标，其它还好了.就是房间比较小.离西湖很近，比较方便了.', '短评打分': 3}
{'短评内容': '地理位置不错，离西湖和商业圈很近，停车还算方便，住宿条件一般，符合这个价格。', '短评打分': 5}
{'短评内容': '位置很好,离西湖也不远；买东西也很方便，工作人员服务也蛮好。\n', '短评打分': 5}
{'短评内容': '位置很好,离西湖也不远；买东西也很方便，工作人员服务也蛮好。', '短评打分': 5}
{'短评内容': '还不错吧，就是设备旧了点，    离西湖比较近，     交通还可以的。\n一分钱一分货  没有什么好 细挑的', '短评打分': 5}
{'短评内容': '离西湖近，性价比不错。对面的海鲜店味道很好，杭州的美食口水中。                                      ', '短评打分': 5}
{'短评内容': '很干净，是客服推荐的，去了以后很满意。大床房198元。有点小贵。不过除了价格以外相当满意了。靠近解百 西湖。还是很方便的。', '短评打分': 5}
{'短评内容': '还算ok ', '短评打分': 3}
{'短评内容': '距离商业街和西湖都很近，购物、观光旅游交通便利；但是对于睡眠质量不好的人来说，夜里有点吵杂不好入睡！', '短评打分': 5}
{'短评内容': '位置方面离西湖还算不错,走路过去大概要13分钟,房间有点小,洗漱间符合杭州的特点--水漫金山,里面的照明灯罩一层灰,绝对不夸张,不知道浴室这么潮湿的地方怎么会有灰,而且上面竟然悬挂着一根长达20cm的头发,再说其他地方,没有挂衣服的地方,问服务员要衣服挂,回答是别的房间都用了,所以我住的没有,很奇怪,别的房间和我的有什么关系,宽带必须关了电视才能用(本人自己发现的),问前台的回答是我们的宽带慢,房', '短评打分': 1}
{'短评内容': '卫生间的淋浴实在是太简陋了点，洗完澡卫生间一地的水，寸步难行呀！', '短评打分': 1}
{'短评内容': '位置比较好，出行方便，叫车乘车都容易，离解放路和西湖都很近。\n不足：房间偏小，卫生间淋浴无挡水，一洗澡卫生间全是水。', '短评打分': 5}
{'短评内容': '已入住，酒店比较干净，设备齐全，房间比较小，有院停车。', '短评打分': 3}
{'短评内容': '离解百和西湖都很近，很方便，房间不多，只有一部电梯，酒店旁边的快餐厅很好，早午晚餐都可以在那里解决。', '短评打分': 5}
{'短评内容': '地段好，房间大，商务房有一体机，可惜只有一根网线。价格合理，比同价位的7天如家划算。', '短评打分': 5}
{'短评内容': '酒店位置很好 闹中取静，离西湖步行10分钟。就是房间太小 总体还好', '短评打分': 5}
{'短评内容': '杭州的酒店就是这样，特别是西湖边上的，个人觉得性价比不是特别高，但是西湖边上的，没办法，设施一般，服务态度很不错。', '短评打分': 5}
{'短评内容': '一直住这家，真的还可以。卫生间改进一下会更好。', '短评打分': 5}
{'短评内容': '我住的房间淋浴头坏了，换房态度不是很好，其他都还可以 ', '短评打分': 5}
{'短评内容': '房间空调不好，到晚上楼层没有服务员', '短评打分': 3}
{'短评内容': '性价比还可以，主要是酒店位置好，离西湖非常近，缺点是卫生间太小，不合理。吃饭方便，楼下就是餐厅，价格尚可。', '短评打分': 5}
{'短评内容': '不错，离西湖近，浴室小了点，总体性价比很好。', '短评打分': 5}
{'短评内容': '还不错 在市中心 很方便，一切都很方便延安路 解放路 烷纱路，都在旁边。', '短评打分': 5}
{'短评内容': '原先和星程有过合作的，我还以为是星程的连锁，设施一般，条件一般，临时住下还行', '短评打分': 5}
{'短评内容': '卫生间布置不合理，洗澡时的水都流了满地，床上的被子与床单也不是很干净，有污渍。不过这个价格倒是合理的！', '短评打分': 1}
{'短评内容': '这个价格在杭州还是可以的！只是免费停车位很少，只可以停四辆车，房间里的卫生间设置也不合理，洗澡时把整个卫生间搞得到处是水！洗完澡，再进去时，地上都是水，人都滑倒，建议老年人请勿入住。', '短评打分': 1}
