{'短评内容': '交通方便，房间整洁，适合商务', '短评打分': 5}
{'短评内容': '整洁干净', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '品牌连锁还是不错的，价格也比较合理，卫生也比一般的要稍微好一些，要是连住时间长优惠力度更大就好了。下次还会选择。', '短评打分': 3}
{'短评内容': '品牌连锁还是不错的，价格也比较合理，卫生也比一般的要稍微好一些，要是连住时间长优惠力度更大就好了。下次还会选择。', '短评打分': 3}
{'短评内容': '一般，一般，经济，', '短评打分': 3}
{'短评内容': '不错，下次还去，', '短评打分': 5}
{'短评内容': '酒店周边环境交通便利，大床房间装修风格比较雅致，入住温馨，有点儿家的味道，性价比高！', '短评打分': 4}
{'短评内容': '多次入住感觉比较熟悉，大床房温馨舒适，酒店周边交通便利，性价比高！', '短评打分': 5}
{'短评内容': '酒店有部分大床房环境温馨舒适，出行交通还是比较便利，酒店大堂设计风格可以，有个性……总之，网上提前预定，价格实惠，性价比高！', '短评打分': 4}
{'短评内容': '交通方便，价格便宜，环境好，很超值', '短评打分': 5}
{'短评内容': '就空调不太冷和离地铁站有点远外其他都不错，离外滩很近，前台服务态度很好。', '短评打分': 5}
{'短评内容': '设施较陈旧，卫生一般，白天夜间都很安静。离外滩不远，步行就可到达，正是因此订了这家酒店。希望能改善不足，如果有机会还会再来。', '短评打分': 5}
{'短评内容': '距离外滩白渡桥较近公交两站路10分钟就到，步行5分钟内可至公交135路，再转到老西门到地铁10号线都很方便，设施有点陈旧，空调很给力，单人房床很大还有窗，隔音很一般，楼下有小吃街，旅游商旅都很方便', '短评打分': 5}
{'短评内容': '挺干净的，晚上睡觉很安静，就是离外滩的距离稍微远了些，总体感觉还不错', '短评打分': 5}
{'短评内容': '.房间设施陈旧，地理位置也不好！', '短评打分': 3}
{'短评内容': '还不错，又加住了一晚，距离景点还是远了点，打车在20-30远间。', '短评打分': 5}
{'短评内容': '还不错！环境也还可以，每个房间都有大窗子 比较喜欢。', '短评打分': 5}
{'短评内容': '房间太小了,跟旅馆似的.以后不会再住这个!!!!', '短评打分': 1}
{'短评内容': '就188的三人间来说还不错了，靠外滩不远，有兴趣完全可以走过去，附近吃的东西感觉并不是很多，房间有些潮湿，被子和枕头都有种潮湿的感觉，卫生一般般，附近可能居民区多满安静的', '短评打分': 5}
{'短评内容': '，设备有些旧，但是挺干净，交通方便，安静，存汽车得走些路略不便，服务态度好，推荐！', '短评打分': 3}
{'短评内容': '很好 窗户有阳光 房间很大 很舒服  服务很好 交通方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '不错。服务很好，可以免费寄存物品。离地铁稍有点远。', '短评打分': 5}
{'短评内容': '就在7天的斜对面，找了好久。卫生状况不好。7天楼下有家面馆味道很正，有入住的朋友真的要去尝一尝。', '短评打分': 1}
{'短评内容': '。酒店经济实用，离外滩很近，很方便。', '短评打分': 3}
{'短评内容': '宾馆地理位置稍偏，环境还好。', '短评打分': 3}
{'短评内容': '酒店还是相当不错的，值得推荐！房间很干净，服务也不错，就是位置难找了点儿。不过到外滩还是很近的，走着也就10来分钟吧……有机会还会住这家！', '短评打分': 5}
{'短评内容': '酒店附近交通很方便，很容易找到，前台的服务态度很好，房间很温馨，感觉是到家的感觉，谢谢。', '短评打分': 5}
{'短评内容': '还可以吧，感觉有点太小了，房间真的太小了，什么只可以放下一个床，其他什么都放不下了。', '短评打分': 1}
{'短评内容': '挺好的，ads发斯蒂芬ads飞电风扇阿斯顿飞', '短评打分': 5}
{'短评内容': '酒店太好了，真谢谢你们', '短评打分': 3}
{'短评内容': '缺乏连锁酒店的统一服务标准，与其他为波酒店有差距。离地铁站有15分钟路程', '短评打分': 1}
