{'descr': '酒店很简陋.不过客房还安静.交通都还方便 .', 'star': 5}
{'descr': '酒店很简陋.不过还算安静及简洁.价格比较实惠.', 'star': 5}
{'descr': '宾馆服务还行！就是房间的暖气不热', 'star': 3}
{'descr': '环境一般，太冷清', 'star': 3}
{'descr': '没有热水，只是温的不能洗澡。下次不会住了。早餐没什么可吃的，到8点了也不开门，只有5元也算值了。', 'star': 1}
{'descr': '酒店房间一般，早餐极差，根本没啥可吃的，连餐具都不全。我们一共订了9个房间，大家的意见差不多.', 'star': 1}
{'descr': '酒店房间一般，早餐极差，我们一共订了9个房间，大家的意见差不多', 'star': 1}
{'descr': '这个酒店交通方便、房间的基本设施齐全，大堂服务生态度和蔼；但是，服务管理水平差：我们住了三天，第二天就没有打扫卫生，没有配备卫生用品，晚上现招呼配备卫生用品、我的房间电视收不来，服务生来了也不会调试。相连的饭店早餐不准时开饭，卫生差！服务生态度生硬，好象大家是白吃他们的。（一早10元，就是稀饭、馒头、小菜）就餐的人一进门就发一个煮鸡蛋：大概是“滚蛋”之意吧！不可去也！等他们管理水平改善了再去吧！', 'star': 1}
{'descr': '.酒店卫生好，有停车场，交通方便。', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '酒店一般.', 'star': 3}
{'descr': '环境不是理想  电视太差  不希望再推介这么差的酒店', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '地点方便，出行便利，卫生不错，客房安静，伙食不错。\n', 'star': 5}
{'descr': '地点方便，出行便利，卫生不错，客房安静，伙食不错。\n', 'star': 5}
{'descr': '酒店交通很方便，如家的设施服务都是不用说的了', 'star': 5}
{'descr': '酒店交通很方便，如家的设施服务都是不用说的了', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '房间还算比较大，也很干净，电视节目还行就是有点小哈。服务什么的都还不错，和如家一贯的作风区别不大。', 'star': 5}
{'descr': '房间还算比较大，也很干净，电视节目还行就是有点小哈。服务什么的都还不错，和如家一贯的作风区别不大。', 'star': 5}
{'descr': '酒店房间很宽敞，浴室设计很好，床也很大，如家的服务在经济型酒店中超一流', 'star': 5}
{'descr': '酒店房间很宽敞，浴室设计很好，床也很大，如家的服务在经济型酒店中超一流', 'star': 5}
{'descr': '如家快捷酒店（上海火车站北广场店)(原火车站二店)这家店的位置就在高架边上，有点吵， \n', 'star': 5}
{'descr': '如家快捷酒店（上海火车站北广场店)(原火车站二店)这家店的位置就在高架边上，有点吵， \n', 'star': 5}
{'descr': '预订了却说没有房间！！！！！！！！！！！！！！！！', 'star': 1}
{'descr': '预订了却说没有房间！！！！！！！！！！！！！！！！', 'star': 1}
{'descr': '整体还挺好的，离火车站比较近，就是近高架晚上有点吵', 'star': 5}
{'descr': '整体还挺好的，离火车站比较近，就是近高架晚上有点吵', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '服务态度好，交通便利，如家一如既往如家，房间宽敞干净', 'star': 5}
{'descr': '服务态度好，交通便利，如家一如既往如家，房间宽敞干净', 'star': 5}
{'descr': '这家店的位置就在高架边上，有点吵，房间还可以有窗户，还是比较干净的，总的来说还是比较值的。', 'star': 3}
{'descr': '这家店的位置就在高架边上，有点吵，房间还可以有窗户，还是比较干净的，总的来说还是比较值的。', 'star': 3}
{'descr': '还蛮好的 呵呵 就是房间里的那个电视遥控器好像不怎么好 ', 'star': 5}
{'descr': '还蛮好的 呵呵 就是房间里的那个电视遥控器好像不怎么好 ', 'star': 5}
{'descr': '很舒服！如果房间内安装电脑等设施将会更好！', 'star': 5}
{'descr': '很舒服！如果房间内安装电脑等设施将会更好！', 'star': 5}
{'descr': '帮朋友预定的，朋友感觉不错，干净，支持，', 'star': 5}
{'descr': '帮朋友预定的，朋友感觉不错，干净，支持，', 'star': 5}
{'descr': '就是有点吵，离高架桥太近了，离市区也非常的近，出行也方便，非常的干净。', 'star': 5}
{'descr': '就是有点吵，离高架桥太近了，离市区也非常的近，出行也方便，非常的干净。', 'star': 5}
{'descr': '总体来说感觉不错，就是空调换个位置就好了，吹不到床这边。', 'star': 5}
{'descr': '总体来说感觉不错，就是空调换个位置就好了，吹不到床这边。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '房间干净，不过靠近高架有点噪音。卫生间有点冷。', 'star': 5}
{'descr': '房间干净，不过靠近高架有点噪音。卫生间有点冷。', 'star': 5}
{'descr': '酒店离上海火车站比较近，离地铁也不太远，交通很方便，周围正在拆迁，环境有些影响，房间布局是大通廊式的，有点像绍兴的摩尔城店', 'star': 5}
{'descr': '酒店离上海火车站比较近，离地铁也不太远，交通很方便，周围正在拆迁，环境有些影响，房间布局是大通廊式的，有点像绍兴的摩尔城店', 'star': 5}
{'descr': '不错,干净,方便.', 'star': 3}
{'descr': '不错,干净,方便.', 'star': 3}
{'descr': '提前预订了189的特惠大床房，离火车站很近很好找，离地铁8号线也很近，去世博很方便。比我想象得要好很多，房间很干净，虽然贴着高架，倒也不怎么吵！', 'star': 5}
{'descr': '提前预订了189的特惠大床房，离火车站很近很好找，离地铁8号线也很近，去世博很方便。比我想象得要好很多，房间很干净，虽然贴着高架，倒也不怎么吵！', 'star': 5}
{'descr': '还不错，除了入住时前台办理有点小慢:)', 'star': 5}
{'descr': '还不错，除了入住时前台办理有点小慢:)', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '总的来说还不错吧，可以推荐其它人来这里住。', 'star': 5}
{'descr': '总的来说还不错吧，可以推荐其它人来这里住。', 'star': 5}
{'descr': ' 好', 'star': 5}
{'descr': ' 好', 'star': 5}
{'descr': '作为特惠房，在世博期间的性价比还是蛮高的。\r\n至于噪音，如果住在面向小区一面的话，还是蛮安静的。', 'star': 5}
{'descr': '作为特惠房，在世博期间的性价比还是蛮高的。\r\n至于噪音，如果住在面向小区一面的话，还是蛮安静的。', 'star': 5}
{'descr': '条件还不错', 'star': 5}
{'descr': '条件还不错', 'star': 5}
{'descr': '如家很棒', 'star': 5}
{'descr': '如家很棒', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '住的蛮好的，卫生条件不错，态度也很好，离高架近了点晚上还是有些声音的，不过我一贯睡眠好没什么影响的，就是附近如家太多，还找错了一家浪费了不少时间', 'star': 5}
{'descr': '住的蛮好的，卫生条件不错，态度也很好，离高架近了点晚上还是有些声音的，不过我一贯睡眠好没什么影响的，就是附近如家太多，还找错了一家浪费了不少时间', 'star': 5}
{'descr': '非常好，去上海就住这里，交通方便，生活方便中高低档吃的都可以找到', 'star': 5}
{'descr': '非常好，去上海就住这里，交通方便，生活方便中高低档吃的都可以找到', 'star': 5}
{'descr': '蛮好的，推荐，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '蛮好的，推荐，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '就是比较吵', 'star': 5}
{'descr': '就是比较吵', 'star': 5}
{'descr': '入住满意,环境不错!有个的感觉............', 'star': 5}
{'descr': '入住满意,环境不错!有个的感觉............', 'star': 5}
{'descr': '连锁式的风格,整体感觉还是不错的!就是靠着高架桥,噪音比我想象的要大,也算是唯一不足的地方了!', 'star': 5}
{'descr': '连锁式的风格,整体感觉还是不错的!就是靠着高架桥,噪音比我想象的要大,也算是唯一不足的地方了!', 'star': 5}
{'descr': '可能是世博的原因吧，这家酒店我们付了400多元的房价。彻底背离了如家的原则。 酒店不能接受涉外信用卡付款让我们觉得很诧异。如家是美国纳斯达克上市公司，竟不能接受美国信用卡，一定是什么地方搞错了。挂羊头卖狗肉的事情，如家是不应该搞的。酒店的设施还是可以的。如果100多元的房价那即是性价比非常合适的了。', 'star': 5}
