{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '服务还好', '短评打分': 4}
{'短评内容': '与一行同事一起来江山出差，预定的这家……总体来说宾馆的设施有些陈旧但是还挺齐全，周边交通也比较便捷，作为公司出差随便住住的话还是可以的，性价比高。', '短评打分': 4}
{'短评内容': '位于解放路商业区，交通便利，后面的广场晚上散步不错。设施稍显陈旧，可能有些年头了。总的来说性价比很高', '短评打分': 4}
{'短评内容': '房间挺大的，卫生一般，洗手间比较陈旧，服务态度一般', '短评打分': 3}
{'短评内容': '环境还好，服务，卫生，设施一般般。中央电视台五套没有，奥运会比赛也无法看。遗憾啊', '短评打分': 4}
{'短评内容': '一直住这，条件尚可，但市中区又靠广场，不错!', '短评打分': 4}
{'短评内容': '一直住这，条件尚可，但市中区又靠广场，不错!', '短评打分': 4}
{'短评内容': '一直住这，条件尚可，但市中区又靠广场，不错!', '短评打分': 4}
{'短评内容': '一直住这，条件尚可，但市中区又靠广场，不错!', '短评打分': 4}
{'短评内容': '环境差，设施太简单，房间也小，性价比差', '短评打分': 2}
{'短评内容': '还行吧，位子很好，市中心。周边很繁华。', '短评打分': 5}
{'短评内容': '非常好。', '短评打分': 5}
{'短评内容': '宾馆比较陈旧了，价格不便宜，地处闹市中心，晚上有些吵，旅游不建议选择。', '短评打分': 3}
{'短评内容': '太坑了，什么标间么，就是个棋牌室改造的，两张床挨着两边的墙，中间摆个椅子就算床头柜了。挨着闹市街，晚上热闹无比，想清静的还是算了吧。', '短评打分': 1}
{'短评内容': '不错，是新开不久的酒店，还可以停车，周围的环境也还不错，每天大厅还有钢琴演奏', '短评打分': 5}
{'短评内容': '很不错，价格便宜还有早餐', '短评打分': 3}
{'短评内容': '刚开不久的新酒店，环境不错，设施比较新，早餐比较简单', '短评打分': 5}
{'短评内容': '干净是还干净的 就是有点吵 晚上路边吃的挺多的 下次还会来光顾的', '短评打分': 5}
{'短评内容': '房间挺干净的 还不错 就是楼下白天有点吵 晚上要好些', '短评打分': 5}
{'短评内容': '酒店位置很中心，很方便。房间还可以,还算干净', '短评打分': 5}
{'短评内容': '很热情', '短评打分': 3}
{'短评内容': '房间比较小,有点挤', '短评打分': 3}
{'短评内容': '很干净，房间感觉蛮大的，住的很舒服，热水不是太热', '短评打分': 5}
