{'短评内容': '一般啦', '短评打分': 4}
{'短评内容': '早餐很一般', '短评打分': 4}
{'短评内容': '很不错，性价比很高，早餐还行，虽然不能算很好吃', '短评打分': 5}
{'短评内容': '还可以，', '短评打分': 5}
{'短评内容': '很好家人很满意', '短评打分': 5}
{'短评内容': '位置不错，房间干净，但商务间太小，豪华间大小还算正常，早餐很一般', '短评打分': 5}
{'短评内容': '酒店好像是部队开的，非常干净，而且非常安全，环境太好了，下回去还住这个酒店', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '出门到公园', '短评打分': 5}
{'短评内容': '性价比高！', '短评打分': 4}
{'短评内容': '安静，安静，安静。性价比高，性价比高，性价比高。', '短评打分': 4}
{'短评内容': '环境很好哦！下次还会来！', '短评打分': 4}
{'短评内容': '还可以，就是周围在施工，有点吵', '短评打分': 4}
{'短评内容': '房间空间较少，设施一般，淋浴房出热水较快，边上环境一般般，性价比还可以！', '短评打分': 4}
{'短评内容': '位置还好，给朋友订的，离家近', '短评打分': 3}
{'短评内容': '酒店安静，也挺干净，继续住两天', '短评打分': 5}
{'短评内容': '酒店安静，也挺干净', '短评打分': 5}
{'短评内容': '酒店不错，位置好，附近有超市和良品铺子。对面是解放公园。 距离汉口火车站不远，打车也就20元以内。要是坐轻轨，就需要步行15分钟，比较远。早餐品种多，牛肉面好吃，标准间房间稍有点小。推荐入住', '短评打分': 5}
{'短评内容': '非常满意，很新，很干净，很舒适，下次还会来', '短评打分': 5}
{'短评内容': '一开始进店的时候，前台的先生和小姐可能是比较忙，没顾上我，不过后面的态度还是很不错的，办理入住的时候说话语气都是很温和的。然后问问题的回答也都很让我满意。接着是坐电梯到所住楼层，这家店的套件倒是个很不错的选择，价格上相对也算适中，不过这家酒店所处的位置，比较适合有车的客人和旅游团出行，背包族相对交通上就不太方便，昨天打车花去了比较长的时间。这里主要有两个缺点要说一下：其一是房间本身的装修，整体来说', '短评打分': 5}
{'短评内容': '房间大、比较新、早餐丰富，环境好，推荐！', '短评打分': 5}
{'短评内容': '酒店很新、房间很大，早餐品种很多，对面就是解放公园，环境很好，推荐！', '短评打分': 5}
{'短评内容': '设施不错，早餐也不错，就是服务一般，总体来说还是可以推荐的。', '短评打分': 5}
{'短评内容': '非常好!价廉物美，环境和服务态度都很好，推荐', '短评打分': 5}
{'短评内容': '停车场太小，经常没地方停，路旁也没停车位', '短评打分': 1}
{'短评内容': '酒店居住很舒适，靠近公园，空气清新适宜散布休闲。', '短评打分': 5}
{'短评内容': '酒店是比较新，住得还比较舒服。不过也有满多小问题：1.地毯不干净，就像很久没吸过；2.收拾房间时不补充水，住一天就没问题；3.洗手间太小，地巾没位放。', '短评打分': 5}
{'短评内容': '酒店不错，喜欢该店的装修风格， 有家的感觉。比较安静。服务也挺好。', '短评打分': 5}
{'短评内容': '酒店硬件设施还行，服务水平实在跟不上。继昨天下午玩累了回来补个觉被服务员敲门吵醒送纸巾，结果说敲错房门了。今天中午再想补个觉被前台电话吵醒，问要不要续住，问题是我订单到了周六退房，预付了3000的预授权，可不可以不要老是打扰客人呢，无奈换酒店吧\n', '短评打分': 1}
{'短评内容': '酒店房间不大倒还干净舒适，但是服务员素质实在太差，影响心情。第一天打扫不补矿泉水，垃圾桶也忘了倒，我出去把服务员叫回来的，第二天正在换衣服，服务员居然不敲门直接进房间，好在我挂保险的习惯，实在太气愤了，最基本的客房礼仪都没有！！！', '短评打分': 1}
{'短评内容': '一般吧，价格还行，周围吃东西不是很方便，房间有些小', '短评打分': 5}
{'短评内容': '闹中取静，房间不大倒也还干净舒适，周围小吃不多', '短评打分': 5}
{'短评内容': '酒店还可以，交通也很方便，卫生比较干净，周围吃的也很多', '短评打分': 5}
{'短评内容': '酒店很不错，价格实惠，室内干净安静。早晨有丰盛早点。值得入住', '短评打分': 3}
{'短评内容': '在解放公园附近,位置是闹中取静，晚上休息很安静，新酒店，漂亮整洁，性价比还算不错，早餐的味道还好，总体来讲，非常满意。', '短评打分': 5}
{'短评内容': '酒店设施还行，但空调主机噪音太大。', '短评打分': 3}
{'短评内容': '酒店总体不错，内部装修很好，地点也不错，就是早上有时服务人员在走廊里，很长时间用对讲机大声讲话，影响客人休息，要注意。', '短评打分': 5}
{'短评内容': '新装修，很干净，房间挺大，有早餐价格才200多，非常满意！', '短评打分': 5}
{'短评内容': '房间不错，就是不太好拦的士，稍贵', '短评打分': 3}
{'短评内容': '还算干净卫生，早餐也还说得过去，就是楼上还在装修，从早上8点就开始，想早上睡会懒觉或者午休一会都没可能。', '短评打分': 1}
{'短评内容': '住了三天，总体感觉还不错，就是房间清洁连续两天到了下午反复催促才做，这点需加强，', '短评打分': 5}
{'短评内容': '总体还不错，前台服务也不错，房间装修可以，就是空间较小，早餐品种很少。', '短评打分': 5}
{'短评内容': '酒店很新，新装修的，大堂很有点韵味，古色古香的。唯一觉得房间有点小（大床房），最令人觉得差的是中央空调声音很大，房间之间也不隔音。', '短评打分': 5}
{'短评内容': '还是一如既往的好。房间很干净。就是停车位太少。其他都不错拉。', '短评打分': 5}
{'短评内容': '非常好。服务很满意。房间很干净。就是停车位太少。不过还好每次我们都能停到车。', '短评打分': 5}
{'短评内容': '还可以，不过达不到4星的标准，大堂很小\n房间还行，关键是新开业不久的', '短评打分': 5}
{'短评内容': '商务房可以看公园，装修还新！总体不错，但很多的士不知道有这个酒店。', '短评打分': 5}
{'短评内容': '武汉京萃大酒店硬件设施及服务都还不错!性价比超好!我喜欢!', '短评打分': 3}
{'短评内容': '前台没给我们留预订房，很快就升级豪华标。房间大，窗外就是公园，也很安静，楼下是各种的饮食，不错，下次来还住这。', '短评打分': 5}
{'短评内容': '冬天供暖的中央空调“嗡嗡”声闷响，房间隔音不好、有点点小。', '短评打分': 5}
{'短评内容': '隔音不好，电梯很慢，觉得房间有点点小，价格偏贵，再加50元就能住5星酒店了，地理位不错。', '短评打分': 5}
{'短评内容': '服务不错，干净，距解放公园30米，早晚可公园散步。今后还为朋友预定', '短评打分': 5}
