{'短评内容': '干净，清静，服务质量高！', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '冀唐开元酒店的位置还不错，在唐山算是性价比比较高的酒店，美中不足的是房间的面积不算大，只有30多平米。', '短评打分': 4}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '非常好的酒店地理位置非常好，就在唐山市中心去唐山什么地方都非常方便，酒店服务员水平高热情周到，就是餐厅只有素食，下次还会光顾。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '棒', '短评打分': 5}
{'短评内容': '.....', '短评打分': 5}
{'短评内容': '好的住宿条件，交通方便，停车便利！', '短评打分': 5}
{'短评内容': '干净整洁，清静舒适', '短评打分': 5}
{'短评内容': '酒店很好，预定很快很方便', '短评打分': 5}
{'短评内容': '环境优雅，干净卫生，交通便捷，入住方便！', '短评打分': 5}
{'短评内容': '经常入住，环境好，卫生优', '短评打分': 5}
{'短评内容': '好，环境，卫生没得说', '短评打分': 5}
{'短评内容': '价格便宜，住着舒服', '短评打分': 5}
{'短评内容': '价格优惠，房间干净整洁，舒适！很方便！', '短评打分': 5}
{'短评内容': '舒适，安静！干净，卫生！服务周到！', '短评打分': 5}
{'短评内容': '卫生干净，服务周到，已经住了很多次。房间设施很齐全，出差必选的酒店。周边方便，一应俱全。值得给大家推荐', '短评打分': 5}
{'短评内容': '很干净，环境很好，期待下次入住', '短评打分': 5}
{'短评内容': '530房间wifi非常不好，，', '短评打分': 5}
{'短评内容': '非常好的酒店，一切都不错', '短评打分': 5}
{'短评内容': '唐山住过的比较好的酒店了，位置市中心，交通便利，酒店环境服务卫生都很好，价格合适下次出差还会选择入住。', '短评打分': 5}
{'短评内容': '不错 除了没有健身房和娱乐场所', '短评打分': 5}
{'短评内容': '还不错，地理位置很好！', '短评打分': 5}
