{'短评内容': '各方面都好 就是设备稍微老久点 ', '短评打分': 5}
{'短评内容': '环境一如既往', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '环境不错，很干净。', '短评打分': 5}
{'短评内容': '楼上KTV鬼哭狼嚎到凌晨三点、凌晨四点床头破开关报警', '短评打分': 2}
{'短评内容': '很好，很不错', '短评打分': 5}
{'短评内容': '不错，挺好的！', '短评打分': 5}
{'短评内容': '服务态度很好，光景挺好！', '短评打分': 5}
{'短评内容': '房间卫生尚可，周边环境不错，吃饭购物方便，位置交通也可以，酒店服务一般吧，在网上订两个标间，到店后说只有一间，最后是设施，很老旧。。', '短评打分': 4}
{'短评内容': '住的宏泰楼还可以的，就是床有些软 简陋', '短评打分': 4}
{'短评内容': '非常完美的一次差旅，安静舒适的环境对于商务出差的我们来说是首选，还有就是退房时间到14点就不用那么匆忙了', '短评打分': 5}
{'短评内容': '还不错，好评', '短评打分': 5}
{'短评内容': '环境和设施非常不错，网上定的，性价比非常高。只是前台办理手续太慢', '短评打分': 5}
{'短评内容': '各个方面都很满意', '短评打分': 5}
{'短评内容': '卫生较好，环境-般，服务好，设施好。', '短评打分': 3}
{'短评内容': '还行吧，就是设备有些陈旧。周边比较方便。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
