{'descr': '非常好，离医大很近', 'star': 5}
{'descr': '不错哈。。', 'star': 5}
{'descr': '设施比较陈旧且维护的不好，房间较小，空调噪音大，排风噪音也大，屋内灯不够亮，卫生间比较脏，有异味，没有24小时热水，其实根本没有热水，无法洗澡', 'star': 2}
{'descr': '入住时酒店房间无无线wifi.还好自己带了电脑，用网线上网，电视不清楚，台也不多.', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '环境卫生还不错，就是有的房间电视不清晰！', 'star': 4}
{'descr': '因为老婆要到中国医科大学去考试，所以选择了这家距离中医大最近的酒店，普通大床房设施一般，还算过得去，去的那天正好下雪，房间很暖和（简直是热的不行），因为我们是上海人所以在北方有点不适应，电视机有点问题只能调出几个频道，反正只待一天，无所谓。早餐不错。总的来讲还对得起这个价格，5月中旬还要去沈阳，还会选择这家酒店', 'star': 4}
{'descr': '条件一般，158含早餐，价格在当地没什么优势，而且最大的问题就是房间的卫生条件稍差，只要是手摸的到的地方就没有没土的，卫生间放杯子的一个小架子上全是土，床单的确是换过，不过这种已经洗不出来的床单是不是就可以不要了，血渍，油渍全是。前台的服务还不错，态度挺好的，不过早餐餐厅阿姨说话的口气就比较丧了。\n这家店的旁边就有个宜必思，如果不是预算特别紧张的朋友，还是选择宜必思吧。', 'star': 1}
{'descr': '家庭房舒适、宽敞，三个人足够用，家里人也反映很好。', 'star': 5}
{'descr': '总体感觉还不错，晚上睡觉挺安静的。离火车站打车10元钱就到.', 'star': 5}
{'descr': '今天的房间很潮，阴冷，房顶还有黑色的印迹，感觉没有以前的房间好，就是凑合住一下吧，早餐挺好的。希望可以重新修理一下那个屋子', 'star': 3}
{'descr': '客服人员一如既往地礼貌待客,热情服务,房间也很舒适,下次还会选这里。', 'star': 3}
{'descr': '感觉很好，很舒心，洗个热水澡睡个好觉，也没什么噪音，上网速度也挺快的。还会去的', 'star': 3}
{'descr': '住宿体验不错,下次还会选这里。', 'star': 3}
{'descr': '酒店干净，服务人员热情，早餐很不错。只是房间里没有挂衣服的地方，希望改进。', 'star': 5}
{'descr': '此酒店的服务还好，早餐的质量也不错。酒店的房间感觉也很舒适。下次会考虑继续入住。', 'star': 5}
{'descr': '该酒店服务还可以，早餐也很好。总体感觉不错！', 'star': 5}
{'descr': '毛巾有股味道，拖鞋不是一次性的，还有水。比较一般的宾馆', 'star': 3}
{'descr': '房间还可以，前台接待也不错，就是押金太多了！', 'star': 3}
{'descr': '地理位置相对比较好，就是性价比不高！不带窗户的要我138，服务态度很好，每天给收拾屋子，还有就是我感觉这家店好小气，早餐就只允许每人一个鸡蛋，单买早餐要15元，哎！！无语啊~~', 'star': 5}
{'descr': '房间面积太小，设备落后，较差。', 'star': 3}
{'descr': '很一般，总之很一般。。。楼下有水果店 和小饭店。位置还可以。。。酒店很简陋。。。', 'star': 1}
{'descr': '还可以吧，不过有洁癖的要考虑了，房间里有卫生死角，遥控器上都是灰，好像从来没擦过。服务很好，也很暖和。离机场大巴站点真是近，很方便', 'star': 3}
{'descr': '还行吧，在温州市区可能这个价格就这样的房间吧，不过周边没有什么吃的是比较烦的事情', 'star': 5}
{'descr': '房间实在太吵。靠马路边', 'star': 3}
{'descr': '房间挺干净，就是有点小，还算可以', 'star': 3}
{'descr': '妙果寺对面，位置挺好，周边没有什么吃饭的地方 \n', 'star': 5}
{'descr': ' 一般', 'star': 3}
{'descr': '住过很多次了，面向妙果寺的房间风景较好。其他朝向的房间就一般了', 'star': 5}
{'descr': '位置较好，房间一般，比较干净，早餐也不贵。', 'star': 5}
{'descr': '妙果寺对面，位置挺好，周边没有什么吃饭的地方', 'star': 5}
{'descr': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', 'star': 5}
{'descr': '比较简单交通方便，电视机很普通只能收看到国内电视台', 'star': 5}
{'descr': '住了两天，感觉还不错！值得推荐！！！！！！', 'star': 5}
{'descr': '不错…', 'star': 3}
{'descr': '服务态度很好，', 'star': 3}
{'descr': '服务人员的态度很好,离太原街很近,早餐也很好吃.只是门的隔音效果不好.', 'star': 3}
{'descr': '地理位置不错，特别是服务人员非常热情，免费早餐品种虽不是特别多，但就免费送得已经是相当好了。', 'star': 5}
{'descr': '地理位置还可以，整体设施就不能说了，房间很小，两个人在里面都比较拥挤了，卫生条件较差，房间内的设施也一般般，应该不会再住了。', 'star': 1}
{'descr': '干净，整洁，但偏小，晚上靠路边有点吵', 'star': 3}
