{'短评内容': '性价比很高，环境不错，关键是出门就是西湖，位置特别好。', '短评打分': 5}
{'短评内容': '地址很好  出门就是西湖   ', '短评打分': 5}
{'短评内容': '太陈旧了，感觉不好。但是周边环境好，距离柳浪闻莺很近。', '短评打分': 4}
{'短评内容': '进景区近环境美交通方便有机会再来选的这一家酒店', '短评打分': 5}
{'短评内容': '酒店太垃圾了，有虫子，床垫太垃圾！淋浴花洒更加是垃圾，可以说没法舒适洗澡！', '短评打分': 2}
{'短评内容': '酒店地点不错，就在西湖边上，但是酒店设施和房间不是特别好，空调不是很给力，要是夏天去就别选这家了', '短评打分': 5}
{'短评内容': '因航班取消不住成，但退订很方便', '短评打分': 5}
{'短评内容': '靠近西湖，方便。。。', '短评打分': 5}
{'短评内容': '距离西湖比较近，周围环境很不错，出行方便，还是很不错的。', '短评打分': 4}
{'短评内容': '隔壁两间房在装修，门口都是浴巾堆在地上！', '短评打分': 4}
{'短评内容': '带宝宝 看看西湖 离西湖真实很近的比较推荐', '短评打分': 5}
{'短评内容': '里西湖很近，非常好', '短评打分': 4}
{'短评内容': '位置非常好', '短评打分': 5}
{'短评内容': '帮别人订', '短评打分': 5}
{'短评内容': '房间不干净，晚上很吵，但离西湖近', '短评打分': 1}
{'短评内容': '房间一股难闻的味道', '短评打分': 2}
{'短评内容': '离西湖超级近，位置非常好！但是很陈旧，一楼都窗户外就是墙，很潮湿。但是这个位置价格已经很公道了', '短评打分': 3}
{'短评内容': '离西湖边30米，交通也很方便，吃饭的地方也不远，', '短评打分': 5}
{'短评内容': '很好，很安静，在携程上定的，好便宜的，离西湖几分钟的距离，楼下好多吃的！', '短评打分': 5}
