{'短评内容': '离公司近，经常过来住，总得感觉不错', '短评打分': 4}
{'短评内容': '环境不错 房间不错 ，这家家交通很方便，很好找，房间很干净很整齐，窗户很大，很通透。设备齐全，床品都很干净很新！晚上很安静，休息的很好，老板人很好，非常热情很满意！', '短评打分': 4}
{'短评内容': '环境不错，过桥米线很棒。', '短评打分': 5}
{'短评内容': '还不错，出门在外能住自己家乡味道的酒店', '短评打分': 5}
{'短评内容': '方便位置。', '短评打分': 5}
{'短评内容': '云南的招待所，条件不错，但在旅游旺季，一定要提前订好，我网上订了一天，结果想延期时被拒，理由是房间已订，只好搬离在找。周边小吃较多，均在10分钟步行行程以内。', '短评打分': 5}
{'短评内容': '很有特色的酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间太旧了', '短评打分': 3}
{'短评内容': '多次入住该酒店，发现一个问题，这个酒店给携程的客人安排的都是有点问题的房间，比如说几次都入住同样的两个房间，里面卫生间的下水道有异味传出来。当然，后来该酒店很难订，也就不去住了。', '短评打分': 3}
{'短评内容': '在西单能住到这样的房间很好了', '短评打分': 5}
{'短评内容': '胡同里面 酒店环境还可以', '短评打分': 5}
{'短评内容': '来了很多次，非常好', '短评打分': 5}
{'短评内容': '交通比较难找，价格太高，性价比一般', '短评打分': 3}
{'短评内容': '距离西单和金融街很近，交通便利，餐饮方便，性价比高，值得推荐。', '短评打分': 4}
{'短评内容': '房间 很干净，服务也很好，夏天没有蚊子，下次还会住这。', '短评打分': 5}
{'短评内容': '位置虽然在胡同里，但是交通非常方便，而且靠西单很近，条件不亚于高级酒店，卫生很干净，服务员态度很好，如果不是自己有点小意外，这次北京之行可以说是百分百圆满。给予满分的评价', '短评打分': 5}
{'短评内容': '位置便利，出了巷子就是地铁4号线。酒店设施还行，干净、安静。就是没有电梯，行李不方便上下', '短评打分': 5}
{'短评内容': '服务不错，位置好，基本上无车位.餐厅云南特色菜，有点贵。', '短评打分': 5}
{'短评内容': '地方很好找 服务态度很好 房间一般 没有电梯 要走到4楼 很累', '短评打分': 5}
{'短评内容': '酒店内部很干净,挺满意。唯一的缺点就是在胡同里,开车很不方便,难找没地方停车', '短评打分': 3}
