{'descr': '没？有成功', 'star': 2}
{'descr': '环境还可以，挺好的，价格实惠， 满意的一次住店。', 'star': 5}
{'descr': '很好，交通方便', 'star': 5}
{'descr': '周边在修地铁，吵死了，', 'star': 3}
{'descr': '房间进去有点霉味，墙上有污渍霉点都有，隔音不是太好', 'star': 3}
{'descr': '环境啥的都还可以。就是走廊有点远！', 'star': 5}
{'descr': '就那样', 'star': 3}
{'descr': '实惠', 'star': 5}
{'descr': '很菜', 'star': 1}
{'descr': '很好', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '前台很傻叉', 'star': 2}
{'descr': '方便 住一晚就走 很好的选择', 'star': 4}
{'descr': '很好， 以后还会入！', 'star': 5}
{'descr': '床太差', 'star': 2}
{'descr': '还行吧   设施比较陈旧', 'star': 4}
{'descr': '刷卡扣钱直接扣了三百之后说扣错，要扣预用。之前三百反了，然而到现在还没有到账', 'star': 4}
{'descr': '一般一般还可以还可以', 'star': 4}
{'descr': '空调不太热', 'star': 5}
{'descr': '房间小，里面家具都是暗红色的，看起来就不舒服，给人一种很残旧的感觉！离地铁确实有点远！', 'star': 3}
{'descr': '位置不错，离狮子桥美食街很近，房间也比较大，就是不太好找，不仔细看打车也很容易错过，不过就在布料城下车也可以！', 'star': 5}
{'descr': '地理位置比较方便，服务也不错，值得向朋友推荐。', 'star': 5}
{'descr': '酒店很好找就在大路边，但时间可能比较久了环境很一般，东西都比较旧，电视机还是那种最老式的小电视。', 'star': 3}
{'descr': '离湖南路的西端步行五分钟，酒店较为陈旧，设施老化，环境卫生一般。地铁在湖南路东口，为玄武门站，从酒店步行需预留二十分钟。中间有狮子桥步行街，前后多吃货乐园。玄武湖公园在地铁旁。', 'star': 3}
{'descr': '还不错，房间挺大的。离商业去也很方便，住起来比较舒心，就是没有早餐很让人不解', 'star': 5}
{'descr': '＋位置还好，环境一般，隔音效果有点差…', 'star': 3}
{'descr': '地点不错很方便', 'star': 3}
{'descr': '卫生、环境还可以吧，比上次入住时，周边环境好多了', 'star': 5}
{'descr': '卫生好不好不说了！半夜10点洗澡洗到一半时马桶像是发疯是的开始往外漫水，打电话到前台说明情况，前台说工作人员马上来，最后直到我打了第三个电话后才有人来，但是等人来的时候整个房间里面全部的是水，人只能站在床上，打第三个电话时我要求他们给我换间房，但是前台说要等工作人员来看过再说，后来看完是马桶坏了，就同意给我换间房，但是我要自己去前台换门卡，我拖这大包的行李和满身没有来的急冲洗掉的肥皂泡来到前台，当', 'star': 1}
{'descr': '隔音很差，很吵，设备很一般，床很硬，比较不值。', 'star': 3}
{'descr': '房子有点老了…里面味道有点重…还有窗户的纱窗真的太小了……', 'star': 3}
{'descr': '设施太差设施太差设施太差设施太差设施太差设施太差设施太差设施太差', 'star': 1}
{'descr': '总的感觉还是不错的。床很舒服。其他细节也比较到位。下次还会去。', 'star': 5}
{'descr': '地理位置方便，房间不是很大，卫生还行，空调效果不是很好。', 'star': 5}
{'descr': '住过第二次了  还是不错的  机场直接有大巴到酒店门口。  三星，配置还好。', 'star': 5}
{'descr': '房间很小，空调制热不好，卫生间冷死人了，地段不错。', 'star': 5}
{'descr': '地段不错，房间有点小，电视角度也不太对，斜的，看着有点别扭，空调制热不行。', 'star': 5}
{'descr': '不错，挺干净的，空间也够大，就是晚上不是很安静，估计是路边的缘故吧', 'star': 5}
{'descr': '设施老旧 地点难找 房间用品需乾净一点 而且隔音不好 总之这个价位住起来不划算', 'star': 1}
{'descr': 'tinghaode tinghaode tinghaode', 'star': 5}
{'descr': '烟味太重太重了 其它没什么 干净整洁  还好', 'star': 5}
{'descr': '交通比较便利，卫生状况也比较好，就是房间隔音太差。', 'star': 5}
{'descr': '交通便利，服务热情周到，有早餐，离车站很近。', 'star': 5}
{'descr': '离高铁站很近，服务热情，房间干净卫生，周边环境也很安静。', 'star': 5}
{'descr': '酒店位置不错。管理不行，闲杂人等进来散发黄色小纸片。房间比较小。', 'star': 1}
{'descr': '门口在修路，脏乱难免，这点可以理解。酒店靠近马路，很吵，设施看上去已经有点老旧了，隔音不怎么好~根本就没有停车场，最后只能停在人家小区里，这点让人不能接受！！价格和其提供的服务质量不成正比，总体感觉一般。唯一优点是离湖南路很近，交通很方便~', 'star': 1}
{'descr': '感觉不错 。温馨舒适，干净卫生。\n房间面积适中，活动空间大。\n很满意', 'star': 5}
{'descr': '附近逛街交通都很方便，房间比较大，不错。', 'star': 5}
{'descr': '酒店位置很好，公交线路很多，非常方便，如果是自驾的话，停车位不够多。酒店很新，装修可以，每间免费送2瓶矿泉水很贴心。缺点：1）毛巾、浴巾都黑的，有的有洞。2）房间不隔音，房间对面开门，听到的感觉是在开自己的房门。3）房间小，电视为什么不正对着床？要斜着看。', 'star': 5}
{'descr': '除了有点不隔音，其他都不错，周围交通很方便。', 'star': 5}
{'descr': '性价比不高，设施简陋', 'star': 3}
{'descr': '各项都很好。入住的实际价格，高于网上显示的价格。', 'star': 5}
{'descr': '酒店大堂设在一个建筑一层的角落，周围没有任何设施，没有感觉是家酒店。', 'star': 1}
{'descr': '对于这个价位的房子来说，条件还是不错的，而且靠近湖南路', 'star': 5}
{'descr': '＋房间很干净，但是走廊实在太简陋了，不过总的来说还是比较满意的。', 'star': 3}
{'descr': '好。', 'star': 3}
{'descr': '优点：大床睡想来还挺舒服的，热水很快\n缺点：不好停车，房间的隔音很差，大厅正对的电梯居然是货厅，刚开始没注意就走错了，也没人提示。', 'star': 1}
{'descr': '住过那么多格林豪泰，对这家超级无语，房间小，服务态度超级差。没有事先告知几点退房，也没有提前打电话问要不要续房，就那么总台直接打电话来说，12点了啊 ，你们还不退房啊？真是无语了，离地铁站好远，走的都累死。打死也不来这家了。', 'star': 1}
{'descr': '房间设施略显单调，电视频道较少，大堂到电梯比较麻烦，地段位置不错，总体性价比一般', 'star': 5}
{'descr': '地段很好，交通方便。可能是节假日的原因，前台只有一个人，感觉忙不过来，总体来说还不错', 'star': 5}
{'descr': '酒店位置还是不错的，交通方便。但房间太差了，218元的大床房间约只有8平左右，顶墙靠置，只能单边上下床很不方便。房间太狭窄了，没有挂衣厨，太差。', 'star': 1}
{'descr': '国庆节去南京玩订的酒店。\n这家宾馆很难让人选择推荐或者不推荐，但是因为它合格，所以选择不推荐就不太厚道。\n可以说是中规中矩，算是个合格的格林豪泰商务连锁酒店\n标间房间够大，但装修不是特别温馨的那种，比较简单，缺乏时尚或者温馨的元素。\n离总统府，玄武湖，鸡鸣寺钟山风景区（中山陵，紫金山天文台，明孝陵，灵谷寺等）都比较近，驴友选择这个位子还不错，离狮子桥街也很近，吃饭方便', 'star': 5}
{'descr': '还是干净，就是电视节目太少了，，', 'star': 3}
{'descr': '1.地址不准确，实际上不是山西路215号，而是中山北路215号\n2.客房楼道内不健康的卡片遍地都是', 'star': 1}
{'descr': '酒店的位置不错，服务也可以，值得推荐，要是能开通钟点房，并且退房时间再灵活一点就更好了。', 'star': 5}
{'descr': '酒店周围尘土飞扬,楼上装修,隔音极差,设施比其他格林豪泰差多了,墙面脏兮兮,毛巾破旧!较失望...                                                          ', 'star': 1}
{'descr': '我已住8627自要218元 请把卡号074换改 我常出差江苏上海 张益群谢谢', 'star': 3}
{'descr': '环境还行，但被单明显发黄，服务不错', 'star': 3}
{'descr': '房间没有网站上说的那么大，有点小，不过环境还可以，说的过去…………………………………………………………………………………………………………………………………………………………………………………………………………', 'star': 5}
{'descr': '离湖南路两分钟步行，周边商业啥的都方便，就是停车吃力点', 'star': 5}
{'descr': '房间很简陋，就感觉好像旅馆一样，怀疑这家格林豪泰的正宗、、', 'star': 1}
{'descr': '交通便利，在这里办事方便，房间也不错。就是晚上太吵了。', 'star': 5}
{'descr': '还算干净 就是房间有点小 ，要再大点就更好了', 'star': 5}
{'descr': '不错,挺干净.每次来南京都是订这儿', 'star': 3}
{'descr': '总体来说，对得起这个价格，性价比比较高，还算舒适。', 'star': 5}
{'descr': '虽然房间小了点，但是价格不贵，蛮干净的。本来打算买点矿泉水，房间里就有送两瓶，不错～给好评～', 'star': 3}
{'descr': '环境还是不错，装修的也不错。就是等待时间太长。', 'star': 5}
{'descr': '都还好～就是房间有点小～', 'star': 3}
{'descr': '酒店 设施比较新，交通方便，隔音设施再好一点！', 'star': 5}
{'descr': '隔音效果巨差。', 'star': 3}
{'descr': '所谓的大床房A房间好小，感觉转身都不容易。', 'star': 1}
{'descr': '交通方便，环境不错，价格实惠，服务态度良好，尤其是防跳窗的设计，非常人性化。', 'star': 5}
{'descr': '还可以。               111', 'star': 5}
{'descr': '我订的大床房，房间非常的小看起来很拥挤，而且设施也比较陈旧。另外酒店的位置距离湖南路还有一段位置，坐地铁也不是很方便。最郁闷的是，酒店旁边有施工之类的，一夜都有噪声！', 'star': 1}
{'descr': '地处山西路步行街，交通非常方便，商业配套完善，性价比也高', 'star': 5}
{'descr': '隔音太差！！！！！！！！！！！！！！！！！！！！真的 很差！！！！！！！！！！！！！！！！很差！！！！！！！！！！！！！很差！！！！！！！！！！！半夜总是听到一些不该听到的声音！！！！！！你们懂得= =\n\n其他环境真的很棒！服务很好！位置好！', 'star': 5}
{'descr': '酒店位置不错，交通很方便。房间太小，设施还行。大堂太简陋，前台服务员的态度真是不敢恭维。', 'star': 5}
{'descr': '房间比较干净也很安静，门前地方太小，停车太困难。退房时只有一个服务员，等的时间较长，建议在人多时增加服务员。值得推荐。', 'star': 5}
{'descr': '还不错，唯一就是晚上洗澡热水不是很稳定。', 'star': 5}
{'descr': '感觉不错的宾馆!', 'star': 3}
{'descr': '环境还不错，提点建议：可提供点吃的东西，晚上饿了想吃，没的买，', 'star': 3}
{'descr': '很安静，交通方便。房间大，就是卫生间小点。', 'star': 5}
{'descr': '＋满意', 'star': 3}
