{'短评内容': '去启东很少，没有印象了。住的估计一般。', '短评打分': 5}
{'短评内容': '老三星酒店了，停车场有点距离，早餐还行', '短评打分': 3}
{'短评内容': '还可以吧，时间久了没什么印象了！', '短评打分': 5}
{'短评内容': '价格适中', '短评打分': 4}
{'短评内容': '主要因为小朋友说要游泳，因为是春节，太冷，就想找个酒店有浴缸的，但是酒店年代太长，设备有些旧，再过来的机会不大', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很差', '短评打分': 1}
{'短评内容': '市中心位置，酒店设施有点年分，装修陈旧，早餐碗筷卫生担忧。服务尚可。', '短评打分': 4}
{'短评内容': '设施比较陈旧，整体环境一般', '短评打分': 4}
{'短评内容': '酒店太老了', '短评打分': 2}
{'短评内容': '酒店太老了', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '设施略陈旧了。但是晚饭还是满好吃的。早饭一般，都是很油腻的菜，基本看了就不想吃。总体还行', '短评打分': 5}
{'短评内容': '启东大酒店应重新装修，硬件老化厉害，服务水准需要提高', '短评打分': 3}
{'短评内容': '交通非常便捷，位于城市中心位置，酒店设施有点陈旧，服务很好，停车场位于酒店南侧，有点远', '短评打分': 5}
{'短评内容': '交通非常便捷，酒店位于城市中心位置，服务可以就是停车不是很方便', '短评打分': 5}
{'短评内容': '性价比太差明天换一家了', '短评打分': 3}
{'短评内容': '环境不错，服务很好！我感觉非常满意！环境不错，服务很好！我感觉非常满意！', '短评打分': 5}
{'短评内容': '硬件是三星级的水平，服务也是三星级的水平。', '短评打分': 1}
{'短评内容': '一般化，房间很老，停车不方便，吃饭的人多，很吵', '短评打分': 5}
{'短评内容': '酒店交通比较方便，进门比较宽敞，房间比较宽敞，酒店算老，但是地毯等换新得。不过感觉酒店还没准备好崇启大桥通后带来得商机，接待等还不够规范。\n', '短评打分': 5}
{'短评内容': '酒店很差，没有多少楼。怎么会是4星呢？\n家具有坏的。吃饭的地方很小', '短评打分': 1}
{'短评内容': '价格不错 交通方便 早餐也行 就是设施有点陈旧了。', '短评打分': 5}
{'短评内容': ' - 服务较好,交通方便,只是卫生间较小,房间隔音效果差。', '短评打分': 3}
{'短评内容': '我巳入住启东大酒店,但查不到订单,怎么回事?', '短评打分': 3}
{'短评内容': '我住的是288的豪华房，感觉房间设施比较陈旧，由于我那间靠近马路，窗子密封性能又不好，所以很吵；早餐不好吃，我吃早点的时候没看见几个人。', '短评打分': 1}
{'短评内容': '＋很满意', '短评打分': 3}
{'短评内容': '没有商场，无法买些小东西。环境还可以。价格稍微贵了1点点。', '短评打分': 5}
{'短评内容': '还行吧，当地的一家老酒店，主要是因为靠近单位的活动地点', '短评打分': 5}
{'短评内容': '豪标空间还是蛮大的，被子也舒服，地处市中心，很方便。', '短评打分': 3}
{'短评内容': '外面有点吵', '短评打分': 3}
{'短评内容': '总体感觉还是可以的，对得起它的价格！只是可怜没有早餐。', '短评打分': 5}
{'短评内容': '位置优越，生活方便,就是夏天蚊子比较多。', '短评打分': 5}
{'短评内容': '交通挺方便的，下次还会入住的，呵呵 ……', '短评打分': 5}
{'短评内容': '房间挺大，有点旧，环境还可以，早餐一般。', '短评打分': 5}
{'短评内容': '此酒店硬件很差，进去后就有种怪味道，我往8510，卫生间的水流很小很小，房间很旧，此酒店本人认为连二星都不如，不知这个小城市谁给这家店评的四星，真坑人。店家~多有得罪了', '短评打分': 1}
