{'短评内容': '很棒，早餐很吃。服务很，卫生干净', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '刚去酒店服务很好，前台有可以免费领取的蜂蜜和水等。卫生干净整洁。早餐丰盛很好。', '短评打分': 5}
{'短评内容': '很好，房间卫生很好，服务员超礼貌的。早餐好吃，停车场很宽敞。', '短评打分': 5}
{'短评内容': '很棒，卫生干净，服务人性化，早餐好吃，停车方便，极力推荐！', '短评打分': 5}
{'短评内容': '干净卫生好，服务态度好，环境安静好。开始考虑离火车北站j近，但是，但是，但是距离城区太远了，太远了，太远了。极不方便。', '短评打分': 5}
{'短评内容': '@', '短评打分': 5}
{'短评内容': '@', '短评打分': 5}
{'短评内容': '好着呢，。。。。', '短评打分': 5}
{'短评内容': '还可以  挺好的 还可以挺好的   酒店在小区里面  很安静', '短评打分': 5}
{'短评内容': '房间还不错，就是早上太吵了，一点隔音都没有', '短评打分': 5}
{'短评内容': '实惠', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '卫生还好，服务太差，', '短评打分': 2}
{'短评内容': '停车方便，离高速也不远，自驾游很合适的酒店', '短评打分': 5}
{'短评内容': '地点 交通 房间环境都挺好的 算得上是物超所值吧 前台服务员态度也挺好的 下次来还会住这里 希望可以一直保持下去', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '我出差经常住在这个全国连锁的汉庭院酒店，该店停车比较方便、房间干净舒适、而且比较安静，很好，该店值得称赞。', '短评打分': 5}
{'短评内容': '还不错，蛮安静', '短评打分': 5}
{'短评内容': '还不错，挺满意的！', '短评打分': 5}
{'短评内容': '舒服极了，很安静。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': 'jhviycvhkvjkvhljkbhuhgvbul', '短评打分': 5}
