{'短评内容': '说是环境好。。。。。。。', '短评打分': 5}
{'短评内容': '非常好！环境好，设施好，地理位置方便！', '短评打分': 5}
{'短评内容': '房间比较大，看起来干净整齐，服务态度好，物美价廉，推荐。', '短评打分': 5}
{'短评内容': '非常不错！强力推荐来重庆的朋友住住，物有所超值！！！', '短评打分': 5}
{'短评内容': '还没去住，明天再来评价！', '短评打分': 5}
{'短评内容': '酒店位置不错，非常方便，这是我经常住的酒店，虽然它不是最豪华的，但是它绝对是我感觉最好的酒店之一，以后还会住。', '短评打分': 5}
{'短评内容': '早餐不行，粥是馊的。', '短评打分': 5}
{'短评内容': '闹中取静的地方，出来就是重庆大礼堂和三峡博物馆，再出去就是轻轨两号线。', '短评打分': 5}
{'短评内容': '位置比较难找，很多出租车都不知道如何进来，不过设备设施以及装修程度基本上四星没差，房间虽不大，但干净整洁，早餐也挺丰富，价格再低一点就好了，总的来说不差吧', '短评打分': 4}
{'短评内容': '很有特色的酒店', '短评打分': 5}
{'短评内容': '酒店服务好，地理位置好，房间干净卫生。', '短评打分': 5}
{'短评内容': '很安静', '短评打分': 5}
{'短评内容': '很棒，一直住这个酒店 来重庆', '短评打分': 5}
{'短评内容': '政府酒店，在一个类似小山包上，出门什么的不是很方便。同价位应该有更好的选择', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '？酒店条件还好。', '短评打分': 3}
{'短评内容': '紧邻重庆大会堂（非常有特色），有广场可以活动，周边生活方便，还有保利剧院。酒店设施不错，安静、安全。', '短评打分': 5}
{'短评内容': '酒店就在礼堂边，要是想散步确实是不错，位置也在市中心，离解放碑也不算远，至于酒店本身，实在是一般，而且早餐也不太丰富。', '短评打分': 5}
{'短评内容': '酒店应该不错，但网上预订的价格高于当地预订价格近100元，一下飞机阅读一份重庆介绍资料，上面订大礼堂价格是378元，立即有一种上当的感觉。', '短评打分': 1}
{'短评内容': '酒店的位置、服务都不错，就是隔音效果太差，有不自觉的客人在楼道大声说话很干扰别人休息。', '短评打分': 5}
{'短评内容': '房间太小、层高低，设施较老，早餐不灵。出租车代叫服务也没有。只能拖着行李到马路上去叫。', '短评打分': 1}
{'短评内容': '值这个价钱，下次还会住~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '设施比较老旧，位置很好，景色不错，就是太难找到出租车了。', '短评打分': 5}
{'短评内容': '酒店整体不错，但服务员敲一下门后开门就进，客人还只穿内衣，希望改进。客人不在房间时不要随意进入房间，即使是为发早餐券，希望改进。', '短评打分': 3}
{'短评内容': ' 环境服务很满意', '短评打分': 3}
{'短评内容': ' 服务不错 房间不错 环境不错 位置不错', '短评打分': 3}
{'短评内容': '所在位置出行很不方便，很难打到出租车，软硬件等也很一般，勉强4星吧，性价比很低。', '短评打分': 1}
{'短评内容': '位置不错,老牌国营的,就在地标建筑-大礼堂背后.\r\n可惜给的房间是二层,楼下就是走车的走廊,一边一个减速带,每个车一过就哐哐两声,睡得受影响.下次一定不要二层.', '短评打分': 1}
{'短评内容': '感觉跟附近的雾都宾馆相比，性价比低了些。', '短评打分': 1}
{'短评内容': '不错！！', '短评打分': 3}
{'短评内容': 'Everything is Ok but nothing special', '短评打分': 3}
{'短评内容': 'An average hotel ', '短评打分': 5}
{'短评内容': '这个酒店位置不错，服务也好', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店不错，商务旅行最佳选择', '短评打分': 3}
{'短评内容': '方便，干净，酒店服务也不错', '短评打分': 5}
{'短评内容': '卫生还可以很干净，设施完善，地理位置交通方便，服务热情周到，性价比不错的酒店，值得推荐', '短评打分': 3}
{'短评内容': '性价比非常好，值得入住。\r\n就是位置有点偏，不适合旅游的。', '短评打分': 5}
{'短评内容': '交通方便，就是进酒店哪个坡太陡了，还没有电瓶车接送，出入要爬一身汗', '短评打分': 5}
{'短评内容': '地理位置很好，离大礼堂近，房间设施比较好，价格也比较合理。', '短评打分': 5}
{'短评内容': '在重庆来说，这酒店感觉还是不错的', '短评打分': 5}
{'短评内容': '第一次到重庆，在网上选择了这家酒店。对重庆的印象不好，但是对这家酒店的印象特别好，就在大礼堂的附楼，对面就是三峡博物馆。广场上还正好是中央台《激情广场》的拍摄现场。可惜，没什么兴趣再去重庆了。不然我一定还会选择这家酒店。我会把它推荐给我所有的可能去重庆的朋友。', '短评打分': 5}
{'短评内容': '1.館內所有住房可用的設施都無法使用,讓人真的無法接受\r\n2.早晨的叫車服務竟然櫃台人員完全沒有交接,服務根本就沒有到位\r\n3.用餐時候,館內所有的餐飲部幹部全都坐在現場聊天,吵得要死,就是沒有主管願意走過來打招呼,服務很差\r\n4.現場的服務人員,很親切也很和善\r\n5.行李員的服務很到位!值得嘉許', '短评打分': 5}
