{'短评内容': '环境干净，优雅！温度适宜，水电暖齐全，关键有个大写字台，离师大比较近，出行方便。价格还可以吧！有需要的人可以去考虑。', '短评打分': 5}
{'短评内容': '没早餐，位置还可以', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '无窗的这间房特别好，安静舒适适合休息！WiFi淋浴用品样样齐全，房子也温度适宜，特别好(⊙o⊙)哦！如家如家一般的感觉！！！不错哦！', '短评打分': 5}
{'短评内容': '水压非常不够，隔音不太好', '短评打分': 3}
{'短评内容': '干净卫生方便', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房间干净整洁', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '挺好，房间不错，推荐入住', '短评打分': 5}
{'短评内容': '出差方便，', '短评打分': 4}
{'短评内容': '挺干净的哦！！', '短评打分': 5}
{'短评内容': '物美价廉！实惠！', '短评打分': 5}
{'短评内容': '环境好，服务好，舒适!', '短评打分': 5}
{'短评内容': '感觉挺实惠啊', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '卫生不错，配套设施也不错，周边环境一般，出差也没时间逛。', '短评打分': 5}
{'短评内容': '经常去的，不错', '短评打分': 4}
{'短评内容': '位置非常好，服务和设施一般，早餐不提也罢', '短评打分': 3}
