{'短评内容': '很好的酒店，县城有很多特色的小吃。欢迎大家入住！', '短评打分': 5}
{'短评内容': '定远唯一还可以的酒店，性价比非常高~~~~~~', '短评打分': 5}
{'短评内容': '房间很大，很干净。不错，在这个小县城很不错来了。价格也不错', '短评打分': 5}
{'短评内容': '总体还可以。\n服务员最好能统一说普通话。\n、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '房间还是比较干净的，服务人员也比较热情及时。', '短评打分': 5}
{'短评内容': '绝对是定远最好最高档的酒店，虽不及常规五星级的档次，但对于到定远出差的人来说是上上之选了。前台结账速度还需要加快，感觉培训不够熟练就上岗了。', '短评打分': 5}
{'短评内容': '酒店很好！', '短评打分': 3}
{'短评内容': '房间特别干净，电视空调基本设施都有，位置也不错，出行挺方便的。', '短评打分': 5}
{'短评内容': '房间舒适度还好，电视网络都有，周边环境挺安静，睡眠质量挺好。', '短评打分': 5}
{'短评内容': '位置还算好找，离县政府不远，服务卫生还不错，设施也挺好的。', '短评打分': 3}
{'短评内容': '早餐是自助的，种类挺多，服务上挺好，位置有点偏，交通一般。', '短评打分': 3}
{'短评内容': '服务上还不错，硬件设施基本齐全，卫生也每天及时打扫，总体感觉还好。', '短评打分': 3}
{'短评内容': '环境不错，干净安静，设施完善，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间挺宽敞的，电视是液晶的，空调也挺好用，晚上不是很吵，休息的还不错。', '短评打分': 3}
{'短评内容': '配套设施挺齐全，房间质量不错，服务态度也挺好的。', '短评打分': 5}
{'短评内容': '交通便利、设施完善、能提供早餐，总体感觉不错。', '短评打分': 5}
{'短评内容': '酒店在当地还算是不错的，设施、服务都挺好，住的挺舒适的。', '短评打分': 5}
