{'短评内容': '位置不错出行方便，边上牛肉面店很好吃，自制酸奶物好，值得推荐。服务也还行，就是房间没提供瓶装水，有点小缺点', '短评打分': 4}
{'短评内容': '位置不错出行方便', '短评打分': 4}
{'短评内容': '很好没有电梯就二层，房间大', '短评打分': 5}
{'短评内容': '条件设施还不错 ', '短评打分': 5}
{'短评内容': '性价比很高，前台服务员态度很好，寄存东西的时候袋子坏了，专门给了一个，很贴心。', '短评打分': 5}
{'短评内容': '无语', '短评打分': 3}
{'短评内容': '房子干净卫生 环境也好  设备齐全 前台服务态度倍好 下次去还住这！', '短评打分': 5}
{'短评内容': '非常一般', '短评打分': 4}
{'短评内容': '服务不错    性价比高', '短评打分': 5}
{'短评内容': '穷乡僻壤，就这样吧', '短评打分': 2}
{'短评内容': '酒店很好，环境不错 。位置也很好找。不过卫生间马桶圈上有污渍，不干净，其他都不错。值得推荐。有一种房间是没有窗户的，有点美中不足。', '短评打分': 5}
{'短评内容': '酒店有自助早餐，主要是便宜才去住的，但是没有窗热气很足，我们南方去的都有点受不了！换房间又要加钱就没换了。', '短评打分': 5}
{'短评内容': '交通便利，性价比不错', '短评打分': 4}
{'短评内容': '房间很干净，前台服务很好，周边环境很好', '短评打分': 5}
{'短评内容': '挺好的，不错。', '短评打分': 5}
