{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '酒店位置不怎么好', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '适合带孩子', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很不错，价钱也合适！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '环境乱，周边卫生差', '短评打分': 3}
{'短评内容': '服务好 房间也好', '短评打分': 5}
{'短评内容': '离火车站很近，下车不远就到了。', '短评打分': 3}
{'短评内容': '地理位置不错，吃饭也方便，赶火车也方便，办理入住的那天的前台服务好，很细心，因为有个小宝宝，怕我们住着挤，让我先看看房间再决定入不入住，还是换房间。我们也是应付一晚就没有换了。设施一般吧，电插座都是松动的，很危险，如果出现短路问题了可不是小麻烦，酒店负责人应该重视。卫生还可以。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '店外环境脏乱差，出行也不是很方便，不好找，入住情况一般，没有电梯，提着行李上下楼，不推荐入住，除了店面装潢的好点，没什么可推荐的', '短评打分': 3}
{'短评内容': '还可以，比较实惠', '短评打分': 4}
{'短评内容': '一般般环境和卫生都不太好  卫生太差了吃饭挺方便出门都是小吃', '短评打分': 1}
